Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.62, 636643, $2.71, $2.74, $2.61
07/30/2020, $2.72, 476003, $2.65, $2.74, $2.61
07/29/2020, $2.66, 351085, $2.63, $2.69, $2.57
07/28/2020, $2.63, 532312, $2.64, $2.76, $2.62
07/27/2020, $2.65, 525781, $2.55, $2.68, $2.55
07/24/2020, $2.57, 367864, $2.62, $2.62, $2.53
07/23/2020, $2.63, 402676, $2.59, $2.69, $2.57
07/22/2020, $2.59, 501840, $2.68, $2.74, $2.58
07/21/2020, $2.68, 1017643, $2.71, $2.75, $2.61
07/20/2020, $2.67, 1736204, $2.46, $2.7698, $2.45
07/17/2020, $2.42, 367979, $2.42, $2.46, $2.37
07/16/2020, $2.38, 1387598, $2.29, $2.49, $2.25
07/15/2020, $2.3, 402245, $2.26, $2.3, $2.22
07/14/2020, $2.21, 331738, $2.19, $2.23, $2.15
07/13/2020, $2.17, 633950, $2.1, $2.2587, $2.1
07/10/2020, $2.06, 398002, $2.13, $2.13, $2.03
07/09/2020, $2.13, 314091, $2.21, $2.21, $2.08
07/08/2020, $2.15, 327249, $2.22, $2.26, $2.14
07/07/2020, $2.19, 431092, $2.26, $2.3, $2.19
07/06/2020, $2.29, 686237, $2.2, $2.29, $2.18
07/02/2020, $2.17, 332044, $2.17, $2.2, $2.15
07/01/2020, $2.14, 211053, $2.18, $2.1835, $2.12
06/30/2020, $2.15, 408878, $2.1, $2.19, $2.06
06/29/2020, $2.09, 328309, $2.1, $2.13, $2.055
06/26/2020, $2.09, 405164, $2.11, $2.13, $2.04
06/25/2020, $2.11, 680844, $2.12, $2.15, $2.06
06/24/2020, $2.12, 723984, $2.12, $2.155, $2.04
06/23/2020, $2.1, 294665, $2.1, $2.12, $2.08
06/22/2020, $2.09, 477161, $2.1, $2.13, $2.04
06/19/2020, $2.08, 401057, $2.03, $2.1, $2
06/18/2020, $1.98, 1955070, $2.04, $2.1, $1.98
06/17/2020, $2.06, 407482, $2.11, $2.19, $2.0436
06/16/2020, $2.09, 489421, $2.17, $2.17, $2.06
06/15/2020, $2.08, 466837, $2, $2.13, $1.9715
06/12/2020, $2.03, 501887, $2.1, $2.16, $1.95
06/11/2020, $2.04, 779536, $2.12, $2.145, $2.01
06/10/2020, $2.15, 595569, $2.25, $2.277, $2.15
06/09/2020, $2.27, 656767, $2.29, $2.3, $2.2
06/08/2020, $2.3, 1083340, $2.21, $2.31, $2.18
06/05/2020, $2.19, 650909, $2.29, $2.29, $2.18
06/04/2020, $2.25, 387416, $2.31, $2.34, $2.225
06/03/2020, $2.3, 354532, $2.31, $2.335, $2.28
06/02/2020, $2.29, 558696, $2.36, $2.39, $2.28
06/01/2020, $2.37, 412636, $2.35, $2.44, $2.336
05/29/2020, $2.35, 320289, $2.29, $2.35, $2.235
05/28/2020, $2.29, 256108, $2.34, $2.36, $2.28
05/27/2020, $2.34, 516422, $2.36, $2.3887, $2.28
05/26/2020, $2.32, 578238, $2.36, $2.41, $2.305
05/22/2020, $2.32, 227397, $2.34, $2.35, $2.2856
05/21/2020, $2.31, 409262, $2.3, $2.3668, $2.26
05/20/2020, $2.34, 762217, $2.26, $2.36, $2.22
05/19/2020, $2.24, 622386, $2.11, $2.29, $2.11
05/18/2020, $2.15, 1136039, $2.29, $2.34, $2.08
05/15/2020, $2.21, 270876, $2.16, $2.255, $2.1299
05/14/2020, $2.19, 423852, $2.17, $2.19, $2.07
05/13/2020, $2.17, 520406, $2.29, $2.32, $2.12
05/12/2020, $2.29, 623741, $2.31, $2.368, $2.2201
05/11/2020, $2.27, 546760, $2.2, $2.31, $2.18
