Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.8, 544, $0.8, $0.8, $0.8
07/30/2020, $0.9, 5735, $0.8, $0.9, $0.8
07/29/2020, $0.82, 10224, $0.85, $0.85, $0.8
07/28/2020, $0.9, 6230, $0.9, $0.9, $0.9
07/27/2020, $0.91, 23737, $0.853, $0.9351, $0.77
07/24/2020, $0.96, 18657, $1, $1, $0.96
07/23/2020, $0.98, 17343, $1, $1, $0.98
07/22/2020, $0.9801, 3901, $1, $1, $0.9639
07/21/2020, $0.99, 3680, $1, $1, $0.99
07/20/2020, $0.985, 7750, $0.9607, $0.99, $0.9607
07/17/2020, $0.98, 8600, $1.02, $1.02, $0.98
07/16/2020, $1.0277, 42978, $1.01, $1.03, $0.975
07/15/2020, $1.01, 21546, $1.05, $1.1, $0.99
07/14/2020, $1.05, 14550, $1.41, $1.41, $1.0001
07/13/2020, $1.13, 42737, $1.23, $1.23, $0.9601
07/10/2020, $1.24, 23367, $1.23, $1.24, $1.0801
07/09/2020, $1.25, 13689, $1.15, $1.26, $1.073
07/08/2020, $1.14, 12107, $1.1, $1.14, $1.0337
07/07/2020, $1.16, 71564, $1.2, $1.42, $0.99
07/06/2020, $1.3, 46841, $1.5, $1.5, $1.19
07/02/2020, $1.36, 32779, $1.283, $1.48, $1.26
07/01/2020, $1.26, 50229, $1.55, $1.55, $1.25
06/30/2020, $1.5, 120531, $1.4, $1.535, $1.34
06/29/2020, $1.51, 226685, $1.65, $1.65, $1.34
06/26/2020, $1.54, 75262, $1.65, $1.65, $1.4
06/25/2020, $1.6, 188626, $1.55, $2, $0.9831
06/24/2020, $1.87, 245293, $2.8, $2.99, $1.6
06/23/2020, $2.49, 118313, $3.1, $3.1, $2.17
06/22/2020, $2.6925, 358335, $1.21, $3, $1.21
06/19/2020, $1.21, 300, $1.21, $1.21, $1.21
06/18/2020, $1.2, 25298, $1.2, $1.2, $1.2
06/17/2020, $1.1, 60197, $1.03, $1.1, $1
06/16/2020, $1, 25000, $1, $1, $1
06/15/2020, $1.05, N/A, $1.05, $1.05, $1.05
06/12/2020, $1.05, 100, $1.05, $1.05, $1.05
06/11/2020, $1.005, 100, $1.005, $1.005, $1.005
06/10/2020, $0.97, 950, $1, $1, $0.97
06/09/2020, $1.1, 100, $1.1, $1.1, $1.1
06/08/2020, $1.22, 1006, $0.99, $1.29, $0.99
06/05/2020, $1.0499, N/A, $1.0499, $1.0499, $1.0499
06/04/2020, $1.0499, 100200, $1, $1.0499, $0.99
06/03/2020, $1, 121750, $0.81, $1, $0.81
06/02/2020, $0.81, N/A, $0.81, $0.81, $0.81
06/01/2020, $0.81, N/A, $0.81, $0.81, $0.81
05/29/2020, $0.81, 300, $0.81, $0.81, $0.81
05/28/2020, $0.5671, 575, $0.81, $0.81, $0.5671
05/27/2020, $0.81, N/A, $0.81, $0.81, $0.81
05/26/2020, $0.81, N/A, $0.81, $0.81, $0.81
05/22/2020, $0.81, 200, $0.81, $0.81, $0.81
05/21/2020, $0.8, N/A, $0.8, $0.8, $0.8
05/20/2020, $0.8, 30152, $0.75, $0.8, $0.75
05/19/2020, $0.7499, 1250, $0.7163, $0.75, $0.7163
05/18/2020, $0.75, 5001, $0.74, $0.75, $0.74
05/15/2020, $0.6, 2419, $0.6, $0.6, $0.6
05/14/2020, $0.6, 6800, $0.6, $0.6, $0.6
05/13/2020, $0.6001, N/A, $0.6001, $0.6001, $0.6001
05/12/2020, $0.6001, 3401, $0.7, $0.75, $0.6001
05/11/2020, $0.6, N/A, $0.6, $0.6, $0.6
