Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.24, 478757, $3.98, $4.29, $3.9
07/30/2020, $4.27, 442400, $4.2, $4.4, $4.07
07/29/2020, $4.16, 561728, $3.93, $4.28, $3.82
07/28/2020, $3.92, 392895, $4.08, $4.1399, $3.91
07/27/2020, $4.15, 362015, $4.26, $4.35, $4.05
07/24/2020, $4.29, 272490, $4.25, $4.43, $4.1
07/23/2020, $4.37, 654633, $4.6, $4.68, $4.19
07/22/2020, $4.59, 802811, $4.76, $4.9, $4.43
07/21/2020, $4.8, 1832998, $4.52, $5.19, $4.51
07/20/2020, $4.32, 769618, $4.12, $4.32, $3.9
07/17/2020, $4.09, 547278, $4.21, $4.305, $4
07/16/2020, $4.18, 863923, $3.87, $4.38, $3.654
07/15/2020, $3.98, 506044, $3.99, $3.99, $3.75
07/14/2020, $3.81, 804477, $3.74, $3.88, $3.5
07/13/2020, $3.93, 1625678, $4.62, $4.62, $3.88
07/10/2020, $4.4, 1709983, $4.75, $4.79, $4.38
07/09/2020, $5.02, 2012800, $5.25, $5.28, $4.9
07/08/2020, $5.37, 12183540, $5.767, $5.85, $5
07/07/2020, $4.955, 97137840, $5.04, $6.88, $4.69
07/06/2020, $2.74, 72900, $2.6849, $2.8033, $2.61
07/02/2020, $2.6, 92829, $2.66, $2.7294, $2.51
07/01/2020, $2.65, 52080, $2.7, $2.72, $2.61
06/30/2020, $2.72, 112564, $2.84, $2.91, $2.56
06/29/2020, $2.87, 80299, $2.91, $2.93, $2.74
06/26/2020, $2.88, 47591, $2.91, $2.98, $2.8
06/25/2020, $2.98, 71513, $2.92, $3.0199, $2.76
06/24/2020, $2.92, 56243, $2.88, $2.9899, $2.79
06/23/2020, $2.93, 41204, $2.94, $3, $2.88
06/22/2020, $2.91, 113361, $3, $3.04, $2.88
06/19/2020, $2.98, 118069, $3.01, $3.05, $2.9
06/18/2020, $2.93, 374865, $3.17, $3.4, $2.87
06/17/2020, $3.21, 42674, $3.24, $3.3, $3.19
06/16/2020, $3.23, 47091, $3.24, $3.266, $3.09
06/15/2020, $3.17, 34097, $2.98, $3.18, $2.9198
06/12/2020, $3.1, 83579, $3.01, $3.14, $2.92
06/11/2020, $2.86, 184478, $3.24, $3.24, $2.85
06/10/2020, $3.27, 72471, $3.32, $3.35, $3.1
06/09/2020, $3.27, 200022, $3.07, $3.34, $2.8861
06/08/2020, $3.13, 259451, $3.33, $3.59, $3.01
06/05/2020, $3.28, 93924, $3.31, $3.59, $3.25
06/04/2020, $3.255, 164742, $3.69, $3.7, $3.23
06/03/2020, $3.7, 141721, $3.84, $3.84, $3.56
06/02/2020, $3.6, 71904, $3.34, $3.69, $3.34
06/01/2020, $3.3, 176636, $3.48, $3.56, $3.01
05/29/2020, $3.45, 176545, $3.67, $3.67, $3.26
05/28/2020, $3.66, 115708, $4.06, $4.109, $3.62
05/27/2020, $4.05, 342257, $4.07, $4.2, $3.84
05/26/2020, $3.7, 153714, $3.98, $4.15, $3.7
05/22/2020, $3.97, 128920, $3.6, $4.09, $3.51
05/21/2020, $3.63, 95031, $3.66, $3.716, $3.475
05/20/2020, $3.65, 136500, $3.69, $3.72, $3.49
05/19/2020, $3.5, 133737, $3.43, $3.7001, $3.36
05/18/2020, $3.44, 141798, $3.57, $3.76, $3.4
05/15/2020, $3.51, 110500, $3.54, $3.6124, $3.32
05/14/2020, $3.53, 156898, $3.35, $3.63, $3.25
05/13/2020, $3.47, 211827, $3.56, $3.71, $3.15
05/12/2020, $3.56, 332273, $3.52, $4.24, $3.52
05/11/2020, $3.46, 358755, $3.27, $3.6, $3.27
