Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.7271, 117031, $0.7289, $0.745, $0.7138
07/30/2020, $0.7207, 53621, $0.72, $0.728, $0.71
07/29/2020, $0.7188, 82431, $0.73, $0.734, $0.7113
07/28/2020, $0.73, 56887, $0.72, $0.7498, $0.72
07/27/2020, $0.7204, 109244, $0.74, $0.74, $0.7201
07/24/2020, $0.7243, 84611, $0.7203, $0.7469, $0.72
07/23/2020, $0.7301, 136843, $0.742, $0.75, $0.7239
07/22/2020, $0.7322, 826327, $0.724, $0.83, $0.7202
07/21/2020, $0.72, 170977, $0.73, $0.75, $0.7152
07/20/2020, $0.7338, 588608, $0.7074, $0.7667, $0.704
07/17/2020, $0.7025, 83939, $0.725, $0.725, $0.7001
07/16/2020, $0.7037, 239625, $0.712, $0.7374, $0.6954
07/15/2020, $0.72, 350565, $0.7103, $0.7399, $0.6856
07/14/2020, $0.7199, 123624, $0.699, $0.7299, $0.6901
07/13/2020, $0.695, 827612, $0.72, $0.7599, $0.6916
07/10/2020, $0.7131, 136644, $0.7042, $0.7294, $0.691
07/09/2020, $0.7001, 705856, $0.6911, $0.7361, $0.68
07/08/2020, $0.69, 131208, $0.702, $0.709, $0.685
07/07/2020, $0.699, 151218, $0.717, $0.72, $0.69
07/06/2020, $0.7011, 517299, $0.709, $0.75, $0.69
07/02/2020, $0.7022, 257059, $0.7, $0.73, $0.695
07/01/2020, $0.7001, 149187, $0.722, $0.7278, $0.696
06/30/2020, $0.73, 424131, $0.7099, $0.75, $0.6841
06/29/2020, $0.7, 452917, $0.708, $0.715, $0.6821
06/26/2020, $0.6895, 1611394, $0.7079, $0.7316, $0.671
06/25/2020, $0.6936, 1324398, $0.7011, $0.7398, $0.686
06/24/2020, $0.705, 1097832, $0.7117, $0.76, $0.6838
06/23/2020, $0.7109, 174388, $0.71, $0.72, $0.7001
06/22/2020, $0.71, 194515, $0.7, $0.7398, $0.7
06/19/2020, $0.7048, 242875, $0.7399, $0.7598, $0.7
06/18/2020, $0.7257, 153057, $0.76, $0.76, $0.72
06/17/2020, $0.7682, 108079, $0.7682, $0.787, $0.765
06/16/2020, $0.7641, 272816, $0.8, $0.8297, $0.6838
06/15/2020, $0.7812, 106145, $0.7984, $0.81, $0.76
06/12/2020, $0.7883, 272342, $0.722, $0.8068, $0.722
06/11/2020, $0.7746, 505908, $0.84, $0.8797, $0.6815
06/10/2020, $0.894, 501105, $0.955, $0.955, $0.8756
06/09/2020, $0.9382, 526437, $1, $1, $0.8805
06/08/2020, $0.9367, 2954020, $1.05, $1.0999, $0.9215
06/05/2020, $0.7902, 1111735, $0.7, $0.86, $0.66
06/04/2020, $0.6978, 138916, $0.6903, $0.6997, $0.6701
06/03/2020, $0.6903, 265017, $0.67, $0.6999, $0.6672
06/02/2020, $0.69, 111387, $0.6886, $0.7, $0.67
06/01/2020, $0.6984, 106587, $0.68, $0.7079, $0.6701
05/29/2020, $0.68, 208102, $0.678, $0.6867, $0.6519
05/28/2020, $0.67, 363195, $0.7, $0.7098, $0.6501
05/27/2020, $0.681, 192816, $0.6912, $0.6997, $0.67
05/26/2020, $0.704, 96963, $0.7, $0.71, $0.6811
05/22/2020, $0.69, 1024521, $0.72, $0.7431, $0.6711
05/21/2020, $0.841, 575744, $0.87, $0.8807, $0.8203
05/20/2020, $0.8199, 158068, $0.82, $0.8388, $0.79
05/19/2020, $0.7943, 384917, $0.7498, $0.8502, $0.7498
05/18/2020, $0.7358, 220356, $0.75, $0.769, $0.7214
05/15/2020, $0.7003, 39758, $0.69, $0.73, $0.69
05/14/2020, $0.7028, 46013, $0.711, $0.7199, $0.69
05/13/2020, $0.6998, 98347, $0.752, $0.752, $0.6772
05/12/2020, $0.7534, 56315, $0.7725, $0.7797, $0.7301
05/11/2020, $0.75, 412597, $0.71, $0.8, $0.7021
