Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.46, 165112, $2.6, $2.6068, $2.42
07/30/2020, $2.6199, 577448, $2.61, $2.91, $2.58
07/29/2020, $2.6181, 179572, $2.59, $2.72, $2.5701
07/28/2020, $2.59, 67595, $2.61, $2.64, $2.5253
07/27/2020, $2.65, 191598, $2.66, $2.66, $2.5
07/24/2020, $2.63, 287419, $2.72, $2.72, $2.55
07/23/2020, $2.78, 1375123, $2.79, $2.93, $2.6219
07/22/2020, $2.635, 149782, $2.73, $2.776, $2.62
07/21/2020, $2.72, 170426, $2.66, $2.8341, $2.62
07/20/2020, $2.74, 134977, $2.74, $2.7987, $2.6473
07/17/2020, $2.74, 234496, $2.95, $2.95, $2.71
07/16/2020, $2.87, 967313, $2.68, $3, $2.54
07/15/2020, $2.71, 158094, $2.58, $2.83, $2.54
07/14/2020, $2.6, 157353, $2.72, $2.72, $2.49
07/13/2020, $2.63, 252409, $2.86, $2.89, $2.61
07/10/2020, $2.86, 469121, $2.8, $3.05, $2.7
07/09/2020, $2.67, 524157, $2.89, $2.95, $2.59
07/08/2020, $2.8, 291422, $2.99, $3.19, $2.75
07/07/2020, $3.04, 229263, $2.99, $3.15, $2.82
07/06/2020, $3.17, 914004, $2.97, $3.32, $2.81
07/02/2020, $2.66, 644950, $2.6, $2.8599, $2.51
07/01/2020, $2.58, 170391, $2.58, $2.735, $2.56
06/30/2020, $2.595, 386106, $2.47, $2.94, $2.43
06/29/2020, $2.47, 226644, $2.56, $2.565, $2.41
06/26/2020, $2.57, 628842, $3, $3.128, $2.51
06/25/2020, $3.3, 1291216, $2.89, $3.45, $2.78
06/24/2020, $3.3, 49197870, $5.34, $5.97, $3.24
06/23/2020, $2.36, 4582274, $2.11, $2.77, $2.11
06/22/2020, $2.17, 104062, $2.33, $2.49, $2.13
06/19/2020, $2.38, 198855, $2.35, $2.57, $2.35
06/18/2020, $2.54, 250149, $2.6, $2.85, $2.41
06/17/2020, $2.88, 383321, $2.52, $3.2299, $2.52
06/16/2020, $3.12, 4634687, $2.34, $4.17, $2.26
06/15/2020, $2.47, 724282, $2.56, $2.67, $2.3008
06/12/2020, $2.85, 28313490, $6.75, $8.37, $2.8
06/11/2020, $2.27, 2371813, $1.45, $2.49, $1.4171
06/10/2020, $1.4688, 28055, $1.57, $1.6, $1.41
06/09/2020, $1.66, 274383, $1.52, $1.8899, $1.35
06/08/2020, $1.5201, 72494, $1.54, $1.54, $1.32
06/05/2020, $1.28, 4759, $1.327, $1.335, $1.279
06/04/2020, $1.325, 20093, $1.246, $1.4376, $1.21
06/03/2020, $1.23, 12620, $1.18, $1.29, $1.18
06/02/2020, $1.24, 2351, $1.207, $1.24, $1.2
06/01/2020, $1.228, 3598, $1.18, $1.24, $1.15
05/29/2020, $1.18, 17450, $1.11, $1.2273, $1.11
05/28/2020, $1.18, 6513, $1.18, $1.2135, $1.15
05/27/2020, $1.19, 9890, $1.23, $1.23, $1.18
05/26/2020, $1.23, 2567, $1.23, $1.27, $1.23
05/22/2020, $1.24, 798, $1.2618, $1.2618, $1.24
05/21/2020, $1.26, 1763, $1.21, $1.2764, $1.21
05/20/2020, $1.25, 4127, $1.24, $1.25, $1.22
05/19/2020, $1.2863, 7154, $1.31, $1.31, $1.22
05/18/2020, $1.2, 17503, $1.18, $1.31, $1.1694
05/15/2020, $1.1825, 5919, $1.206, $1.276, $1.17
05/14/2020, $1.15, 26953, $1.28, $1.28, $1.138
05/13/2020, $1.29, 5213, $1.46, $1.46, $1.27
05/12/2020, $1.39, 5075, $1.34, $1.41, $1.34
05/11/2020, $1.37, 3383, $1.38, $1.41, $1.37
