Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.49, 65071, $1.48, $1.5199, $1.4701
07/30/2020, $1.49, 62249, $1.45, $1.5, $1.44
07/29/2020, $1.47, 86036, $1.47, $1.49, $1.45
07/28/2020, $1.48, 125454, $1.49, $1.55, $1.4573
07/27/2020, $1.48, 186950, $1.47, $1.5, $1.41
07/24/2020, $1.46, 175586, $1.55, $1.59, $1.39
07/23/2020, $1.55, 216706, $1.71, $1.71, $1.53
07/22/2020, $1.69, 333097, $1.61, $1.72, $1.56
07/21/2020, $1.615, 110665, $1.69, $1.7, $1.59
07/20/2020, $1.67, 111956, $1.73, $1.73, $1.65
07/17/2020, $1.7, 178494, $1.62, $1.71, $1.6062
07/16/2020, $1.6, 97301, $1.56, $1.61, $1.56
07/15/2020, $1.56, 119783, $1.56, $1.6, $1.52
07/14/2020, $1.525, 102505, $1.52, $1.54, $1.47
07/13/2020, $1.53, 151391, $1.5, $1.58, $1.5
07/10/2020, $1.49, 98962, $1.47, $1.5, $1.41
07/09/2020, $1.52, 168888, $1.6, $1.6301, $1.46
07/08/2020, $1.63, 187919, $1.56, $1.64, $1.46
07/07/2020, $1.54, 226177, $1.64, $1.6601, $1.51
07/06/2020, $1.59, 276465, $1.54, $1.62, $1.52
07/02/2020, $1.5, 316976, $1.6, $1.6, $1.46
07/01/2020, $1.53, 372281, $1.57, $1.65, $1.49
06/30/2020, $1.55, 542029, $1.64, $1.77, $1.51
06/29/2020, $1.61, 1260941, $1.94, $1.98, $1.55
06/26/2020, $1.86, 4484484, $2.39, $2.45, $1.86
06/25/2020, $2.42, 253354, $2.27, $2.45, $2.2637
06/24/2020, $2.26, 162950, $2.39, $2.39, $2.2
06/23/2020, $2.38, 100995, $2.31, $2.44, $2.31
06/22/2020, $2.3, 71864, $2.46, $2.65, $2.3
06/19/2020, $2.45, 184672, $2.25, $2.65, $2.2
06/18/2020, $2.25, 103714, $2.39, $2.48, $2.25
06/17/2020, $2.38, 139743, $2.47, $2.47, $2.28
06/16/2020, $2.43, 93062, $2.47, $2.54, $2.42
06/15/2020, $2.42, 192390, $2.4, $2.55, $2.38
06/12/2020, $2.46, 107601, $2.56, $2.61, $2.4
06/11/2020, $2.54, 174621, $2.7, $2.7, $2.48
06/10/2020, $2.69, 243334, $2.65, $2.75, $2.63
06/09/2020, $2.65, 206060, $2.63, $2.75, $2.585
06/08/2020, $2.63, 280092, $2.77, $2.8075, $2.57
06/05/2020, $2.75, 135990, $2.79, $2.84, $2.6
06/04/2020, $2.76, 120793, $2.81, $2.82, $2.66
06/03/2020, $2.78, 167611, $2.7, $2.81, $2.68
06/02/2020, $2.65, 233707, $2.5, $2.75, $2.47
06/01/2020, $2.49, 160485, $2.53, $2.66, $2.47
05/29/2020, $2.53, 238058, $2.64, $2.64, $2.47
05/28/2020, $2.58, 60784, $2.56, $2.61, $2.5
05/27/2020, $2.6, 186558, $2.6, $2.74, $2.4
05/26/2020, $2.63, 85994, $2.77, $2.77, $2.57
05/22/2020, $2.63, 107676, $2.56, $2.7, $2.56
05/21/2020, $2.56, 78101, $2.65, $2.7, $2.53
05/20/2020, $2.62, 67548, $2.63, $2.66, $2.57
05/19/2020, $2.64, 139858, $2.63, $2.739, $2.5202
05/18/2020, $2.6, 137175, $2.6, $2.74, $2.49
05/15/2020, $2.6, 159944, $2.43, $2.69, $2.4
05/14/2020, $2.38, 145612, $2.72, $2.755, $2.34
05/13/2020, $2.72, 174667, $3, $3.2, $2.65
05/12/2020, $2.98, 175213, $3.34, $3.4075, $2.9
05/11/2020, $3.32, 188190, $3.37, $3.55, $3.2
