Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.82, 302160, $4.08, $4.1, $3.71
07/30/2020, $4.05, 414814, $3.85, $4.24, $3.72
07/29/2020, $3.6, 256681, $3.63, $3.75, $3.5
07/28/2020, $3.6, 248203, $3.65, $3.73, $3.5
07/27/2020, $3.65, 522645, $3.5, $4.1, $3.44
07/24/2020, $3.46, 309056, $3.57, $3.62, $3.32
07/23/2020, $3.64, 418920, $3.8, $3.91, $3.57
07/22/2020, $3.83, 314950, $3.95, $4.1054, $3.79
07/21/2020, $3.95, 570806, $4.6, $4.6, $3.91
07/20/2020, $4.46, 305264, $4.84, $4.89, $4.41
07/17/2020, $4.83, 401312, $4.89, $5.369, $4.78
07/16/2020, $4.82, 178454, $4.98, $4.98, $4.75
07/15/2020, $4.97, 187928, $4.86, $5.12, $4.8077
07/14/2020, $4.72, 136640, $4.75, $4.97, $4.56
07/13/2020, $4.64, 418952, $5.38, $5.46, $4.62
07/10/2020, $5.38, 229412, $5.68, $5.696, $5.3
07/09/2020, $5.72, 133006, $5.73, $6.02, $5.565
07/08/2020, $5.7, 119353, $5.47, $5.8, $5.42
07/07/2020, $5.43, 196406, $5.75, $5.76, $5.3
07/06/2020, $5.8, 158790, $6.03, $6.1844, $5.75
07/02/2020, $5.87, 118176, $5.92, $6, $5.7299
07/01/2020, $5.8, 156135, $5.88, $6.31, $5.73
06/30/2020, $5.91, 124949, $5.86, $5.98, $5.7101
06/29/2020, $5.91, 281768, $6.74, $6.91, $5.874
06/26/2020, $6.71, 751298, $6.59, $6.87, $5.79
06/25/2020, $6.6, 212280, $6.63, $6.94, $6.31
06/24/2020, $6.72, 484989, $6.904, $6.98, $6.06
06/23/2020, $7.14, 1614266, $5.23, $7.66, $5.23
06/22/2020, $5.22, 109272, $5.31, $5.31, $5.03
06/19/2020, $5.3, 339204, $4.55, $5.46, $4.51
06/18/2020, $4.49, 103104, $4.48, $4.69, $4.43
06/17/2020, $4.52, 97342, $4.51, $4.735, $4.3316
06/16/2020, $4.46, 117346, $4.49, $4.71, $4.4
06/15/2020, $4.38, 196407, $4.5, $4.53, $4.132
06/12/2020, $4.61, 151201, $4.55, $4.79, $4.33
06/11/2020, $4.465, 292745, $5.16, $5.16, $4.38
06/10/2020, $5.45, 112260, $5.54, $5.61, $5.31
06/09/2020, $5.5, 190719, $5.12, $5.61, $5.02
06/08/2020, $5.23, 260585, $5.69, $5.782, $5.01
06/05/2020, $5.39, 385894, $5.82, $5.95, $5.22
06/04/2020, $5.79, 454836, $5.02, $5.79, $4.87
06/03/2020, $4.73, 342874, $4.12, $5, $4.12
06/02/2020, $4.12, 237564, $3.93, $4.2398, $3.75
06/01/2020, $3.86, 191522, $3.97, $4.06, $3.82
05/29/2020, $3.98, 342849, $4.03, $4.1678, $3.82
05/28/2020, $4.04, 100103, $4.4, $4.5, $4.03
05/27/2020, $4.37, 134296, $4.36, $4.48, $4.07
05/26/2020, $4.29, 203876, $4.35, $4.7, $4.16
05/22/2020, $4.29, 115740, $4.03, $4.38, $3.95
05/21/2020, $4.03, 114789, $4.22, $4.235, $3.92
05/20/2020, $4.25, 177683, $3.83, $4.31, $3.83
05/19/2020, $3.82, 109356, $4.2, $4.26, $3.81
05/18/2020, $4.13, 118619, $4, $4.3, $3.95
05/15/2020, $3.85, 119714, $3.65, $3.95, $3.65
05/14/2020, $3.63, 133019, $3.56, $3.7363, $3.55
05/13/2020, $3.6, 258054, $4, $4.1826, $3.52
05/12/2020, $3.99, 194503, $4.46, $4.505, $3.96
05/11/2020, $4.44, 207761, $4.17, $4.54, $4.17
