Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.17, 247616, $4.06, $4.19, $3.96
07/30/2020, $4.1, 86372, $4.06, $4.14, $4.02
07/29/2020, $4.14, 127878, $4.08, $4.17, $4.05
07/28/2020, $4.07, 103112, $4.17, $4.17, $4.04
07/27/2020, $4.21, 121722, $4.2, $4.36, $4.14
07/24/2020, $4.2, 79264, $4.28, $4.28, $4.17
07/23/2020, $4.28, 83668, $4.21, $4.29, $4.2001
07/22/2020, $4.225, 147011, $4.23, $4.33, $4.21
07/21/2020, $4.28, 227358, $4.33, $4.43, $4.21
07/20/2020, $4.315, 65928, $4.36, $4.3726, $4.2501
07/17/2020, $4.36, 112009, $4.29, $4.38, $4.27
07/16/2020, $4.3, 101154, $4.29, $4.31, $4.23
07/15/2020, $4.31, 204225, $4.27, $4.39, $4.27
07/14/2020, $4.14, 119107, $4.11, $4.15, $4.04
07/13/2020, $4.1, 130477, $4.2, $4.2126, $4.04
07/10/2020, $4.16, 92379, $4.09, $4.17, $4.08
07/09/2020, $4.09, 292431, $4.17, $4.2, $3.88
07/08/2020, $4.17, 110145, $4.19, $4.21, $4.09
07/07/2020, $4.2, 225142, $4.32, $4.32, $4.115
07/06/2020, $4.32, 96967, $4.43, $4.43, $4.29
07/02/2020, $4.35, 151758, $4.32, $4.41, $4.32
07/01/2020, $4.28, 197851, $4.33, $4.38, $4.16
06/30/2020, $4.35, 218979, $4.27, $4.38, $4.25
06/29/2020, $4.29, 155023, $4.24, $4.395, $4.2
06/26/2020, $4.195, 556882, $4.02, $4.3, $3.94
06/25/2020, $4.05, 161374, $4.07, $4.11, $3.99
06/24/2020, $4.1, 211599, $4.2, $4.21, $4.06
06/23/2020, $4.22, 196127, $4.3, $4.33, $4.22
06/22/2020, $4.24, 213249, $4.33, $4.34, $4.23
06/19/2020, $4.36, 511189, $4.41, $4.56, $4.35
06/18/2020, $4.33, 413607, $4.44, $4.465, $4.25
06/17/2020, $4.46, 182529, $4.67, $4.68, $4.46
06/16/2020, $4.65, 247375, $4.71, $4.83, $4.61
06/15/2020, $4.59, 172827, $4.46, $4.66, $4.41
06/12/2020, $4.58, 148339, $4.55, $4.73, $4.43
06/11/2020, $4.41, 268572, $4.83, $4.92, $4.395
06/10/2020, $5.05, 325771, $5.1, $5.4, $5.02
06/09/2020, $4.83, 213858, $4.85, $4.96, $4.72
06/08/2020, $4.92, 225553, $5.1, $5.1, $4.9
06/05/2020, $5.02, 263886, $5.04, $5.09, $4.91
06/04/2020, $4.885, 281021, $4.51, $4.99, $4.45
06/03/2020, $4.56, 261621, $4.34, $4.62, $4.3274
06/02/2020, $4.31, 246010, $4.33, $4.395, $4.24
06/01/2020, $4.29, 163530, $4.25, $4.37, $4.22
05/29/2020, $4.24, 747967, $4.37, $4.43, $4.05
05/28/2020, $4.42, 133793, $4.61, $4.61, $4.39
05/27/2020, $4.55, 158859, $4.25, $4.57, $4.21
05/26/2020, $4.19, 132253, $4.43, $4.5, $4.15
05/22/2020, $4.28, 141989, $4.32, $4.32, $4.1059
05/21/2020, $4.295, 198471, $4.37, $4.39, $4.15
05/20/2020, $4.38, 266054, $4.28, $4.6, $4.25
05/19/2020, $4.21, 277760, $4.06, $4.3296, $3.99
05/18/2020, $4.045, 373797, $3.94, $4.08, $3.82
05/15/2020, $3.79, 150073, $3.8, $3.85, $3.72
05/14/2020, $3.79, 179674, $3.86, $3.86, $3.69
05/13/2020, $3.94, 255448, $4.07, $4.1179, $3.79
05/12/2020, $4.09, 303712, $4.16, $4.1846, $4.0138
05/11/2020, $4.15, 334952, $4.3, $4.34, $4.15
