Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.11, 398798, $1.12, $1.13, $1.1
07/30/2020, $1.12, 522760, $1.11, $1.1499, $1.1
07/29/2020, $1.14, 569013, $1.2, $1.22, $1.14
07/28/2020, $1.2, 318330, $1.24, $1.24, $1.17
07/27/2020, $1.23, 319558, $1.23, $1.24, $1.21
07/24/2020, $1.22, 294188, $1.25, $1.25, $1.2
07/23/2020, $1.24, 1307694, $1.24, $1.3, $1.19
07/22/2020, $1.22, 339899, $1.24, $1.24, $1.18
07/21/2020, $1.23, 626629, $1.2, $1.234, $1.15
07/20/2020, $1.2, 1589769, $1.32, $1.32, $1.12
07/17/2020, $1.27, 1007128, $1.27, $1.3, $1.22
07/16/2020, $1.28, 1706832, $1.26, $1.35, $1.2025
07/15/2020, $1.26, 5316207, $1.5, $1.5, $1.15
07/14/2020, $1.52, 22233150, $1.08, $1.77, $1.05
07/13/2020, $1.01, 382531, $0.994, $1.02, $0.9851
07/10/2020, $0.995, 187725, $1.02, $1.04, $0.995
07/09/2020, $1.04, 231906, $1.04, $1.05, $1.001
07/08/2020, $1.04, 319604, $1, $1.04, $0.98
07/07/2020, $0.9948, 138458, $1, $1.01, $0.982
07/06/2020, $1.01, 130704, $1.01, $1.01, $0.9801
07/02/2020, $0.9903, 194383, $1.01, $1.01, $0.9801
07/01/2020, $1, 114972, $0.98, $1.02, $0.98
06/30/2020, $0.9886, 170559, $0.98, $1.01, $0.98
06/29/2020, $1.01, 382188, $1.02, $1.039, $0.91
06/26/2020, $1.03, 326294, $1.02, $1.04, $1
06/25/2020, $1.03, 228941, $1.03, $1.06, $1.013
06/24/2020, $1.05, 684237, $1.03, $1.06, $1.01
06/23/2020, $1.02, 256199, $1.04, $1.04, $1.01
06/22/2020, $1.01, 300892, $1.04, $1.0497, $1.01
06/19/2020, $1.02, 529462, $1.02, $1.08, $1.02
06/18/2020, $1.05, 387948, $1.02, $1.07, $1
06/17/2020, $1.03, 1068864, $1.07, $1.1, $1.02
06/16/2020, $1.05, 822328, $1.02, $1.07, $1
06/15/2020, $0.9905, 388069, $1.02, $1.03, $0.91
06/12/2020, $1, 341165, $1.02, $1.02, $0.9613
06/11/2020, $1.01, 512249, $1.03, $1.0301, $1
06/10/2020, $1.05, 1055341, $1.1, $1.1, $1.03
06/09/2020, $1.06, 449011, $1.02, $1.07, $1.01
06/08/2020, $1.02, 542316, $1.02, $1.0699, $1
06/05/2020, $1.02, 450622, $1.02, $1.04, $1
06/04/2020, $1.04, 253721, $1.05, $1.05, $1.02
06/03/2020, $1.03, 212528, $1.05, $1.05, $1.01
06/02/2020, $1.05, 200794, $1.05, $1.06, $1.02
06/01/2020, $1.05, 131483, $1.04, $1.06, $1.04
05/29/2020, $1.0495, 160435, $1.05, $1.06, $1.04
05/28/2020, $1.04, 148144, $1.03, $1.06, $1.03
05/27/2020, $1.04, 298506, $1.05, $1.08, $1.0295
05/26/2020, $1.04, 374231, $1.04, $1.105, $1.0352
05/22/2020, $1.05, 139017, $1.03, $1.05, $1.03
05/21/2020, $1.03, 214417, $1.05, $1.07, $1.03
05/20/2020, $1.05, 170781, $1.04, $1.08, $1.04
05/19/2020, $1.07, 137541, $1.04, $1.07, $1.04
05/18/2020, $1.05, 200741, $1.02, $1.05, $1
05/15/2020, $1.02, 350406, $1.05, $1.05, $1.01
05/14/2020, $1.05, 439353, $1.08, $1.09, $1.04
05/13/2020, $1.05, 363979, $1.11, $1.15, $1.04
05/12/2020, $1.09, 345191, $1.11, $1.13, $1.08
05/11/2020, $1.08, 366966, $1.12, $1.14, $1.08
