Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.11, 361104, $4.34, $4.7, $4.07
07/30/2020, $3.85, 218712, $3.74, $3.95, $3.715
07/29/2020, $4.03, 1007926, $4.01, $4.07, $3.84
07/28/2020, $4.03, 242535, $4.19, $4.2, $4
07/27/2020, $4.2, 101114, $4.12, $4.2102, $4.11
07/24/2020, $4.15, 139526, $4.27, $4.27, $4.15
07/23/2020, $4.31, 59982, $4.31, $4.38, $4.24
07/22/2020, $4.34, 115515, $4.4, $4.47, $4.25
07/21/2020, $4.41, 75866, $4.49, $4.54, $4.41
07/20/2020, $4.52, 77314, $4.59, $4.59, $4.49
07/17/2020, $4.43, 185401, $4.5, $4.56, $4.43
07/16/2020, $4.6, 172261, $4.6, $4.67, $4.56
07/15/2020, $4.77, 482311, $4.36, $4.78, $4.33
07/14/2020, $4.39, 131704, $4.2, $4.39, $4.1925
07/13/2020, $4.19, 106546, $4.37, $4.3865, $4.18
07/10/2020, $4.2, 104074, $4.29, $4.3, $4.15
07/09/2020, $4.3, 131907, $4.36, $4.37, $4.24
07/08/2020, $4.5, 99583, $4.54, $4.58, $4.43
07/07/2020, $4.57, 164437, $4.5, $4.66, $4.47
07/06/2020, $4.51, 95658, $4.57, $4.59, $4.43
07/02/2020, $4.47, 114329, $4.59, $4.59, $4.43
07/01/2020, $4.49, 207336, $4.51, $4.61, $4.38
06/30/2020, $4.39, 347907, $4.44, $4.46, $4.25
06/29/2020, $4.63, 209842, $4.66, $4.66, $4.48
06/26/2020, $4.66, 553289, $4.61, $4.68, $4.52
06/25/2020, $5.4, 148330, $5.35, $5.5, $5.28
06/24/2020, $5.45, 100479, $5.5, $5.541, $5.37
06/23/2020, $5.6, 187428, $5.86, $5.93, $5.6
06/22/2020, $5.64, 179202, $5.42, $5.713, $5.32
06/19/2020, $5.37, 136510, $5.52, $5.56, $5.28
06/18/2020, $5.47, 176939, $5.43, $5.55, $5.34
06/17/2020, $5.39, 101693, $5.55, $5.67, $5.37
06/16/2020, $5.49, 143452, $5.67, $5.7, $5.45
06/15/2020, $5.49, 131707, $5.22, $5.63, $5.16
06/12/2020, $5.31, 182707, $5.49, $5.58, $5.19
06/11/2020, $5.16, 143360, $5.4, $5.41, $5.07
06/10/2020, $5.61, 185105, $5.62, $5.79, $5.57
06/09/2020, $5.93, 341221, $5.58, $6.04, $5.56
06/08/2020, $5.85, 287148, $5.83, $5.9849, $5.68
06/05/2020, $5.46, 538344, $5.76, $5.76, $5.36
06/04/2020, $5.17, 120999, $5.1, $5.28, $5.1
06/03/2020, $5.22, 359983, $5.3, $5.39, $5.17
06/02/2020, $4.95, 174527, $4.87, $5.05, $4.83
06/01/2020, $4.86, 157863, $4.81, $4.92, $4.73
05/29/2020, $4.85, 181777, $4.69, $4.86, $4.65
05/28/2020, $4.87, 224502, $4.84, $5.066, $4.74
05/27/2020, $4.76, 175498, $4.72, $4.82, $4.59
05/26/2020, $4.55, 108132, $4.69, $4.69, $4.55
05/22/2020, $4.5, 159775, $4.44, $4.6, $4.34
05/21/2020, $4.49, 268192, $4.65, $4.72, $4.46
05/20/2020, $4.9, 588371, $4.48, $5.12, $4.36
05/19/2020, $4.55, 570086, $5.08, $5.08, $4.5
05/18/2020, $5.38, 103122, $5.51, $5.58, $5.355
05/15/2020, $5.33, 159561, $5.03, $5.445, $5.03
05/14/2020, $5.11, 149541, $5, $5.11, $4.95
05/13/2020, $5.27, 233822, $5.65, $5.67, $5.05
05/12/2020, $5.86, 179592, $5.91, $6.2, $5.7
05/11/2020, $6.16, 228889, $5.96, $6.36, $5.53
