Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.063, 3039, $0.063, $0.064, $0.063
07/30/2020, $0.0681, 12100, $0.07, $0.0727, $0.0681
07/29/2020, $0.0727, 2151, $0.063, $0.085, $0.063
07/28/2020, $0.0631, 4612, $0.0875, $0.0875, $0.063
07/27/2020, $0.0961, 7300, $0.0999, $0.0999, $0.0631
07/24/2020, $0.08, 3000, $0.0875, $0.0875, $0.063
07/23/2020, $0.1, 16985, $0.063, $0.1, $0.063
07/22/2020, $0.066, N/A, $0.066, $0.066, $0.066
07/21/2020, $0.066, 4407, $0.07, $0.075, $0.0624
07/20/2020, $0.08, 11356, $0.08, $0.1, $0.08
07/17/2020, $0.085, 17303, $0.088, $0.12, $0.085
07/16/2020, $0.095, 8168, $0.12, $0.13, $0.081
07/15/2020, $0.13, 4103, $0.13, $0.13, $0.08
07/14/2020, $0.1, 29355, $0.1, $0.11, $0.08
07/13/2020, $0.14, 103402, $0.124, $0.2, $0.124
07/10/2020, $0.111, 2596, $0.075, $0.111, $0.075
07/09/2020, $0.075, 85598, $0.085, $0.13, $0.075
07/08/2020, $0.0799, 12680, $0.08, $0.08, $0.0799
07/07/2020, $0.0624, 12619, $0.0625, $0.065, $0.06
07/06/2020, $0.08, 6000, $0.063, $0.08, $0.05
07/02/2020, $0.07, 12165, $0.0626, $0.07, $0.0626
07/01/2020, $0.08, 833, $0.08, $0.08, $0.08
06/30/2020, $0.0629, 5445, $0.0629, $0.074, $0.0629
06/29/2020, $0.065, 1275, $0.0792, $0.0792, $0.065
06/26/2020, $0.0795, 3403, $0.0632, $0.0795, $0.0629
06/25/2020, $0.085, 1245, $0.0625, $0.085, $0.0625
06/24/2020, $0.0899, 22464, $0.0813, $0.0916, $0.0601
06/23/2020, $0.0799, 6115, $0.0989, $0.0989, $0.0602
06/22/2020, $0.0784, 3905, $0.0799, $0.0799, $0.06
06/19/2020, $0.0899, 10536, $0.105, $0.105, $0.0601
06/18/2020, $0.0601, 17134, $0.0601, $0.0602, $0.0523
06/17/2020, $0.0601, 78121, $0.0687, $0.13, $0.0501
06/16/2020, $0.0687, 84821, $0.07, $0.07, $0.0502
06/15/2020, $0.0699, N/A, $0.0699, $0.0699, $0.0699
06/12/2020, $0.0699, 69964, $0.0753, $0.0753, $0.06
06/11/2020, $0.0703, 3789, $0.085, $0.09, $0.07
06/10/2020, $0.0955, 35717, $0.149, $0.149, $0.058
06/09/2020, $0.1279, 18062, $0.1279, $0.149, $0.1279
06/08/2020, $0.1279, 13697, $0.15, $0.15, $0.0501
06/05/2020, $0.1, 87778, $0.1, $0.1, $0.0285
06/04/2020, $0.1601, 258305, $0.1, $0.2, $0.1
06/03/2020, $0.0399, 43044, $0.0265, $0.089, $0.0265
06/02/2020, $0.0301, 6328, $0.05, $0.055, $0.0301
06/01/2020, $0.05, 2510, $0.055, $0.055, $0.05
05/29/2020, $0.0436, N/A, $0.0436, $0.0436, $0.0436
05/28/2020, $0.0436, N/A, $0.0436, $0.0436, $0.0436
05/27/2020, $0.0436, N/A, $0.0436, $0.0436, $0.0436
05/26/2020, $0.0436, 12956, $0.0466, $0.07, $0.0362
05/22/2020, $0.0374, N/A, $0.0374, $0.0374, $0.0374
05/21/2020, $0.0374, 1688, $0.0405, $0.0405, $0.0312
05/20/2020, $0.031, 986, $0.031, $0.031, $0.031
05/19/2020, $0.031, 925, $0.035, $0.035, $0.0301
05/18/2020, $0.0395, 2833, $0.05, $0.05, $0.035
05/15/2020, $0.026, 4394, $0.034, $0.0499, $0.026
05/14/2020, $0.0401, 1921, $0.0401, $0.0401, $0.0401
05/13/2020, $0.058, 2310, $0.03, $0.058, $0.03
05/12/2020, $0.0688, 10248, $0.0474, $0.069, $0.047
05/11/2020, $0.04, 2372, $0.026, $0.04, $0.026
