Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.09, 75910, $2.96, $3.15, $2.96
07/30/2020, $2.95, 171527, $2.94, $3.2, $2.8257
07/29/2020, $3.13, 625364, $2.71, $3.29, $2.47
07/28/2020, $2.83, 1766157, $1.92, $3.24, $1.92
07/27/2020, $1.92, 133444, $1.98, $2.01, $1.91
07/24/2020, $1.91, 83066, $1.88, $2, $1.88
07/23/2020, $1.91, 130268, $1.87, $2.1, $1.87
07/22/2020, $1.89, 33871, $1.98, $1.98, $1.86
07/21/2020, $2, 57654, $1.91, $2.03, $1.88
07/20/2020, $1.87, 82971, $1.93, $2.005, $1.85
07/17/2020, $1.94, 28470, $1.95, $2.05, $1.91
07/16/2020, $1.95, 83779, $1.97, $1.99, $1.81
07/15/2020, $1.99, 808506, $1.99, $2.26, $1.76
07/14/2020, $1.76, 118597, $1.75, $1.79, $1.7
07/13/2020, $1.74, 385750, $1.8, $2, $1.6236
07/10/2020, $1.82, 1167445, $1.97, $2.2461, $1.78
07/09/2020, $2.405, 1878295, $1.5, $2.48, $1.5
07/08/2020, $1.5, 283359, $1.29, $1.53, $1.29
07/07/2020, $1.29, 208161, $1.31, $1.36, $1.2701
07/06/2020, $1.31, 91208, $1.33, $1.35, $1.21
07/02/2020, $1.33, 71553, $1.3, $1.35, $1.26
07/01/2020, $1.3, 80748, $1.3, $1.36, $1.2697
06/30/2020, $1.29, 216929, $1.27, $1.48, $1.26
06/29/2020, $1.28, 123593, $1.26, $1.53, $1.21
06/26/2020, $1.23, 66243, $1.25, $1.26, $1.18
06/25/2020, $1.26, 80296, $1.27, $1.39, $1.17
06/24/2020, $1.23, 158084, $1.36, $1.37, $1.21
06/23/2020, $1.38, 534195, $1.54, $1.6, $1.32
06/22/2020, $1.56, 141746, $1.64, $1.64, $1.5
06/19/2020, $1.61, 858855, $1.65, $1.85, $1.57
06/18/2020, $1.59, 113031, $1.62, $1.6999, $1.58
06/17/2020, $1.57, 600294, $1.65, $1.85, $1.52
06/16/2020, $1.65, 108690, $1.74, $1.75, $1.62
06/15/2020, $1.7, 76695, $1.63, $1.76, $1.62
06/12/2020, $1.64, 141161, $1.94, $1.95, $1.62
06/11/2020, $1.65, 353504, $1.52, $1.88, $1.51
06/10/2020, $1.6683, 746648, $1.93, $2.24, $1.62
06/09/2020, $1.84, 285814, $1.6, $1.99, $1.48
06/08/2020, $1.61, 182424, $1.66, $1.8, $1.42
06/05/2020, $1.61, 759888, $1.44, $2.1, $1.44
06/04/2020, $1.39, 284335, $1.12, $1.44, $1.12
06/03/2020, $1.14, 115250, $1.09, $1.15, $1.06
06/02/2020, $1.09, 154283, $1.08, $1.15, $1.03
06/01/2020, $0.9895, 97352, $1, $1.02, $0.95
05/29/2020, $0.955, 213950, $1.04, $1.0999, $0.95
05/28/2020, $0.9987, 1120856, $1.01, $1.33, $0.99
05/27/2020, $0.9897, 312718, $0.9311, $1.0527, $0.9101
05/26/2020, $0.8902, 1219044, $0.84, $1.15, $0.8
05/22/2020, $0.8014, 73207, $0.79, $0.8378, $0.7709
05/21/2020, $0.79, 197898, $0.84, $0.84, $0.77
05/20/2020, $0.8701, 1556342, $0.73, $1.22, $0.73
05/19/2020, $0.859, 787478, $1.04, $1.0499, $0.82
05/18/2020, $1.03, 241079, $1.09, $1.11, $1.03
05/15/2020, $1.1156, 1005504, $1.14, $1.2, $1.02
05/14/2020, $1.13, 665513, $1.22, $1.26, $1.0779
05/13/2020, $1.2, 399308, $1.35, $1.38, $1.165
05/12/2020, $1.42, 127722, $1.49, $1.52, $1.35
05/11/2020, $1.5, 267409, $1.55, $1.55, $1.39
