Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.34, 112288, $2.5, $2.5, $2.14
07/30/2020, $2.29, 82351, $2.5, $2.5, $2.2589
07/29/2020, $2.375, 19680, $2.5, $2.5, $2.35
07/28/2020, $2.4, 14451, $2.35, $2.5, $2.35
07/27/2020, $2.4999, 128209, $2.6, $2.99, $2.4
07/24/2020, $2.49, 83317, $2.11, $2.52, $2.11
07/23/2020, $2.42, 23762, $2.58, $2.58, $2.42
07/22/2020, $2.57, 67473, $2.38, $2.58, $2.304
07/21/2020, $2.4, 40987, $2.5, $2.5, $2.31
07/20/2020, $2.49, 164427, $2.49, $2.6, $2.3905
07/17/2020, $2.44, 23040, $2.45, $2.45, $2.21
07/16/2020, $2.45, 34366, $2.45, $2.45, $2.3047
07/15/2020, $2.4, 97320, $2.3296, $2.4, $2.3296
07/14/2020, $2.38, 226221, $2.4, $2.4001, $2.11
07/13/2020, $2.405, 209473, $2.21, $2.5, $2.1882
07/10/2020, $2.11, 113133, $2.4, $2.4, $2.1
07/09/2020, $2.2, 38753, $2.2127, $2.4, $2.2
07/08/2020, $2.2998, 10279, $2.4, $2.406, $2.2998
07/07/2020, $2.3985, 34549, $2.6, $2.6, $2.3777
07/06/2020, $2.5876, 86762, $2.45, $2.92, $2.425
07/02/2020, $2.34, 74085, $2.99, $2.99, $2
07/01/2020, $2.29, 119546, $1.76, $3.2499, $1.76
06/30/2020, $1.76, 228040, $1.68, $1.78, $1.6399
06/29/2020, $1.6, 137948, $1.59, $2, $1.415
06/26/2020, $1.39, 117293, $1.25, $1.74, $1.18
06/25/2020, $1.1901, 36630, $1.25, $1.25, $1.1901
06/24/2020, $1.215, 210707, $1.1, $1.33, $1.08
06/23/2020, $1.2, 64078, $1.12, $1.24, $1.07
06/22/2020, $1.1399, 38035, $1.2, $1.24, $1.13
06/19/2020, $1.1, 116826, $1.49, $1.49, $1.1
06/18/2020, $1.1999, 41481, $1, $1.25, $0.95
06/17/2020, $1, 143466, $0.8, $1.3, $0.7999
06/16/2020, $0.79, 801, $0.8, $0.8, $0.78
06/15/2020, $0.7899, 8050, $0.78, $0.79, $0.78
06/12/2020, $0.775, 600, $0.775, $0.79, $0.775
06/11/2020, $0.799, 1698, $0.83, $0.83, $0.7901
06/10/2020, $0.711, 107471, $0.65, $0.83, $0.65
06/09/2020, $0.7, 71096, $0.72, $0.7314, $0.6801
06/08/2020, $0.7, 5400, $0.7, $0.7314, $0.7
06/05/2020, $0.65, 23023, $0.65, $0.65, $0.65
06/04/2020, $0.65, 62804, $0.71, $0.71, $0.65
06/03/2020, $0.69, 25835, $0.75, $0.95, $0.69
06/02/2020, $0.846, 73563, $0.725, $0.85, $0.725
06/01/2020, $0.75, 21144, $0.75, $0.8999, $0.75
05/29/2020, $0.7499, 2000, $0.75, $0.75, $0.7499
05/28/2020, $0.7499, 1101, $0.7499, $0.7499, $0.7499
05/27/2020, $0.73, N/A, $0.73, $0.73, $0.73
05/26/2020, $0.73, N/A, $0.73, $0.73, $0.73
05/22/2020, $0.73, 680, $0.73, $0.73, $0.73
05/21/2020, $0.76, 29921, $0.6, $0.8035, $0.6
05/20/2020, $0.55, 42950, $0.6, $0.6, $0.55
05/19/2020, $0.6, 5000, $0.6, $0.6, $0.6
05/18/2020, $0.58, 2601, $0.575, $0.58, $0.575
05/15/2020, $0.6, N/A, $0.6, $0.6, $0.6
05/14/2020, $0.6, 7250, $0.6, $0.6, $0.55
05/13/2020, $0.6, N/A, $0.6, $0.6, $0.6
05/12/2020, $0.6, 583845, $0.55, $0.6, $0.55
05/11/2020, $0.55, 69505, $0.55, $0.6, $0.55
