Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.1299, 60961, $0.0941, $0.13, $0.0721
07/30/2020, $0.1, N/A, $0.1, $0.1, $0.1
07/29/2020, $0.1, N/A, $0.1, $0.1, $0.1
07/28/2020, $0.1, N/A, $0.1, $0.1, $0.1
07/27/2020, $0.1, N/A, $0.1, $0.1, $0.1
07/24/2020, $0.1, 3000, $0.1001, $0.1001, $0.1
07/23/2020, $0.115, 6971, $0.08, $0.115, $0.08
07/22/2020, $0.0899, 15025, $0.1, $0.1001, $0.089
07/21/2020, $0.08, 9407, $0.08, $0.08, $0.08
07/20/2020, $0.09, 12975, $0.0896, $0.09, $0.0896
07/17/2020, $0.0878, 806, $0.0675, $0.0878, $0.0675
07/16/2020, $0.1, 602, $0.1, $0.1, $0.1
07/15/2020, $0.0993, 240, $0.0993, $0.0993, $0.0993
07/14/2020, $0.0756, 218, $0.0756, $0.0756, $0.0756
07/13/2020, $0.1159, 15026, $0.0992, $0.116, $0.0611
07/10/2020, $0.094, 5516, $0.0969, $0.0969, $0.085
07/09/2020, $0.0799, 6850, $0.1, $0.1, $0.0799
07/08/2020, $0.1, 2002, $0.116, $0.128, $0.1
07/07/2020, $0.135, 26922, $0.11, $0.1351, $0.1
07/06/2020, $0.137, 13983, $0.09, $0.137, $0.08
07/02/2020, $0.0896, 7030, $0.09, $0.09, $0.08
07/01/2020, $0.0901, 34271, $0.0855, $0.0901, $0.0501
06/30/2020, $0.0901, 56384, $0.099, $0.1066, $0.09
06/29/2020, $0.0801, 183136, $0.0999, $0.17, $0.0473
06/26/2020, $0.0898, 32213, $0.0642, $0.09, $0.0606
06/25/2020, $0.0617, 17962, $0.06, $0.0617, $0.0527
06/24/2020, $0.0403, 12110, $0.0391, $0.059, $0.0391
06/23/2020, $0.059, 3632, $0.0484, $0.059, $0.0342
06/22/2020, $0.0597, 82174, $0.064, $0.0642, $0.05
06/19/2020, $0.0584, 15744, $0.0642, $0.0642, $0.0483
06/18/2020, $0.049, 10771, $0.0595, $0.06, $0.047
06/17/2020, $0.0596, 62388, $0.05, $0.0606, $0.0405
06/16/2020, $0.0488, 30822, $0.045, $0.05, $0.04
06/15/2020, $0.05, 49211, $0.067, $0.067, $0.034
06/12/2020, $0.04, 118984, $0.0599, $0.0599, $0.0332
06/11/2020, $0.0422, 370409, $0.06, $0.083, $0.0363
06/10/2020, $0.0288, 73966, $0.028, $0.0289, $0.02
06/09/2020, $0.0279, 47416, $0.02, $0.028, $0.02
06/08/2020, $0.025, 16596, $0.025, $0.028, $0.025
06/05/2020, $0.0283, N/A, $0.0283, $0.0283, $0.0283
06/04/2020, $0.0283, 9451, $0.0226, $0.0285, $0.02
06/03/2020, $0.0284, 16900, $0.0289, $0.0289, $0.0242
06/02/2020, $0.02, 54776, $0.0179, $0.02, $0.0179
06/01/2020, $0.015, 11100, $0.0209, $0.0209, $0.015
05/29/2020, $0.0181, N/A, $0.0181, $0.0181, $0.0181
05/28/2020, $0.0181, 5600, $0.024, $0.024, $0.0175
05/27/2020, $0.0239, 400, $0.0297, $0.0297, $0.0239
05/26/2020, $0.024, N/A, $0.024, $0.024, $0.024
05/22/2020, $0.024, N/A, $0.024, $0.024, $0.024
05/21/2020, $0.024, 8300, $0.024, $0.024, $0.024
05/20/2020, $0.024, 200, $0.024, $0.024, $0.024
05/19/2020, $0.024, 1215, $0.0281, $0.0281, $0.024
05/18/2020, $0.0298, 600, $0.0298, $0.0298, $0.0298
05/15/2020, $0.0298, N/A, $0.0298, $0.0298, $0.0298
05/14/2020, $0.0298, N/A, $0.0298, $0.0298, $0.0298
05/13/2020, $0.0298, 3050, $0.0185, $0.0298, $0.0185
05/12/2020, $0.0297, 15450, $0.0227, $0.03, $0.0227
05/11/2020, $0.024, 7129, $0.025, $0.0273, $0.0239
