Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.17, 257342, $4.13, $4.2, $3.98
07/30/2020, $4.18, 243793, $3.87, $4.2, $3.82
07/29/2020, $3.98, 313252, $3.67, $4.1, $3.67
07/28/2020, $3.66, 145847, $3.64, $3.76, $3.6
07/27/2020, $3.68, 62827, $3.71, $3.78, $3.61
07/24/2020, $3.72, 77034, $3.77, $3.82, $3.65
07/23/2020, $3.76, 107930, $3.76, $3.91, $3.72
07/22/2020, $3.78, 120680, $3.81, $3.84, $3.6
07/21/2020, $3.83, 301821, $3.73, $3.87, $3.69
07/20/2020, $3.71, 187103, $3.74, $3.765, $3.58
07/17/2020, $3.79, 107142, $3.91, $3.92, $3.72
07/16/2020, $3.925, 146884, $3.82, $3.97, $3.76
07/15/2020, $3.86, 200547, $3.83, $3.88, $3.73
07/14/2020, $3.75, 228130, $3.43, $3.75, $3.41
07/13/2020, $3.48, 308947, $3.77, $3.83, $3.43
07/10/2020, $3.75, 212873, $3.69, $3.85, $3.63
07/09/2020, $3.66, 195294, $3.85, $3.85, $3.56
07/08/2020, $3.8, 343715, $3.96, $3.99, $3.7401
07/07/2020, $3.93, 228322, $3.68, $3.99, $3.6759
07/06/2020, $3.74, 336940, $3.75, $3.83, $3.58
07/02/2020, $3.73, 134914, $3.71, $3.8, $3.655
07/01/2020, $3.62, 242273, $3.92, $3.99, $3.51
06/30/2020, $3.93, 135330, $3.92, $3.98, $3.77
06/29/2020, $3.93, 372024, $3.75, $3.99, $3.6825
06/26/2020, $3.705, 1316585, $3.57, $3.75, $3.5423
06/25/2020, $3.63, 291338, $3.53, $3.69, $3.4101
06/24/2020, $3.58, 280774, $3.48, $3.64, $3.2601
06/23/2020, $3.51, 446156, $3.38, $3.75, $3.3548
06/22/2020, $3.33, 350056, $3.17, $3.45, $3.12
06/19/2020, $3.15, 706370, $3.21, $3.49, $3.08
06/18/2020, $2.99, 209748, $2.91, $3.15, $2.87
06/17/2020, $2.91, 236572, $2.91, $3.03, $2.8363
06/16/2020, $2.94, 453001, $3.1, $3.225, $2.92
06/15/2020, $2.94, 358699, $2.77, $3.04, $2.65
06/12/2020, $2.82, 192243, $2.99, $3.0899, $2.768
06/11/2020, $2.9, 312942, $3.01, $3.05, $2.82
06/10/2020, $3.15, 209599, $3.3, $3.3828, $3.03
06/09/2020, $3.31, 298384, $3.21, $3.4999, $3.12
06/08/2020, $3.25, 222445, $3.25, $3.315, $3.145
06/05/2020, $3.16, 390527, $3, $3.24, $2.97
06/04/2020, $2.88, 233761, $2.75, $2.91, $2.75
06/03/2020, $2.81, 109891, $2.8, $2.9144, $2.77
06/02/2020, $2.72, 187334, $2.81, $2.87, $2.66
06/01/2020, $2.79, 130781, $2.78, $2.91, $2.69
05/29/2020, $2.765, 290092, $2.81, $2.85, $2.541
05/28/2020, $2.84, 333271, $2.99, $3.02, $2.82
05/27/2020, $2.91, 236770, $2.71, $2.95, $2.65
05/26/2020, $2.64, 522359, $2.83, $2.9899, $2.44
05/22/2020, $2.72, 352399, $2.6, $2.7428, $2.55
05/21/2020, $2.54, 544736, $2.21, $2.6, $2.205
05/20/2020, $2.17, 292170, $2.03, $2.22, $2.01
05/19/2020, $1.98, 232075, $1.81, $2.0299, $1.75
05/18/2020, $1.83, 520030, $1.79, $1.98, $1.77
05/15/2020, $1.71, 383399, $1.53, $1.71, $1.51
05/14/2020, $1.5, 334297, $1.59, $1.7, $1.47
05/13/2020, $1.64, 328877, $1.62, $1.65, $1.44
05/12/2020, $1.6, 265568, $1.59, $1.66, $1.57
05/11/2020, $1.6, 373032, $1.63, $1.66, $1.5
