Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.94, 13300, $2.08, $2.08, $1.94
07/30/2020, $2, 211279, $1.89, $2.25, $1.81
07/29/2020, $1.89, 15167, $1.89, $1.99, $1.8809
07/28/2020, $1.8902, 57787, $1.9, $1.99, $1.8102
07/27/2020, $2.1999, 641131, $2.03, $2.34, $1.91
07/24/2020, $1.93, 15161, $1.83, $1.93, $1.8
07/23/2020, $1.88, 4914, $2.0699, $2.0699, $1.8401
07/22/2020, $2.03, 12386, $1.97, $2.1, $1.91
07/21/2020, $1.97, 50293, $1.96, $1.99, $1.79
07/20/2020, $1.93, 8066, $1.78, $1.93, $1.78
07/17/2020, $1.8248, 25653, $1.8, $1.93, $1.7501
07/16/2020, $1.87, 3708, $1.79, $1.87, $1.735
07/15/2020, $1.7841, 12916, $1.82, $1.85, $1.69
07/14/2020, $1.82, 8446, $1.91, $1.91, $1.8
07/13/2020, $1.9, 18830, $1.98, $1.9899, $1.81
07/10/2020, $1.98, 1257, $2.03, $2.03, $1.975
07/09/2020, $1.91, 24108, $2.01, $2.14, $1.91
07/08/2020, $1.99, 30450, $2.05, $2.0501, $1.95
07/07/2020, $2.1, 15213, $2.12, $2.15, $2.01
07/06/2020, $2.16, 21980, $2.08, $2.16, $2.0701
07/02/2020, $2.0601, 9157, $2.02, $2.1, $2.02
07/01/2020, $2.06, 15844, $2.07, $2.21, $2.06
06/30/2020, $2.0802, 8256, $2.07, $2.23, $2.07
06/29/2020, $2.1002, 42966, $2.2, $2.24, $2.1002
06/26/2020, $2.2, 129467, $2.13, $2.25, $2.0201
06/25/2020, $2.1601, 70081, $2.15, $2.29, $2.0501
06/24/2020, $2.19, 154650, $2.18, $2.3, $2.0475
06/23/2020, $2.155, 119370, $2.02, $2.39, $2.02
06/22/2020, $2.06, 23460, $2.1, $2.145, $2
06/19/2020, $2.1, 14483, $2.1977, $2.2, $2.1
06/18/2020, $2.1201, 22255, $2.1, $2.32, $2.09
06/17/2020, $2.1549, 61905, $2.4, $2.4, $2.0501
06/16/2020, $2.23, 313334, $2.3, $2.45, $2.04
06/15/2020, $2.18, 67957, $2.37, $2.37, $1.95
06/12/2020, $2.1, 1079745, $2.22, $3.09, $2
06/11/2020, $2, 64820, $2, $2.27, $1.8
06/10/2020, $1.875, 85950, $1.89, $2.34, $1.83
06/09/2020, $1.7801, 21843, $1.75, $1.95, $1.75
06/08/2020, $1.7973, 7755, $1.82, $1.82, $1.75
06/05/2020, $1.78, 4002, $1.7779, $1.8134, $1.75
06/04/2020, $1.753, 7778, $1.81, $1.895, $1.75
06/03/2020, $1.9101, 5661, $1.76, $1.99, $1.76
06/02/2020, $1.8, 14085, $1.82, $1.85, $1.8
06/01/2020, $1.86, 5789, $1.82, $1.8712, $1.8
05/29/2020, $1.91, 4035, $1.94, $1.94, $1.845
05/28/2020, $1.94, 2265, $1.88, $1.94, $1.81
05/27/2020, $1.9581, 4799, $1.91, $1.965, $1.87
05/26/2020, $1.93, 2215, $1.98, $1.98, $1.93
05/22/2020, $1.94, 5041, $2.05, $2.05, $1.8501
05/21/2020, $2, 1224, $1.99, $2.044, $1.96
05/20/2020, $2.04, 3917, $1.974, $2.1, $1.82
05/19/2020, $1.99, 2482, $1.81, $1.99, $1.81
05/18/2020, $1.83, 3847, $1.9201, $1.98, $1.83
05/15/2020, $1.8001, 3739, $1.945, $1.945, $1.8001
05/14/2020, $1.83, 4128, $1.99, $1.99, $1.81
05/13/2020, $1.825, 8237, $1.96, $1.96, $1.8201
05/12/2020, $2.04, 2933, $2.12, $2.12, $2
05/11/2020, $2.05, 530, $2.03, $2.05, $2.03
