Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.05, 284132, $1.3, $1.34, $1.03
07/30/2020, $1.17, 965152, $0.98, $1.3, $0.93
07/29/2020, $0.9247, 124825, $0.9048, $0.97, $0.9048
07/28/2020, $0.9048, 28512, $0.9, $0.92, $0.88
07/27/2020, $0.88, 29730, $0.95, $0.95, $0.8701
07/24/2020, $0.91, 23666, $0.94, $0.9455, $0.9
07/23/2020, $0.9, 31010, $0.937, $0.94, $0.9
07/22/2020, $0.9301, 12793, $0.93, $0.96, $0.93
07/21/2020, $0.92, 47446, $0.96, $0.98, $0.92
07/20/2020, $0.9301, 75497, $0.87, $0.955, $0.87
07/17/2020, $0.8801, 26361, $0.8659, $0.91, $0.8625
07/16/2020, $0.8525, 30425, $0.86, $0.877, $0.8512
07/15/2020, $0.8538, 32680, $0.8874, $0.888, $0.8501
07/14/2020, $0.8498, 18976, $0.8401, $0.915, $0.8401
07/13/2020, $0.85, 30340, $0.887, $0.9296, $0.85
07/10/2020, $0.885, 65462, $0.8733, $0.925, $0.8733
07/09/2020, $0.8729, 16954, $0.8934, $0.9443, $0.8628
07/08/2020, $0.8851, 81984, $0.86, $0.949, $0.84
07/07/2020, $0.8969, 53303, $0.9, $0.97, $0.851
07/06/2020, $0.9326, 108262, $1.03, $1.05, $0.91
07/02/2020, $1.01, 153721, $1.1, $1.2, $1
07/01/2020, $1.05, 232855, $0.95, $1.05, $0.8933
06/30/2020, $0.92, 51743, $0.85, $0.95, $0.8208
06/29/2020, $0.82, 29935, $0.83, $0.86, $0.8147
06/26/2020, $0.85, 71702, $0.83, $0.87, $0.8165
06/25/2020, $0.8596, 29810, $0.84, $0.9, $0.81
06/24/2020, $0.86, 100722, $0.9005, $0.9005, $0.7825
06/23/2020, $0.8713, 81746, $0.87, $0.94, $0.83
06/22/2020, $0.8331, 68580, $0.8978, $0.8978, $0.8049
06/19/2020, $0.93, 80433, $0.92, $0.96, $0.8769
06/18/2020, $0.9291, 104314, $0.8692, $0.95, $0.8254
06/17/2020, $0.85, 66383, $0.813, $0.88, $0.81
06/16/2020, $0.791, 95276, $0.75, $0.8493, $0.75
06/15/2020, $0.765, 153480, $0.819, $0.8201, $0.765
06/12/2020, $0.78, 39213, $0.75, $0.8081, $0.75
06/11/2020, $0.7645, 69072, $0.88, $0.88, $0.76
06/10/2020, $0.8697, 145080, $0.92, $0.95, $0.85
06/09/2020, $0.865, 187898, $0.92, $0.9755, $0.8501
06/08/2020, $0.8929, 140911, $0.85, $0.98, $0.85
06/05/2020, $0.8457, 121317, $0.8, $0.9568, $0.8
06/04/2020, $0.8417, 126215, $1, $1, $0.7801
06/03/2020, $0.87, 37366, $0.9, $0.915, $0.86
06/02/2020, $0.9021, 50622, $0.97, $1, $0.9002
06/01/2020, $0.9904, 101408, $1, $1.04, $0.84
05/29/2020, $1.04, 95642, $0.84, $1.04, $0.84
05/28/2020, $0.82, 58893, $0.76, $0.8399, $0.76
05/27/2020, $0.7951, 141006, $0.8, $0.81, $0.78
05/26/2020, $0.8, 64140, $0.8, $0.8, $0.72
05/22/2020, $0.799, 158055, $0.71, $0.85, $0.71
05/21/2020, $0.74, 29141, $0.723, $0.78, $0.7
05/20/2020, $0.75, 44455, $0.75, $0.78, $0.72
05/19/2020, $0.7201, 89438, $0.73, $0.8, $0.66
05/18/2020, $0.76, 64886, $0.68, $0.79, $0.68
05/15/2020, $0.677, 20382, $0.645, $0.7315, $0.645
05/14/2020, $0.6799, 30478, $0.645, $0.7, $0.645
05/13/2020, $0.68, 28895, $0.7425, $0.745, $0.6111
05/12/2020, $0.68, 30241, $0.75, $0.7505, $0.68
05/11/2020, $0.72, 16804, $0.78, $0.78, $0.7003
