Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.655, 7499, $3.63, $3.69, $3.63
07/30/2020, $3.6, 7171, $3.62, $3.65, $3.58
07/29/2020, $3.7, 4326, $3.7265, $3.7577, $3.6
07/28/2020, $3.88, 19476, $3.58, $3.88, $3.55
07/27/2020, $3.54, 5244, $3.5401, $3.5944, $3.54
07/24/2020, $3.61, 7197, $3.61, $3.64, $3.5501
07/23/2020, $3.69, 13837, $3.7501, $3.79, $3.6569
07/22/2020, $3.86, 206676, $3.725, $4.7, $3.65
07/21/2020, $3.69, 6902, $3.6093, $3.78, $3.6093
07/20/2020, $3.54, 1473, $3.67, $3.67, $3.54
07/17/2020, $3.631, 4148, $3.6, $3.848, $3.55
07/16/2020, $3.54, 10744, $3.63, $3.65, $3.5
07/15/2020, $3.5256, 5734, $3.6059, $3.65, $3.501
07/14/2020, $3.545, 5802, $3.5115, $3.6441, $3.51
07/13/2020, $3.56, 5300, $3.73, $3.86, $3.56
07/10/2020, $3.97, 10312, $3.6201, $3.99, $3.6201
07/09/2020, $3.75, 10566, $3.85, $4.08, $3.75
07/08/2020, $3.7563, 17515, $3.65, $3.835, $3.65
07/07/2020, $3.7, 2675, $3.715, $3.7396, $3.62
07/06/2020, $3.8, 7148, $3.52, $3.84, $3.52
07/02/2020, $3.64, 5529, $3.51, $3.75, $3.5
07/01/2020, $3.51, 11690, $3.4411, $3.8499, $3.4411
06/30/2020, $3.5, 2061, $3.585, $3.6148, $3.5
06/29/2020, $3.5, 8388, $3.74, $3.89, $3.35
06/26/2020, $3.53, 5613, $3.8, $3.8, $3.5298
06/25/2020, $3.7265, 4245, $3.62, $3.98, $3.62
06/24/2020, $3.71, 8757, $3.82, $4.2, $3.71
06/23/2020, $3.91, 33327, $4.16, $4.3894, $3.73
06/22/2020, $3.86, 4226, $3.9001, $4.2499, $3.7119
06/19/2020, $4.25, 51174, $4.5, $4.571, $3.74
06/18/2020, $4.85, 396736, $3.49, $5.37, $3.47
06/17/2020, $3.53, 14288, $3.5899, $3.78, $3.4501
06/16/2020, $3.59, 15169, $3.5501, $3.7989, $3.485
06/15/2020, $3.6888, 18155, $3.79, $3.79, $3.34
06/12/2020, $3.63, 26977, $4.15, $4.18, $3.355
06/11/2020, $3.8, 159040, $3.45, $4.6, $3.32
06/10/2020, $3.49, 27332, $3.74, $3.74, $3.45
06/09/2020, $3.492, 39042, $3.77, $3.81, $3.26
06/08/2020, $3.77, 211895, $3.48, $4.68, $3.38
06/05/2020, $3.2796, 55631, $3.6, $3.6699, $2.98
06/04/2020, $3.49, 15605, $3.52, $3.5814, $3.4001
06/03/2020, $3.572, 594, $3.65, $3.65, $3.5
06/02/2020, $3.65, 3890, $3.76, $3.77, $3.6499
06/01/2020, $3.655, 729, $3.6, $3.655, $3.6
05/29/2020, $3.5, 1943, $3.5, $3.53, $3.5
05/28/2020, $3.5473, 22621, $3.45, $3.7999, $3.4
05/27/2020, $3.5001, 4988, $3.61, $3.61, $3.5001
05/26/2020, $3.6, 2500, $3.7322, $3.7999, $3.44
05/22/2020, $3.43, 2832, $3.96, $3.96, $3.43
05/21/2020, $3.76, 1812, $3.9, $3.9, $3.76
05/20/2020, $3.81, 2210, $3.81, $3.885, $3.8
05/19/2020, $4, 4122, $4.06, $4.1, $4
05/18/2020, $4.05, 13778, $4.05, $4.39, $3.75
05/15/2020, $4.48, N/A, $4.48, $4.48, $4.48
05/14/2020, $4.48, N/A, $4.48, $4.48, $4.48
05/13/2020, $4.48, 1118, $4.2, $4.48, $3.6
05/12/2020, $4.6588, N/A, $4.6588, $4.6588, $4.6588
05/11/2020, $4.6588, N/A, $4.6588, $4.6588, $4.6588
