Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.5, 170, $3.5, $3.5, $3.5
07/30/2020, $3.4829, 550, $3.4829, $3.4829, $3.4829
07/29/2020, $3.67, N/A, $3.67, $3.67, $3.67
07/28/2020, $3.67, 120, $3.67, $3.67, $3.67
07/27/2020, $3.67, 651, $3.68, $3.68, $3.67
07/24/2020, $3.5571, 942, $3.5571, $3.5571, $3.5571
07/23/2020, $3.63, N/A, $3.63, $3.63, $3.63
07/22/2020, $3.63, 171, $3.63, $3.63, $3.63
07/21/2020, $3.62, 3242, $3.52, $3.62, $3.3802
07/20/2020, $3.615, 1309, $3.56, $3.615, $3.55
07/17/2020, $3.53, 601, $3.6, $3.6, $3.53
07/16/2020, $3.6, 1511, $3.52, $3.618, $3.52
07/15/2020, $3.5789, 793, $3.6, $3.6176, $3.5789
07/14/2020, $3.656, 586, $3.656, $3.656, $3.656
07/13/2020, $3.6, 2901, $3.618, $3.6225, $3.6
07/10/2020, $3.64, 3020, $3.655, $3.69, $3.64
07/09/2020, $3.6, 2111, $3.54, $3.69, $3.54
07/08/2020, $3.6, 1845, $3.7, $3.7, $3.6
07/07/2020, $3.6, 3574, $3.59, $3.65, $3.5389
07/06/2020, $3.54, 2543, $3.3401, $3.56, $3.3401
07/02/2020, $3.561, 1890, $3.4, $3.59, $3.4
07/01/2020, $3.3101, 583, $3.6388, $3.6388, $3.3101
06/30/2020, $3.48, 1653, $3.3601, $3.48, $3.3601
06/29/2020, $3.36, 890, $3.3501, $3.48, $3.3501
06/26/2020, $3.415, 8921, $3.35, $3.4624, $3.35
06/25/2020, $3.5, 297, $3.5, $3.5, $3.5
06/24/2020, $3.62, 7669, $3.68, $3.68, $3.56
06/23/2020, $3.635, 3067, $3.57, $3.635, $3.56
06/22/2020, $3.5576, 8656, $3.57, $3.79, $3.52
06/19/2020, $3.64, 15082, $3.9, $4, $3.5
06/18/2020, $3.8799, 59318, $3.5175, $4.095, $3.5175
06/17/2020, $3.5418, 5456, $3.368, $3.55, $3.368
06/16/2020, $3.55, 522, $3.55, $3.55, $3.55
06/15/2020, $3.302, 4835, $3.2601, $3.302, $3.26
06/12/2020, $3.4995, 1177, $3.5303, $3.5303, $3.4995
06/11/2020, $3.46, N/A, $3.46, $3.46, $3.46
06/10/2020, $3.46, N/A, $3.46, $3.46, $3.46
06/09/2020, $3.46, 135, $3.46, $3.46, $3.46
06/08/2020, $3.43, 2059, $3.3, $3.44, $3.3
06/05/2020, $3.3433, N/A, $3.3433, $3.3433, $3.3433
06/04/2020, $3.3433, 3933, $3.3, $3.3433, $3.1
06/03/2020, $3.4027, 1347, $3.6, $3.6, $3.24
06/02/2020, $3.56, 912, $3.58, $3.58, $3.3632
06/01/2020, $3.28, 1566, $3.19, $3.36, $3.19
05/29/2020, $3.5, 670, $3.57, $3.57, $3.5
05/28/2020, $3.32, 2488, $3.3201, $3.3201, $3.32
05/27/2020, $3.2701, 3941, $3.2701, $3.2701, $3.2701
05/26/2020, $3.2787, 17095, $3.3103, $3.35, $3.21
05/22/2020, $3.49, 1149, $3.22, $3.64, $3.2108
05/21/2020, $3.6, N/A, $3.6, $3.6, $3.6
05/20/2020, $3.6, 339, $3.64, $3.64, $3.6
05/19/2020, $3.65, 698, $3.65, $3.65, $3.65
05/18/2020, $3.6, 272, $3.6, $3.6, $3.6
05/15/2020, $3.25, N/A, $3.25, $3.25, $3.25
05/14/2020, $3.25, N/A, $3.25, $3.25, $3.25
05/13/2020, $3.25, N/A, $3.25, $3.25, $3.25
05/12/2020, $3.25, N/A, $3.25, $3.25, $3.25
05/11/2020, $3.25, 1092, $3.25, $3.25, $3.25
