Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.34, 30502, $4.33, $4.65, $4.26
07/30/2020, $4.29, 23863, $4.28, $4.49, $4.28
07/29/2020, $4.33, 11064, $4.32, $4.47, $4.32
07/28/2020, $4.31, 17369, $4.47, $4.65, $4.27
07/27/2020, $4.48, 5224, $4.38, $4.485, $4.3201
07/24/2020, $4.39, 17585, $4.3535, $4.595, $4.32
07/23/2020, $4.3485, 50636, $4.61, $4.75, $4.31
07/22/2020, $4.55, 91506, $4.5, $4.69, $4.445
07/21/2020, $4.42, 13500, $4.4654, $4.4654, $4.35
07/20/2020, $4.35, 11111, $4.4, $4.4924, $4.35
07/17/2020, $4.35, 5457, $4.49, $4.49, $4.3301
07/16/2020, $4.32, 42904, $4.2911, $4.642, $4.2911
07/15/2020, $4.37, 25887, $4.33, $4.44, $4.25
07/14/2020, $4.28, 28595, $4.3027, $4.45, $4.2319
07/13/2020, $4.31, 339595, $4.21, $4.82, $4.15
07/10/2020, $4.22, 16506, $4.21, $4.27, $4.2001
07/09/2020, $4.29, 36845, $4.3551, $4.4336, $4.2
07/08/2020, $4.3295, 77801, $4.44, $4.45, $4.28
07/07/2020, $4.42, 53244, $4.27, $4.6, $4.27
07/06/2020, $4.52, 561675, $4.72, $4.75, $4.1
07/02/2020, $5.25, 1096298, $4.13, $5.73, $4.055
07/01/2020, $4.1, 13716, $3.965, $4.16, $3.96
06/30/2020, $3.97, 25565, $3.95, $4.14, $3.95
06/29/2020, $4.02, 7873, $4.13, $4.16, $4.0199
06/26/2020, $4.07, 10072, $4.1689, $4.1799, $3.9601
06/25/2020, $4.16, 46604, $4.185, $4.189, $3.99
06/24/2020, $3.91, 39977, $4.2462, $4.2462, $3.9
06/23/2020, $4.15, 145766, $4.0156, $4.38, $3.99
06/22/2020, $3.9705, 23524, $4.05, $4.19, $3.85
06/19/2020, $4.0299, 39092, $4.045, $4.045, $3.8
06/18/2020, $3.95, 61414, $3.98, $4.0761, $3.935
06/17/2020, $4.05, 173486, $4, $4.4, $3.8901
06/16/2020, $3.94, 43811, $3.89, $4.05, $3.7074
06/15/2020, $3.65, 15399, $3.62, $3.831, $3.54
06/12/2020, $3.7557, 12793, $3.63, $3.7899, $3.63
06/11/2020, $3.6334, 18286, $3.8, $3.8699, $3.58
06/10/2020, $3.8854, 9328, $3.91, $3.92, $3.82
06/09/2020, $3.94, 3339, $3.88, $3.9799, $3.82
06/08/2020, $3.88, 23603, $3.77, $3.97, $3.77
06/05/2020, $3.93, 52067, $3.82, $3.9999, $3.77
06/04/2020, $3.88, 40661, $3.88, $4, $3.81
06/03/2020, $3.9759, 35267, $4.05, $4.2, $3.9
06/02/2020, $4, 232527, $4.75, $4.75, $3.98
06/01/2020, $4.58, 106672, $4.44, $4.79, $4.3904
05/29/2020, $4.36, 25006, $4.35, $4.4, $4.2637
05/28/2020, $4.27, 53591, $4.19, $4.45, $4.02
05/27/2020, $4.19, 18929, $4.21, $4.21, $4.13
05/26/2020, $4.13, 10424, $4.1891, $4.1905, $4.13
05/22/2020, $4.085, 9439, $4.15, $4.19, $4.02
05/21/2020, $4.02, 12463, $4.11, $4.13, $3.94
05/20/2020, $4.1, 8112, $4.09, $4.15, $4.05
05/19/2020, $3.9296, 49291, $4.07, $4.21, $3.91
05/18/2020, $3.978, 45232, $3.77, $4.05, $3.77
05/15/2020, $3.925, 21589, $3.86, $3.9709, $3.76
05/14/2020, $3.9699, 9323, $3.86, $3.9699, $3.79
05/13/2020, $3.9, 2169, $4.07, $4.07, $3.86
05/12/2020, $3.9446, 8826, $4.2, $4.2, $3.9446
05/11/2020, $4.1295, 12487, $4.06, $4.14, $3.9348
