Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.28, 215369, $1.34, $1.34, $1.23
07/30/2020, $1.31, 501578, $1.21, $1.32, $1.21
07/29/2020, $1.2299, 88493, $1.2, $1.24, $1.2
07/28/2020, $1.2001, 219311, $1.17, $1.235, $1.16
07/27/2020, $1.16, 106982, $1.15, $1.19, $1.14
07/24/2020, $1.15, 154814, $1.18, $1.2, $1.13
07/23/2020, $1.15, 250106, $1.11, $1.2, $1.11
07/22/2020, $1.12, 202861, $1.098, $1.14, $1.07
07/21/2020, $1.115, 865503, $1.14, $1.33, $1.09
07/20/2020, $1.1399, 177727, $1.1, $1.14, $1.08
07/17/2020, $1.0999, 111115, $1.1, $1.11, $1.08
07/16/2020, $1.1, 67585, $1.1, $1.11, $1.08
07/15/2020, $1.1, 76785, $1.1, $1.11, $1.08
07/14/2020, $1.08, 172504, $1.08, $1.11, $1.08
07/13/2020, $1.08, 272440, $1.12, $1.15, $1.08
07/10/2020, $1.06, 193074, $1.04, $1.09, $1.03
07/09/2020, $1.04, 98888, $1.09, $1.09, $1.04
07/08/2020, $1.06, 181440, $1.06, $1.11, $1.04
07/07/2020, $1.06, 124124, $1.11, $1.125, $1.05
07/06/2020, $1.11, 181827, $1.14, $1.14, $1.1
07/02/2020, $1.1, 261680, $1.07, $1.1, $1.05
07/01/2020, $1.04, 227042, $1.05, $1.06, $1.02
06/30/2020, $1.03, 203949, $1.01, $1.04, $1
06/29/2020, $1.02, 174046, $0.99, $1.06, $0.9844
06/26/2020, $1, 265740, $1, $1.02, $0.975
06/25/2020, $1.01, 171232, $1.01, $1.03, $0.975
06/24/2020, $1.02, 222763, $1.05, $1.05, $0.98
06/23/2020, $1.03, 221740, $1.05, $1.079, $1.01
06/22/2020, $1.04, 241367, $1.08, $1.12, $1.0301
06/19/2020, $1.06, 260158, $1.05, $1.08, $1.03
06/18/2020, $1.04, 286765, $1.07, $1.0703, $1
06/17/2020, $1.04, 200449, $1.02, $1.09, $1.02
06/16/2020, $1.05, 288006, $1.06, $1.12, $1.04
06/15/2020, $1.04, 352990, $0.962, $1.09, $0.96
06/12/2020, $1.03, 403120, $1.04, $1.1, $1
06/11/2020, $1.02, 519554, $1.03, $1.11, $1.01
06/10/2020, $1.09, 611909, $1.18, $1.25, $1.06
06/09/2020, $1.21, 3618025, $1.52, $1.55, $1.1
06/08/2020, $1.22, 925572, $1.12, $1.24, $1.02
06/05/2020, $1.1, 263174, $1.04, $1.12, $1.04
06/04/2020, $1.05, 248502, $1.01, $1.07, $1.01
06/03/2020, $1.06, 124330, $1.08, $1.08, $1.01
06/02/2020, $1.0371, 144450, $1.07, $1.07, $1.01
06/01/2020, $1.05, 219787, $1.07, $1.09, $1.02
05/29/2020, $1.05, 214730, $1.05, $1.07, $1.02
05/28/2020, $1.025, 366206, $1.06, $1.06, $0.9895
05/27/2020, $1.06, 1057762, $1.16, $1.21, $1.02
05/26/2020, $1.01, 119646, $0.98, $1.04, $0.98
05/22/2020, $1.03, 80459, $1.03, $1.08, $1.01
05/21/2020, $1.03, 150700, $1.03, $1.05, $1
05/20/2020, $1.04, 339503, $1.07, $1.13, $1.025
05/19/2020, $1.09, 179193, $1, $1.15, $1
05/18/2020, $1.01, 136769, $1.0705, $1.09, $1.0027
05/15/2020, $1.055, 59170, $1.03, $1.06, $1
05/14/2020, $1, 198290, $1.03, $1.1, $0.95
05/13/2020, $1.0299, 334698, $1.05, $1.1801, $0.93
05/12/2020, $1.0692, 175277, $1.05, $1.15, $1.05
05/11/2020, $1.05, 158333, $1.04, $1.1, $1.03
