Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.85, 59483, $3.8, $3.91, $3.7
07/30/2020, $3.84, 63732, $3.72, $3.85, $3.68
07/29/2020, $3.8, 155693, $3.81, $3.85, $3.66
07/28/2020, $3.8, 130538, $3.88, $3.96, $3.72
07/27/2020, $3.8, 85617, $3.91, $3.95, $3.7394
07/24/2020, $3.95, 48786, $4.1, $4.16, $3.9
07/23/2020, $4.07, 84950, $4.3, $4.3899, $4.04
07/22/2020, $4.27, 101771, $4.7, $4.77, $4.21
07/21/2020, $4.48, 180533, $4.09, $4.61, $4
07/20/2020, $4.11, 59554, $4.11, $4.155, $3.93
07/17/2020, $4.12, 218273, $3.8, $4.35, $3.75
07/16/2020, $3.84, 40027, $3.92, $3.94, $3.79
07/15/2020, $3.92, 67869, $3.88, $4, $3.76
07/14/2020, $3.78, 57324, $3.88, $3.88, $3.7
07/13/2020, $3.69, 77814, $3.93, $3.93, $3.68
07/10/2020, $3.92, 55910, $3.82, $3.99, $3.82
07/09/2020, $3.76, 106669, $3.94, $3.94, $3.69
07/08/2020, $3.95, 65684, $4.03, $4.0716, $3.91
07/07/2020, $4.03, 142573, $3.86, $4.09, $3.845
07/06/2020, $3.92, 114762, $4.14, $4.2, $3.81
07/02/2020, $4.05, 90270, $4.14, $4.2, $4
07/01/2020, $4.14, 145771, $4.26, $4.35, $4.03
06/30/2020, $4.21, 328879, $3.98, $4.38, $3.87
06/29/2020, $3.95, 167201, $3.8, $4, $3.55
06/26/2020, $3.82, 513610, $3.7, $3.85, $3.51
06/25/2020, $3.66, 73052, $3.7, $3.75, $3.53
06/24/2020, $3.67, 200071, $3.74, $3.8, $3.5
06/23/2020, $3.71, 120472, $3.85, $3.85, $3.66
06/22/2020, $3.81, 96473, $3.85, $3.89, $3.75
06/19/2020, $3.89, 174181, $3.86, $3.99, $3.67
06/18/2020, $3.79, 200305, $3.81, $4.1, $3.71
06/17/2020, $3.82, 170329, $4.1, $4.15, $3.77
06/16/2020, $4.16, 314258, $4.1, $4.3, $3.98
06/15/2020, $4.03, 298030, $3.91, $4.14, $3.75
06/12/2020, $3.9, 254260, $4.19, $4.19, $3.85
06/11/2020, $3.85, 482865, $3.91, $4.37, $3.8
06/10/2020, $4.24, 811434, $4.9, $4.9, $4.195
06/09/2020, $5.02, 1431842, $6, $6.04, $4.91
06/08/2020, $6.06, 22254890, $13.25, $13.43, $5.62
06/05/2020, $4.12, 46607, $3.94, $4.15, $3.92
06/04/2020, $3.85, 44869, $3.48, $3.89, $3.48
06/03/2020, $3.5, 40177, $3.45, $3.76, $3.435
06/02/2020, $3.46, 28427, $3.4, $3.69, $3.4
06/01/2020, $3.4, 33204, $3.48, $3.5682, $3.4
05/29/2020, $3.55, 26565, $3.5, $3.6, $3.41
05/28/2020, $3.53, 33344, $3.67, $3.69, $3.53
05/27/2020, $3.67, 39614, $3.55, $3.7, $3.5
05/26/2020, $3.53, 20377, $3.7, $3.7, $3.5
05/22/2020, $3.68, 21247, $3.69, $3.765, $3.52
05/21/2020, $3.72, 48600, $3.64, $3.996, $3.5607
05/20/2020, $3.74, 33277, $3.85, $3.93, $3.68
05/19/2020, $3.92, 44989, $4.18, $4.22, $3.88
05/18/2020, $4.2, 79262, $4, $4.2, $3.9998
05/15/2020, $4.05, 79572, $3.96, $4.2, $3.8582
05/14/2020, $3.82, 146975, $4.25, $4.25, $3.61
05/13/2020, $4.25, 431143, $3.1, $4.35, $3.1
05/12/2020, $3.06, 163568, $3.98, $3.98, $3.05
05/11/2020, $4.12, 62341, $4.04, $4.35, $4.03
