Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.07, 2978, $3.08, $3.1, $3.07
07/30/2020, $3.13, 12774, $3.169, $3.169, $3.13
07/29/2020, $3.13, 16364, $3.13, $3.18, $3.13
07/28/2020, $3.13, 15549, $3.115, $3.2, $3.0897
07/27/2020, $3.13, 12377, $3.11, $3.13, $3.075
07/24/2020, $3.12, 13109, $3.14, $3.1496, $3.06
07/23/2020, $3.06, 1400, $3.14, $3.14, $3.06
07/22/2020, $3.12, 14643, $3.05, $3.14, $3.03
07/21/2020, $3.04, 31841, $2.93, $3.04, $2.92
07/20/2020, $2.93, 181, $2.93, $2.93, $2.93
07/17/2020, $3.03, 8493, $3.1095, $3.1095, $3.03
07/16/2020, $3.0644, 13363, $3.0262, $3.1499, $3.0173
07/15/2020, $3.05, 19914, $3.02, $3.05, $2.95
07/14/2020, $2.925, 5765, $2.9, $3.0249, $2.9
07/13/2020, $2.91, 26391, $2.95, $2.95, $2.91
07/10/2020, $2.99, 28383, $2.91, $2.99, $2.91
07/09/2020, $2.91, 12497, $2.976, $2.976, $2.91
07/08/2020, $2.99, 37733, $2.95, $3.005, $2.95
07/07/2020, $3.03, 22118, $3, $3.05, $2.95
07/06/2020, $3.05, 5800, $3.1, $3.14, $3.05
07/02/2020, $3.05, 31988, $2.94, $3.28, $2.94
07/01/2020, $2.92, 4163, $2.92, $2.94, $2.92
06/30/2020, $2.95, 7127, $3.005, $3.0146, $2.93
06/29/2020, $3.01, 12825, $3.06, $3.06, $2.98
06/26/2020, $3.1, 42748, $3, $3.11, $2.9827
06/25/2020, $3.04, 19783, $2.99, $3.06, $2.99
06/24/2020, $3, 27088, $2.99, $3.06, $2.99
06/23/2020, $3.04, 15223, $3.075, $3.09, $3.02
06/22/2020, $3.05, 67510, $3.01, $3.09, $2.968
06/19/2020, $2.85, 310155, $3.35, $3.64, $2.85
06/18/2020, $3.31, 108364, $3.16, $3.32, $3.12
06/17/2020, $3.15, 62162, $3.14, $3.15, $3.035
06/16/2020, $3.05, 76546, $3.09, $3.15, $3.05
06/15/2020, $3.045, 218589, $2.99, $3.1, $2.9
06/12/2020, $2.9, 3886, $2.9215, $2.9215, $2.9
06/11/2020, $2.91, 21975, $2.92, $2.931, $2.91
06/10/2020, $2.93, 14712, $2.98, $2.98, $2.91
06/09/2020, $2.95, 28838, $3.01, $3.01, $2.94
06/08/2020, $3.01, 43698, $3, $3.02, $2.985
06/05/2020, $3.0027, 46400, $2.985, $3.02, $2.98
06/04/2020, $2.98, 15026, $2.975, $2.99, $2.96
06/03/2020, $2.96, 22572, $2.95, $3.03, $2.95
06/02/2020, $2.96, 28986, $2.92, $2.96, $2.9154
06/01/2020, $2.92, 24292, $2.92, $2.95, $2.92
05/29/2020, $2.91, 15910, $2.905, $2.92, $2.86
05/28/2020, $2.92, 5120, $2.84, $2.934, $2.83
05/27/2020, $2.84, 1319908, $2.73, $2.92, $2.73
05/26/2020, $2.88, 22978, $2.86, $2.95, $2.85
05/22/2020, $2.85, 32106, $2.933, $2.94, $2.85
05/21/2020, $2.91, 13513, $2.95, $2.95, $2.91
05/20/2020, $2.92, 118025, $3, $3, $2.88
05/19/2020, $2.9, 55211, $3, $3.02, $2.89
05/18/2020, $2.95, 16828, $3, $3.04, $2.95
05/15/2020, $2.95, 125254, $2.85, $3.11, $2.85
05/14/2020, $2.7984, 7620, $2.85, $2.85, $2.79
05/13/2020, $2.85, 8661, $2.82, $2.8536, $2.79
05/12/2020, $2.83, 28421, $2.89, $2.9128, $2.83
05/11/2020, $2.89, 25975, $2.9, $2.9173, $2.88
