Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.7, 14407, $2.62, $2.73, $2.62
07/30/2020, $2.64, 10889, $2.66, $2.72, $2.61
07/29/2020, $2.73, 25868, $2.7, $2.79, $2.63
07/28/2020, $2.64, 59233, $2.64, $2.7488, $2.6
07/27/2020, $2.7, 26974, $2.71, $2.8567, $2.6301
07/24/2020, $2.74, 20604, $2.7001, $2.8, $2.7001
07/23/2020, $2.76, 80823, $2.75, $2.8607, $2.69
07/22/2020, $2.7705, 254730, $2.99, $3.15, $2.7001
07/21/2020, $2.8856, 405373, $2.69, $2.9, $2.56
07/20/2020, $2.66, 137217, $2.71, $2.8199, $2.57
07/17/2020, $2.75, 238448, $3.014, $3.13, $2.69
07/16/2020, $3.11, 855494, $2.43, $3.15, $2.34
07/15/2020, $2.486, 57046, $2.3459, $2.5, $2.3338
07/14/2020, $2.42, 26000, $2.368, $2.43, $2.33
07/13/2020, $2.33, 159955, $2.61, $2.69, $2.3
07/10/2020, $2.63, 520328, $2.47, $2.99, $2.47
07/09/2020, $2.5001, 60344, $2.61, $2.65, $2.5
07/08/2020, $2.615, 6727, $2.59, $2.63, $2.55
07/07/2020, $2.57, 25755, $2.57, $2.68, $2.57
07/06/2020, $2.56, 85441, $2.6, $2.68, $2.5
07/02/2020, $2.54, 23158, $2.61, $2.67, $2.53
07/01/2020, $2.61, 35741, $2.5, $2.61, $2.49
06/30/2020, $2.52, 41549, $2.51, $2.61, $2.46
06/29/2020, $2.52, 69746, $2.57, $2.63, $2.5
06/26/2020, $2.6, 51678, $2.68, $2.68, $2.5301
06/25/2020, $2.7, 45220, $2.7, $2.728, $2.62
06/24/2020, $2.7216, 119690, $2.85, $2.85, $2.615
06/23/2020, $2.85, 593483, $2.75, $3.19, $2.5863
06/22/2020, $2.6173, 144901, $2.67, $2.8308, $2.54
06/19/2020, $2.74, 533132, $3.16, $3.22, $2.64
06/18/2020, $3.24, 898214, $2.5, $3.29, $2.5
06/17/2020, $2.52, 30232, $2.57, $2.673, $2.51
06/16/2020, $2.57, 26312, $2.67, $2.74, $2.55
06/15/2020, $2.57, 50882, $2.42, $2.71, $2.42
06/12/2020, $2.54, 63321, $2.55, $2.74, $2.495
06/11/2020, $2.5, 48716, $2.59, $2.66, $2.48
06/10/2020, $2.8, 101068, $2.85, $2.86, $2.6
06/09/2020, $2.75, 72679, $2.86, $2.986, $2.64
06/08/2020, $3, 164754, $3.05, $3.18, $2.8148
06/05/2020, $3.01, 926465, $2.84, $3.5, $2.73
06/04/2020, $2.67, 313004, $2.32, $2.67, $2.15
06/03/2020, $2.43, 59750, $2.45, $2.6, $2.3931
06/02/2020, $2.47, 73173, $2.54, $2.56, $2.43
06/01/2020, $2.58, 108559, $2.73, $2.7807, $2.5
05/29/2020, $2.72, 71362, $2.78, $2.9999, $2.61
05/28/2020, $2.75, 314402, $3.32, $3.32, $2.75
05/27/2020, $3.4, 11398580, $3.97, $5.1, $3.02
05/26/2020, $2.43, 12472, $2.45, $2.45, $2.23
05/22/2020, $2.23, 2961, $2.17, $2.33, $2.17
05/21/2020, $2.2353, 7788, $2.22, $2.25, $2.1503
05/20/2020, $2.15, 9398, $2.2, $2.235, $2.1205
05/19/2020, $2.21, 8713, $2.33, $2.44, $2.205
05/18/2020, $2.26, 9501, $2.19, $2.36, $2.1
05/15/2020, $2.22, 39668, $2.2769, $2.4, $1.93
05/14/2020, $2.3134, 8135, $2.375, $2.375, $2.31
05/13/2020, $2.31, 10222, $2.37, $2.4553, $2.28
05/12/2020, $2.4506, 41924, $2.36, $2.6, $2.35
05/11/2020, $2.36, 30580, $2.22, $2.46, $2.15
