Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.18, 37255, $0.19, $0.2005, $0.18
07/30/2020, $0.18, 21420, $0.185, $0.185, $0.18
07/29/2020, $0.18, 17152, $0.2099, $0.2102, $0.18
07/28/2020, $0.21, 3339, $0.21, $0.21, $0.1998
07/27/2020, $0.1801, 998, $0.1803, $0.1803, $0.1801
07/24/2020, $0.18, 8004, $0.21, $0.21, $0.18
07/23/2020, $0.1831, N/A, $0.1831, $0.1831, $0.1831
07/22/2020, $0.1831, 7300, $0.22, $0.22, $0.1821
07/21/2020, $0.2001, 24898, $0.2, $0.2002, $0.1929
07/20/2020, $0.1914, 479, $0.2, $0.2019, $0.1914
07/17/2020, $0.2014, 4043, $0.2095, $0.2095, $0.2
07/16/2020, $0.2001, 34756, $0.21, $0.22, $0.1999
07/15/2020, $0.2, 182281, $0.189, $0.2, $0.18
07/14/2020, $0.182, 121614, $0.22, $0.22, $0.181
07/13/2020, $0.19, 206966, $0.176, $0.2499, $0.176
07/10/2020, $0.191, 11979, $0.2113, $0.2113, $0.176
07/09/2020, $0.21, 40565, $0.2498, $0.2498, $0.2
07/08/2020, $0.1989, 9001, $0.23, $0.23, $0.19
07/07/2020, $0.1901, 113172, $0.25, $0.26, $0.18
07/06/2020, $0.2399, 47725, $0.25, $0.2675, $0.22
07/02/2020, $0.24, 136310, $0.2, $0.3, $0.199
07/01/2020, $0.1899, 186947, $0.24, $0.24, $0.13
06/30/2020, $0.191, 21161, $0.2195, $0.25, $0.1532
06/29/2020, $0.21, 68093, $0.2, $0.229, $0.1351
06/26/2020, $0.18, 20579, $0.22, $0.22, $0.16
06/25/2020, $0.21, 9749, $0.22, $0.225, $0.21
06/24/2020, $0.2199, 65128, $0.22, $0.22, $0.1301
06/23/2020, $0.24, 24764, $0.257, $0.257, $0.2399
06/22/2020, $0.25, 65683, $0.23, $0.29, $0.22
06/19/2020, $0.2291, 56724, $0.179, $0.23, $0.179
06/18/2020, $0.177, 79559, $0.19, $0.19, $0.17
06/17/2020, $0.15, 41400, $0.13, $0.182, $0.13
06/16/2020, $0.13, 41352, $0.145, $0.1458, $0.13
06/15/2020, $0.135, 64670, $0.14, $0.145, $0.12
06/12/2020, $0.13, 41527, $0.139, $0.139, $0.13
06/11/2020, $0.12, 188887, $0.14, $0.14, $0.12
06/10/2020, $0.14, 252041, $0.14, $0.14, $0.1289
06/09/2020, $0.13, 12774, $0.1262, $0.13, $0.1262
06/08/2020, $0.13, 50008, $0.12, $0.13, $0.12
06/05/2020, $0.12, 2658, $0.1199, $0.12, $0.1199
06/04/2020, $0.1289, 40000, $0.1299, $0.1299, $0.12
06/03/2020, $0.1299, 5200, $0.13, $0.13, $0.1299
06/02/2020, $0.13, 17400, $0.129, $0.13, $0.129
06/01/2020, $0.1101, 7500, $0.1101, $0.1101, $0.1101
05/29/2020, $0.139, 17000, $0.139, $0.139, $0.139
05/28/2020, $0.13, 30692, $0.12, $0.13, $0.12
05/27/2020, $0.13, 27000, $0.13, $0.13, $0.13
05/26/2020, $0.13, 12000, $0.13, $0.13, $0.13
05/22/2020, $0.1301, 10000, $0.1301, $0.1301, $0.1301
05/21/2020, $0.13, 8300, $0.13, $0.13, $0.13
05/20/2020, $0.13, 5000, $0.13, $0.13, $0.13
05/19/2020, $0.1315, 100, $0.1315, $0.1315, $0.1315
05/18/2020, $0.14, N/A, $0.14, $0.14, $0.14
05/15/2020, $0.14, 111, $0.14, $0.14, $0.14
05/14/2020, $0.15, 85000, $0.11, $0.15, $0.11
05/13/2020, $0.115, 17100, $0.115, $0.115, $0.115
05/12/2020, $0.1101, 34800, $0.111, $0.111, $0.1101
05/11/2020, $0.11, 30216, $0.149, $0.15, $0.11
