Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.99, 3499302, $3.08, $3.11, $2.94
07/30/2020, $3.04, 9622713, $2.83, $3.245, $2.83
07/29/2020, $2.84, 1774804, $2.89, $2.9, $2.8
07/28/2020, $2.89, 1180299, $2.88, $2.8999, $2.84
07/27/2020, $2.89, 1283294, $2.93, $2.95, $2.85
07/24/2020, $2.93, 1467899, $2.9, $2.95, $2.835
07/23/2020, $2.9, 1387698, $2.91, $2.975, $2.88
07/22/2020, $2.91, 1125517, $2.94, $2.94, $2.9
07/21/2020, $2.92, 1481571, $3.01, $3.04, $2.9126
07/20/2020, $2.99, 1988138, $2.9, $3.03, $2.89
07/17/2020, $2.9, 1876817, $2.98, $3, $2.885
07/16/2020, $2.99, 1472438, $2.95, $3.04, $2.88
07/15/2020, $2.95, 1877706, $2.954, $3.05, $2.9
07/14/2020, $2.88, 2325701, $2.97, $2.99, $2.85
07/13/2020, $2.97, 3144251, $3.13, $3.16, $2.93
07/10/2020, $3.08, 2844113, $3.15, $3.18, $3
07/09/2020, $3.15, 3029230, $3.35, $3.4, $3.15
07/08/2020, $3.3, 4040563, $3.24, $3.42, $3.2
07/07/2020, $3.17, 3238630, $3.15, $3.32, $3.05
07/06/2020, $3.14, 4769572, $3.06, $3.2496, $3.02
07/02/2020, $2.98, 3006048, $3.08, $3.09, $2.91
07/01/2020, $3.07, 4273164, $2.89, $3.13, $2.87
06/30/2020, $2.83, 2078805, $2.81, $2.86, $2.75
06/29/2020, $2.8, 2937266, $2.9, $2.93, $2.8
06/26/2020, $2.89, 7320448, $3.11, $3.1199, $2.87
06/25/2020, $3.06, 5995049, $2.77, $3.1, $2.75
06/24/2020, $2.78, 3477125, $2.86, $2.93, $2.76
06/23/2020, $2.87, 4328415, $2.82, $2.9, $2.73
06/22/2020, $2.8, 5637204, $2.895, $2.93, $2.75
06/19/2020, $2.88, 3201657, $2.95, $2.9767, $2.87
06/18/2020, $2.93, 3229595, $2.97, $2.97, $2.84
06/17/2020, $2.93, 2466860, $3.06, $3.09, $2.91
06/16/2020, $3.03, 3150035, $3.09, $3.14, $2.94
06/15/2020, $2.95, 4635095, $2.86, $3.03, $2.775
06/12/2020, $2.9, 4588947, $3.14, $3.14, $2.87
06/11/2020, $2.89, 6662136, $3, $3.06, $2.79
06/10/2020, $3.145, 6959332, $3.4, $3.43, $3.14
06/09/2020, $3.37, 5511407, $3.5, $3.5, $3.36
06/08/2020, $3.45, 9912427, $3.495, $3.6, $3.42
06/05/2020, $3.31, 7512860, $3.43, $3.48, $3.3
06/04/2020, $3.29, 15942230, $3.45, $3.48, $3.2
06/03/2020, $3.42, 20745530, $3.47, $3.581, $3.38
06/02/2020, $4.66, 1891942, $5.03, $5.0899, $4.66
06/01/2020, $5.06, 1194021, $5.38, $5.38, $5.02
05/29/2020, $5.46, 1794373, $5.53, $5.5784, $5.02
05/28/2020, $5.53, 1928138, $5.88, $5.98, $5.4
05/27/2020, $5.93, 3685317, $5.71, $6.05, $5.42
05/26/2020, $5.79, 17271640, $6.83, $6.87, $5.56
05/22/2020, $4.99, 8139234, $4.95, $5.1, $4.12
05/21/2020, $4.83, 942747, $4.93, $4.9697, $4.77
05/20/2020, $4.97, 637883, $5.01, $5.07, $4.85
05/19/2020, $4.9, 891206, $5.1, $5.265, $4.88
05/18/2020, $4.99, 1159006, $5.44, $5.44, $4.96
05/15/2020, $5.24, 578646, $5, $5.32, $4.9
05/14/2020, $4.95, 671691, $5.13, $5.22, $4.75
05/13/2020, $5.14, 585179, $5.09, $5.3, $4.63
05/12/2020, $5.06, 309079, $5.2, $5.23, $5.02
05/11/2020, $5.09, 376574, $5.08, $5.15, $4.97
