Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.13, 142150, $1.16, $1.17, $1.01
07/30/2020, $1.07, 83752, $1.048, $1.2, $1.04
07/29/2020, $1.06, 27425, $1.11, $1.12, $1.025
07/28/2020, $1.11, 70728, $1.22, $1.24, $1.07
07/27/2020, $1.22, 25966, $1.205, $1.25, $1.15
07/24/2020, $1.2, 20255, $1.19, $1.26, $1.19
07/23/2020, $1.195, 47377, $1.36, $1.3943, $1.1841
07/22/2020, $1.37, 41801, $1.38, $1.47, $1.32
07/21/2020, $1.32, 61984, $1.22, $1.365, $1.2
07/20/2020, $1.23, 25611, $1.18, $1.26, $1.15
07/17/2020, $1.252, 19614, $1.27, $1.28, $1.23
07/16/2020, $1.27, 55628, $1.22, $1.3733, $1.2
07/15/2020, $1.3, 72809, $1.18, $1.3, $1.11
07/14/2020, $1.12, 15957, $1.16, $1.17, $1.1
07/13/2020, $1.1849, 65725, $1.16, $1.2083, $1.08
07/10/2020, $1.19, 83802, $1.18, $1.21, $1.07
07/09/2020, $1.1, 47537, $1.31, $1.31, $1.1
07/08/2020, $1.28, 131981, $1.14, $1.3726, $1.07
07/07/2020, $1.14, 61155, $1.13, $1.2, $1.02
07/06/2020, $1.2, 125503, $1.1, $1.44, $0.96
07/02/2020, $0.9901, 25623, $0.9574, $1.07, $0.9574
07/01/2020, $0.9841, 31577, $1.0401, $1.06, $0.9501
06/30/2020, $1.05, 15468, $1.125, $1.18, $1.05
06/29/2020, $1.04, 71048, $1.1, $1.1905, $0.9751
06/26/2020, $1.25, 72498, $1.23, $1.35, $1.2
06/25/2020, $1.2118, 84233, $1.16, $1.3999, $1.15
06/24/2020, $1.11, 307297, $1.19, $1.85, $1.1057
06/23/2020, $1.15, 29267, $1.25, $1.25, $1.1
06/22/2020, $1.24, 150734, $1.2, $1.37, $1.17
06/19/2020, $1.17, 83244, $1.1, $1.2608, $1.01
06/18/2020, $1.04, 29093, $1.2, $1.2001, $0.98
06/17/2020, $1.19, 166319, $1.34, $1.39, $0.95
06/16/2020, $1.34, 126757, $1.55, $1.88, $1.25
06/15/2020, $1.52, 469720, $1.22, $2.27, $1.22
06/12/2020, $1.26, 1304905, $1.05, $3.25, $0.85
06/11/2020, $0.9099, 7372, $0.76, $0.93, $0.76
06/10/2020, $0.94, 48079, $1, $1.05, $0.75
06/09/2020, $1.12, 84043, $0.87, $1.2201, $0.85
06/08/2020, $0.87, 22930, $0.71, $0.8881, $0.71
06/05/2020, $0.7493, 4615, $0.69, $0.77, $0.69
06/04/2020, $0.72, 11607, $0.75, $0.75, $0.71
06/03/2020, $0.7035, 7124, $0.67, $0.71, $0.67
06/02/2020, $0.672, 2430, $0.7389, $0.7389, $0.67
06/01/2020, $0.6799, 2408, $0.738, $0.738, $0.6799
05/29/2020, $0.7197, 2783, $0.6185, $0.74, $0.6185
05/28/2020, $0.7325, 1950, $0.7356, $0.7356, $0.7325
05/27/2020, $0.71, 4107, $0.693, $0.71, $0.67
05/26/2020, $0.66, 1915, $0.6502, $0.66, $0.6502
05/22/2020, $0.6501, 3925, $0.738, $0.738, $0.6501
05/21/2020, $0.749, 11782, $0.779, $0.779, $0.6502
05/20/2020, $0.65, 4739, $0.68, $0.77, $0.6068
05/19/2020, $0.7575, 2452, $0.735, $0.779, $0.69
05/18/2020, $0.735, 2641, $0.7, $0.78, $0.698
05/15/2020, $0.69, 29011, $0.72, $0.8147, $0.6815
05/14/2020, $0.7423, N/A, $0.7423, $0.7423, $0.7423
05/13/2020, $0.7423, 12225, $0.82, $0.82, $0.7201
05/12/2020, $0.79, 684, $0.77, $0.79, $0.77
05/11/2020, $0.7991, 9785, $0.79, $0.8001, $0.79
