Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.81, 287552, $4.01, $4.01, $3.695
07/30/2020, $3.98, 265232, $4.1, $4.33, $3.9001
07/29/2020, $3.87, 213150, $4.07, $4.2394, $3.81
07/28/2020, $4.05, 966800, $4.24, $5.44, $4.04
07/27/2020, $4.25, 145268, $4.03, $4.32, $3.98
07/24/2020, $4.02, 38694, $4.12, $4.27, $4
07/23/2020, $4.16, 62769, $4.45, $4.45, $4.07
07/22/2020, $4.44, 19186, $4.38, $4.46, $4.2959
07/21/2020, $4.38, 14957, $4.28, $4.4, $4.26
07/20/2020, $4.21, 120747, $4.12, $4.43, $4.1041
07/17/2020, $4.08, 76118, $4.02, $4.24, $4.02
07/16/2020, $4.04, 67708, $4.09, $4.21, $3.97
07/15/2020, $4.09, 99599, $4.09, $4.2303, $4
07/14/2020, $4, 76704, $4.11, $4.255, $3.91
07/13/2020, $4.15, 36783, $4.25, $4.37, $4.07
07/10/2020, $4.2, 107064, $4.36, $4.5, $4.17
07/09/2020, $4.4, 58753, $4.52, $4.52, $4.3
07/08/2020, $4.5, 78798, $4.42, $4.6024, $4.3
07/07/2020, $4.43, 97130, $4.48, $4.8, $4.4201
07/06/2020, $4.48, 140252, $5.02, $5.02, $4.4298
07/02/2020, $5.03, 294198, $5.16, $5.36, $4.92
07/01/2020, $4.95, 127608, $4.92, $5.08, $4.9
06/30/2020, $4.9, 79728, $5.04, $5.04, $4.88
06/29/2020, $5.16, 189383, $4.88, $5.42, $4.78
06/26/2020, $4.98, 518419, $4.9, $5.02, $4.5
06/25/2020, $4.9, 1378554, $3.91, $5.15, $3.78
06/24/2020, $4.01, 140717, $4.14, $4.3498, $3.9
06/23/2020, $4.17, 193600, $4.51, $4.545, $4.01
06/22/2020, $4.41, 342916, $4.01, $4.5, $4.01
06/19/2020, $3.735, 121290, $3.64, $3.98, $3.63
06/18/2020, $3.59, 68072, $3.74, $3.775, $3.55
06/17/2020, $3.59, 112446, $4, $4, $3.56
06/16/2020, $3.99, 26925, $3.95, $4, $3.76
06/15/2020, $3.83, 182246, $3.78, $4, $3.69
06/12/2020, $3.86, 45967, $3.8, $3.97, $3.65
06/11/2020, $3.76, 70910, $4.01, $4.1089, $3.71
06/10/2020, $4.02, 52825, $4.04, $4.198, $4
06/09/2020, $4.05, 102823, $4.15, $4.2699, $3.925
06/08/2020, $4.27, 71049, $4.1, $4.34, $4.05
06/05/2020, $4.03, 127115, $4.27, $4.4025, $4
06/04/2020, $4.11, 104252, $4.23, $4.34, $4
06/03/2020, $4.21, 75387, $4.29, $4.5167, $4.1
06/02/2020, $4.22, 98230, $4.4, $4.45, $4.18
06/01/2020, $4.35, 98471, $4.51, $4.96, $4.35
05/29/2020, $4.37, 51307, $4.5, $4.5199, $4.31
05/28/2020, $4.47, 58901, $5.01, $5.01, $4.4601
05/27/2020, $4.99, 89103, $4.94, $5.01, $4.6258
05/26/2020, $4.92, 81536, $4.45, $4.97, $4.4
05/22/2020, $4.29, 31479, $4.2, $4.3, $4
05/21/2020, $4.23, 62193, $4.22, $4.28, $4.01
05/20/2020, $4.28, 106675, $4.38, $4.5375, $4.15
05/19/2020, $4.32, 65740, $4.43, $4.543, $4.27
05/18/2020, $4.46, 57465, $4.45, $4.57, $4.41
05/15/2020, $4.37, 80842, $4.5, $4.5, $4.3301
05/14/2020, $4.5, 54682, $4.6, $4.78, $4.26
05/13/2020, $4.75, 67988, $4.92, $4.92, $4.5
05/12/2020, $4.79, 147289, $5.5, $5.5, $4.78
05/11/2020, $5.48, 118035, $5.28, $5.84, $5.2678
