Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.08, 41406, $4.29, $4.29, $4.0405
07/30/2020, $4.34, 30359, $4.47, $4.61, $4.0907
07/29/2020, $4.48, 17925, $4.37, $4.58, $4.36
07/28/2020, $4.36, 29143, $4.6, $4.64, $4.32
07/27/2020, $4.51, 60700, $4.72, $4.75, $4.44
07/24/2020, $4.75, 52469, $4.7, $4.88, $4.69
07/23/2020, $4.74, 21602, $4.85, $4.89, $4.7
07/22/2020, $4.84, 21595, $5.05, $5.05, $4.8
07/21/2020, $4.9, 31992, $5.2, $5.2, $4.8
07/20/2020, $4.87, 24872, $4.99, $4.99, $4.83
07/17/2020, $5.07, 17321, $5.3, $5.3, $4.95
07/16/2020, $5.08, 21979, $5.16, $5.16, $5
07/15/2020, $5.16, 49286, $4.9561, $5.3, $4.9561
07/14/2020, $5.18, 26275, $5.1, $5.2, $4.829
07/13/2020, $5.04, 39567, $4.99, $5.1598, $4.89
07/10/2020, $4.98, 57348, $5.1, $5.26, $4.98
07/09/2020, $5.1, 34775, $5.1, $5.1, $4.73
07/08/2020, $5.2, 17949, $4.72, $5.2, $4.7
07/07/2020, $4.66, 17698, $4.81, $4.81, $4.66
07/06/2020, $4.81, 8795, $4.79, $4.8499, $4.79
07/02/2020, $4.75, 12065, $4.82, $4.83, $4.74
07/01/2020, $4.83, 10502, $4.81, $4.85, $4.75
06/30/2020, $4.81, 14118, $4.99, $4.99, $4.8
06/29/2020, $4.9025, 18993, $5.25, $5.25, $4.86
06/26/2020, $5.05, 32362, $5, $5.05, $4.82
06/25/2020, $5.01, 10360, $5.01, $5.12, $5
06/24/2020, $5.0301, 9747, $5.0702, $5.08, $5
06/23/2020, $5.07, 26367, $5, $5.08, $4.94
06/22/2020, $5, 16882, $5.04, $5.1555, $4.94
06/19/2020, $5.03, 13577, $5.04, $5.16, $5.03
06/18/2020, $5.06, 6853, $5.15, $5.173, $5.04
06/17/2020, $5.1, 3952, $5.2648, $5.2648, $5.1
06/16/2020, $5.1, 8519, $5.31, $5.31, $5.09
06/15/2020, $5.15, 20242, $5.2, $5.29, $5.08
06/12/2020, $5.24, 45436, $5.6, $5.6616, $5.0401
06/11/2020, $5.6, 122640, $5.23, $5.75, $5.15
06/10/2020, $5.42, 56398, $5.31, $5.5596, $5.2301
06/09/2020, $5.22, 15644, $5.17, $5.275, $5.13
06/08/2020, $5.19, 37847, $5.08, $5.24, $4.99
06/05/2020, $5.03, 20721, $4.8982, $5.0411, $4.8943
06/04/2020, $5, 24365, $5, $5.08, $4.8362
06/03/2020, $5.04, 29451, $5.11, $5.2316, $5.04
06/02/2020, $5.21, 18148, $5.1, $5.3996, $5.1
06/01/2020, $5.17, 21356, $5.1, $5.17, $5.02
05/29/2020, $5.1, 108462, $5.12, $5.48, $5.04
05/28/2020, $5.16, 96222, $5.18, $5.7, $4.9681
05/27/2020, $5.09, 16867, $5.28, $5.28, $4.985
05/26/2020, $5.04, 48254, $5.16, $5.5678, $5.01
05/22/2020, $5.3, 43360, $5.203, $5.34, $5.08
05/21/2020, $5.1, 23820, $5.1, $5.26, $4.96
05/20/2020, $5.1, 20143, $5.21, $5.25, $4.951
05/19/2020, $5.16, 19664, $5.38, $5.55, $5.05
05/18/2020, $5.29, 69335, $5, $5.7, $4.83
05/15/2020, $4.94, 14725, $4.74, $4.94, $4.7265
05/14/2020, $4.81, 19466, $4.8, $4.8442, $4.6501
05/13/2020, $4.8, 24976, $4.9899, $4.9899, $4.6205
05/12/2020, $4.96, 31054, $5, $5.06, $4.79
05/11/2020, $4.8, 67994, $5.09, $5.09, $4.71
