Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.8562, 199710, $0.8686, $0.89, $0.85
07/30/2020, $0.8607, 245009, $0.871, $0.8793, $0.84
07/29/2020, $0.881, 284448, $0.8972, $0.8982, $0.86
07/28/2020, $0.8994, 191225, $0.92, $0.92, $0.88
07/27/2020, $0.9, 263769, $0.898, $0.9384, $0.8886
07/24/2020, $0.8986, 177927, $0.9081, $0.9085, $0.88
07/23/2020, $0.9001, 458360, $0.94, $0.94, $0.88
07/22/2020, $0.938, 265845, $0.96, $0.9999, $0.93
07/21/2020, $0.9626, 881799, $1.05, $1.11, $0.95
07/20/2020, $1.04, 1272449, $0.962, $1.15, $0.945
07/17/2020, $0.965, 1107498, $0.86, $0.97, $0.8522
07/16/2020, $0.86, 205099, $0.8734, $0.8734, $0.84
07/15/2020, $0.86, 211089, $0.84, $0.88, $0.84
07/14/2020, $0.8399, 232586, $0.86, $0.86, $0.83
07/13/2020, $0.8597, 379859, $0.9066, $0.9066, $0.845
07/10/2020, $0.8995, 396065, $0.88, $0.9392, $0.85
07/09/2020, $0.867, 348068, $0.87, $0.87, $0.8221
07/08/2020, $0.8734, 580383, $0.9, $0.9, $0.85
07/07/2020, $0.905, 500575, $0.9595, $0.9595, $0.89
07/06/2020, $0.9354, 412052, $0.98, $0.9899, $0.91
07/02/2020, $0.9613, 577702, $0.99, $1, $0.95
07/01/2020, $1, 272132, $0.9776, $1.01, $0.97
06/30/2020, $0.9797, 344900, $0.98, $0.996, $0.95
06/29/2020, $0.9805, 390914, $0.99, $1.01, $0.9601
06/26/2020, $0.97, 568570, $1.03, $1.03, $0.95
06/25/2020, $1.01, 278552, $1.02, $1.03, $0.98
06/24/2020, $1.04, 672915, $1.07, $1.08, $0.9701
06/23/2020, $1.07, 515956, $1.12, $1.1299, $1.05
06/22/2020, $1.09, 549549, $1.14, $1.14, $1.07
06/19/2020, $1.09, 1348752, $1.08, $1.2, $1.04
06/18/2020, $1.06, 587284, $1.1, $1.11, $1.04
06/17/2020, $1.11, 758005, $1.15, $1.15, $1.1
06/16/2020, $1.145, 1005766, $1.25, $1.2501, $1.1001
06/15/2020, $1.19, 1002294, $1.16, $1.27, $1.1
06/12/2020, $1.17, 838692, $1.25, $1.26, $1.1
06/11/2020, $1.09, 1365003, $1.11, $1.1999, $1.01
06/10/2020, $1.32, 3019589, $1.45, $1.45, $1.15
06/09/2020, $1.54, 11541130, $1.71, $1.9, $1.51
06/08/2020, $1.26, 4397249, $1.2, $1.32, $1.16
06/05/2020, $1.06, 2078868, $1.02, $1.09, $0.9806
06/04/2020, $1.02, 1240260, $1.04, $1.04, $0.9205
06/03/2020, $1.02, 1279605, $1, $1.03, $0.96
06/02/2020, $1, 682434, $1.01, $1.02, $0.9502
06/01/2020, $1.01, 1489144, $0.96, $1.04, $0.95
05/29/2020, $0.9555, 712405, $0.98, $0.98, $0.9
05/28/2020, $0.9365, 554761, $0.96, $1.01, $0.9365
05/27/2020, $0.99, 772405, $1.04, $1.04, $0.931
05/26/2020, $1.04, 2036441, $0.94, $1.07, $0.93
05/22/2020, $0.9298, 611469, $0.96, $0.97, $0.9001
05/21/2020, $0.95, 365856, $0.9298, $0.97, $0.92
05/20/2020, $0.9499, 473042, $0.98, $0.987, $0.91
05/19/2020, $0.98, 965511, $0.94, $0.9976, $0.91
05/18/2020, $0.9102, 606706, $0.94, $0.95, $0.905
05/15/2020, $0.935, 524740, $0.94, $0.96, $0.89
05/14/2020, $0.926, 293453, $0.9799, $0.9799, $0.92
05/13/2020, $0.9497, 1077088, $1.1, $1.1, $0.92
05/12/2020, $1.1, 598990, $1.1, $1.11, $1.06
05/11/2020, $1.09, 1537618, $1.1, $1.15, $1.06
