Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.2, 840, $3.2, $3.32, $3.2
07/30/2020, $3.15, 2495, $3.25, $3.295, $3.15
07/29/2020, $3.27, 4289, $3.35, $3.35, $3.21
07/28/2020, $3.12, 4599, $3.44, $3.44, $3.12
07/27/2020, $3.51, 4951, $3.34, $3.58, $3.34
07/24/2020, $3.41, 2212, $3.38, $3.475, $3.38
07/23/2020, $3.3001, 1686, $3.35, $3.375, $3.3001
07/22/2020, $3.4, 3872, $3.3, $3.4601, $3.28
07/21/2020, $3.37, 6492, $3.48, $3.5225, $3.29
07/20/2020, $3.475, 1699, $3.3, $3.5423, $3.3
07/17/2020, $3.3999, 1370, $3.4, $3.49, $3.3999
07/16/2020, $3.36, 6479, $3.28, $3.42, $3.25
07/15/2020, $3.33, 7131, $3.29, $3.53, $3.26
07/14/2020, $3.13, 6389, $3.24, $3.37, $3.11
07/13/2020, $3.14, 5803, $3.3, $3.3, $3.14
07/10/2020, $3.28, 4652, $3.46, $3.4851, $3.15
07/09/2020, $3.46, 8134, $3.55, $3.55, $3.18
07/08/2020, $3.4999, 3170, $3.48, $3.545, $3.42
07/07/2020, $3.42, 2313, $3.4, $3.42, $3.18
07/06/2020, $3.36, 3014, $3.36, $3.4, $3.18
07/02/2020, $3.34, 2649, $3.36, $3.48, $3.34
07/01/2020, $3.3, 1848, $3.35, $3.41, $3.3
06/30/2020, $3.45, 1121, $3.48, $3.48, $3.39
06/29/2020, $3.26, 8828, $3.29, $3.49, $3.26
06/26/2020, $3.22, 6797, $3.5, $3.51, $3.22
06/25/2020, $3.59, 1788, $3.51, $3.67, $3.5
06/24/2020, $3.71, 5297, $3.57, $3.7499, $3.4701
06/23/2020, $3.54, 1917, $3.55, $3.56, $3.54
06/22/2020, $3.43, 9121, $3.46, $3.6024, $3.27
06/19/2020, $3.56, 955, $3.66, $3.66, $3.56
06/18/2020, $3.61, 4190, $3.43, $3.64, $3.43
06/17/2020, $3.69, 2987, $3.75, $3.75, $3.5001
06/16/2020, $3.71, 2608, $3.78, $3.78, $3.5538
06/15/2020, $3.73, 1616, $3.81, $3.81, $3.65
06/12/2020, $3.6969, 13731, $3.95, $3.95, $3.6001
06/11/2020, $3.88, 3926, $3.5299, $3.9, $3.4831
06/10/2020, $3.88, 8737, $3.95, $3.95, $3.7101
06/09/2020, $3.92, 7617, $3.81, $3.92, $3.81
06/08/2020, $3.92, 10283, $3.8, $4, $3.8
06/05/2020, $3.82, 11563, $3.78, $3.95, $3.78
06/04/2020, $3.78, 11032, $3.78, $3.8, $3.5738
06/03/2020, $3.825, 18184, $3.79, $4, $3.61
06/02/2020, $3.51, 10934, $3.27, $3.65, $3.18
06/01/2020, $3.1875, 14184, $3.31, $3.31, $2.9974
05/29/2020, $3.2622, 8065, $3.07, $3.2763, $3.0649
05/28/2020, $3.18, 15706, $3.15, $3.24, $3.0102
05/27/2020, $2.9901, 11595, $3.05, $3.15, $2.85
05/26/2020, $2.91, 6842, $3.2707, $3.3661, $2.91
05/22/2020, $2.9004, 1384, $2.96, $2.96, $2.9004
05/21/2020, $2.92, 6240, $3.01, $3.12, $2.92
05/20/2020, $2.86, 5799, $2.85, $2.98, $2.85
05/19/2020, $2.8301, 2241, $2.87, $2.87, $2.7913
05/18/2020, $2.84, 28904, $3.23, $3.3639, $2.65
05/15/2020, $3.06, 2764, $3.07, $3.1499, $3.05
05/14/2020, $3, 16184, $2.94, $3, $2.94
05/13/2020, $3.2037, 900, $3.29, $3.29, $3.2037
05/12/2020, $3.29, 4563, $3.59, $3.59, $3.29
05/11/2020, $3.42, 2817, $3.49, $3.5, $3.42
