Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.51, 133024, $2.67, $2.69, $2.49
07/30/2020, $2.67, 95924, $2.64, $2.7, $2.56
07/29/2020, $2.69, 72122, $2.65, $2.7, $2.5833
07/28/2020, $2.65, 66530, $2.69, $2.74, $2.63
07/27/2020, $2.68, 138825, $2.73, $2.74, $2.64
07/24/2020, $2.74, 108463, $2.84, $2.9, $2.72
07/23/2020, $2.83, 83088, $2.9, $2.92, $2.81
07/22/2020, $2.93, 109524, $2.91, $2.98, $2.85
07/21/2020, $2.96, 181954, $2.85, $3.05, $2.85
07/20/2020, $2.84, 115906, $3.03, $3.11, $2.83
07/17/2020, $3.05, 82057, $3.1, $3.19, $3.02
07/16/2020, $3.13, 184612, $3.17, $3.21, $3.09
07/15/2020, $3.2, 238323, $3.21, $3.23, $3.16
07/14/2020, $3.13, 176243, $3.07, $3.21, $3
07/13/2020, $3.08, 140495, $3.21, $3.21, $3.06
07/10/2020, $3.18, 129891, $3.03, $3.18, $3.03
07/09/2020, $3.05, 386696, $3.14, $3.2, $2.99
07/08/2020, $3.16, 322975, $3.18, $3.18, $3.06
07/07/2020, $3.19, 204576, $3.21, $3.22, $3.09
07/06/2020, $3.18, 310209, $3.25, $3.25, $3.16
07/02/2020, $3.18, 123175, $3.25, $3.31, $3.15
07/01/2020, $3.18, 309535, $3.17, $3.34, $3.15
06/30/2020, $3.2, 249864, $3.08, $3.23, $3.01
06/29/2020, $3.1, 415689, $3.5, $3.505, $2.98
06/26/2020, $3.64, 934378, $2.97, $3.69, $2.755
06/25/2020, $2.985, 132201, $2.87, $2.99, $2.8299
06/24/2020, $2.89, 179181, $3.01, $3.02, $2.88
06/23/2020, $3.05, 141831, $3.1, $3.1, $2.983
06/22/2020, $3.02, 354142, $3.09, $3.19, $2.96
06/19/2020, $3.07, 2168138, $3.11, $3.17, $3
06/18/2020, $3.1, 167389, $2.98, $3.1656, $2.92
06/17/2020, $3.06, 108743, $3.29, $3.29, $3.01
06/16/2020, $3.26, 154524, $3.55, $3.59, $3.13
06/15/2020, $3.31, 269521, $3, $3.35, $2.88
06/12/2020, $3.09, 147440, $3.16, $3.193, $2.95
06/11/2020, $3.02, 432061, $3.23, $3.23, $2.91
06/10/2020, $3.39, 455466, $3.51, $3.51, $3.28
06/09/2020, $3.59, 195671, $3.66, $3.69, $3.35
06/08/2020, $3.66, 284323, $3.75, $3.83, $3.61
06/05/2020, $3.59, 536037, $3.01, $3.79, $3.01
06/04/2020, $2.97, 235112, $2.98, $3.04, $2.9
06/03/2020, $3.01, 476769, $2.84, $3.09, $2.81
06/02/2020, $2.79, 404154, $2.59, $3.13, $2.58
06/01/2020, $2.56, 194770, $2.47, $2.6566, $2.4601
05/29/2020, $2.49, 249951, $2.53, $2.53, $2.34
05/28/2020, $2.55, 194918, $2.68, $2.685, $2.53
05/27/2020, $2.64, 272032, $2.66, $2.7, $2.52
05/26/2020, $2.58, 212567, $2.65, $2.6799, $2.545
05/22/2020, $2.55, 353609, $2.74, $2.74, $2.5
05/21/2020, $2.78, 533076, $2.44, $2.88, $2.4293
05/20/2020, $2.48, 429834, $2.44, $2.53, $2.37
05/19/2020, $2.36, 578101, $2.43, $2.43, $2.28
05/18/2020, $2.41, 385151, $2.41, $2.48, $2.31
05/15/2020, $2.25, 523059, $2.21, $2.4, $2.15
05/14/2020, $2.15, 240791, $2.15, $2.33, $2.1067
05/13/2020, $2.17, 343408, $2.37, $2.4, $2.15
05/12/2020, $2.34, 254596, $2.49, $2.56, $2.32
05/11/2020, $2.49, 380922, $2.5, $2.68, $2.43
