Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.521, 431122, $3.51, $3.7, $3.11
07/30/2020, $3.7547, 285613, $3.64, $3.77, $3.5
07/29/2020, $3.8953, 545760, $4.15, $4.15, $3.6
07/28/2020, $4.02, 716817, $3.74, $4.3099, $3.74
07/27/2020, $3.95, 973955, $3.32, $3.97, $3.2606
07/24/2020, $3.105, 483245, $3.15, $3.21, $2.86
07/23/2020, $3.1999, 682405, $3.78, $3.78, $3.07
07/22/2020, $3.45, 424921, $3.6, $3.72, $3.3
07/21/2020, $3.66, 562705, $3.7, $3.93, $3.55
07/20/2020, $3.7101, 413615, $3.7, $3.9, $3.62
07/17/2020, $3.65, 431051, $3.56, $3.69, $3.4
07/16/2020, $3.4778, 260331, $3.5, $3.69, $3.3401
07/15/2020, $3.46, 515775, $3.65, $3.7, $3.29
07/14/2020, $3.5, 833584, $3.7, $3.82, $3.14
07/13/2020, $3.56, 792095, $4.25, $4.37, $3.56
07/10/2020, $4.22, 553443, $4.1, $4.32, $3.96
07/09/2020, $4.19, 561791, $4.45, $4.5, $3.785
07/08/2020, $3.96, 763786, $3.78, $4.6, $3.67
07/07/2020, $3.8, 1258085, $4.46, $4.46, $3.41
07/06/2020, $4.1, 1121377, $4.7, $4.71, $3.8901
07/02/2020, $4.4426, 906346, $4.61, $4.61, $4.18
07/01/2020, $4.31, 1311147, $4.87, $4.95, $4.2
06/30/2020, $4.7, 1239014, $5.48, $5.48, $4.5
06/29/2020, $5.19, 1645049, $5.46, $5.7, $5.01
06/26/2020, $4.9599, 1413631, $5, $5.25, $4.4
06/25/2020, $5, 2939711, $3.65, $5, $3.43
06/24/2020, $3.7, 1239748, $4.19, $4.19, $3.5
06/23/2020, $3.95, 1717895, $4.9, $4.9, $3.76
06/22/2020, $4.52, 1012708, $4.42, $4.7, $4.25
06/19/2020, $4.55, 1308018, $5.54, $5.54, $4.5
06/18/2020, $5.25, 2393606, $5.24, $5.6, $4.51
06/17/2020, $5.44, 3972347, $5.94, $6.2, $5.15
06/16/2020, $5, 3055187, $5, $5.25, $4.2
06/15/2020, $4.33, 2981169, $3.29, $4.45, $3.07
06/12/2020, $3.1, 6944054, $4, $4.05, $2
06/11/2020, $4, 1438244, $3.95, $4.5, $3.71
06/10/2020, $4.8, 2274704, $5, $5.25, $4.21
06/09/2020, $4.6, 3675499, $4.06, $5.17, $3.9775
06/08/2020, $3.97, 3312212, $3.07, $3.98, $2.8708
06/05/2020, $2.9, 945597, $2.97, $3.11, $2.8
06/04/2020, $3, 1329496, $2.91, $3.15, $2.71
06/03/2020, $2.82, 1756997, $2.68, $2.87, $2.37
06/02/2020, $2.33, 1864359, $2.86, $2.94, $2.3
06/01/2020, $2.8301, 1919260, $2.88, $3.4, $2.66
05/29/2020, $2.91, 4438532, $2.87, $3.3, $2.57
05/28/2020, $2.42, 1698978, $1.72, $2.56, $1.63
05/27/2020, $1.7, 825548, $1.74, $1.8, $1.52
05/26/2020, $1.63, 1110862, $1.56, $1.72, $1.52
05/22/2020, $1.4575, 334072, $1.5, $1.5, $1.36
05/21/2020, $1.33, 797841, $1.5, $1.56, $1.33
05/20/2020, $1.45, 1549669, $1.32, $1.6, $1.3
05/19/2020, $1.24, 1413466, $1.21, $1.32, $1.12
05/18/2020, $1.19, 711120, $1.28, $1.28, $1.11
05/15/2020, $1.15, 3956849, $1.27, $1.35, $1.14
05/14/2020, $1.13, 11138550, $0.85, $1.28, $0.82
05/13/2020, $0.25, 29300, $0.25, $0.25, $0.2
05/12/2020, $0.18, 30000, $0.18, $0.18, $0.18
05/11/2020, $0.2, 20000, $0.2, $0.2, $0.2
