Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.31, 1549031, $3.51, $3.54, $3.21
07/30/2020, $3.43, 1492110, $3.59, $3.63, $3.425
07/29/2020, $3.62, 1639041, $3.66, $3.74, $3.53
07/28/2020, $3.62, 1154008, $3.72, $3.8093, $3.525
07/27/2020, $3.7, 1114235, $3.86, $3.88, $3.7
07/24/2020, $3.87, 571451, $3.99, $4.01, $3.85
07/23/2020, $3.97, 863663, $4, $4.15, $3.93
07/22/2020, $3.99, 602841, $4.06, $4.1, $3.95
07/21/2020, $4.1, 943138, $3.96, $4.18, $3.95
07/20/2020, $3.9, 973348, $4.1, $4.13, $3.86
07/17/2020, $4.13, 938320, $4.31, $4.39, $4.06
07/16/2020, $4.28, 1007405, $4.45, $4.485, $4.24
07/15/2020, $4.52, 1837390, $4.03, $4.62, $4.03
07/14/2020, $3.94, 865486, $3.91, $4, $3.8
07/13/2020, $3.87, 1534408, $4.07, $4.125, $3.82
07/10/2020, $4, 1682492, $3.82, $4.2, $3.7201
07/09/2020, $3.83, 1032994, $4.12, $4.12, $3.785
07/08/2020, $4.13, 2555622, $4.15, $4.15, $3.575
07/07/2020, $4.15, 770859, $4.26, $4.31, $4.09
07/06/2020, $4.31, 1189623, $4.49, $4.595, $4.125
07/02/2020, $4.43, 877265, $4.39, $4.64, $4.39
07/01/2020, $4.335, 1187243, $4.67, $4.81, $4.18
06/30/2020, $4.65, 996506, $4.43, $4.68, $4.31
06/29/2020, $4.47, 1099099, $4.19, $4.519, $4.125
06/26/2020, $4.17, 2289444, $4.37, $4.42, $3.985
06/25/2020, $4.375, 1134409, $4.41, $4.5301, $4.27
06/24/2020, $4.45, 1634031, $4.88, $4.88, $4.39
06/23/2020, $4.9, 1604449, $4.93, $4.99, $4.66
06/22/2020, $4.81, 1933849, $5.05, $5.2, $4.62
06/19/2020, $5.135, 3172294, $5, $5.17, $4.8099
06/18/2020, $4.795, 1836739, $4.73, $4.96, $4.56
06/17/2020, $4.84, 1590635, $5.05, $5.11, $4.778
06/16/2020, $5.09, 2949482, $5.1, $5.56, $4.98
06/15/2020, $4.77, 2062415, $4.52, $4.9, $4.38
06/12/2020, $4.75, 2623386, $4.7, $5.1799, $4.5
06/11/2020, $4.375, 2699446, $4.53, $4.815, $4.36
06/10/2020, $5.06, 5438363, $5.38, $5.6, $4.92
06/09/2020, $5.03, 9700325, $7.294, $7.5, $5.01
06/08/2020, $8.095, 10115980, $5.443, $8.16, $5.4
06/05/2020, $5.25, 3064089, $4.55, $5.33, $4.52
06/04/2020, $4.36, 3478476, $3.63, $4.585, $3.63
06/03/2020, $3.81, 2316587, $3.4, $3.91, $3.375
06/02/2020, $3.43, 2448423, $3.15, $3.53, $3.15
06/01/2020, $3.12, 1526934, $3.08, $3.16, $2.965
05/29/2020, $3.05, 1874169, $3.15, $3.15, $3.02
05/28/2020, $3.2, 1148023, $3.24, $3.26, $3.08
05/27/2020, $3.28, 1722780, $3.17, $3.29, $2.98
05/26/2020, $3.1, 2133282, $3.29, $3.29, $2.965
05/22/2020, $3.23, 1303012, $2.95, $3.25, $2.91
05/21/2020, $2.91, 1543411, $2.79, $2.98, $2.77
05/20/2020, $2.7, 2142193, $3.02, $3.025, $2.69
05/19/2020, $2.99, 874639, $3.23, $3.23, $2.94
05/18/2020, $3.24, 1515874, $3.02, $3.31, $3
05/15/2020, $2.88, 1460792, $2.94, $2.94, $2.73
05/14/2020, $2.92, 1322965, $2.98, $3.095, $2.865
05/13/2020, $3.06, 1714533, $3.11, $3.12, $2.85
05/12/2020, $3.085, 1818146, $3.62, $3.67, $3.04
05/11/2020, $3.65, 848569, $3.51, $3.67, $3.39
