Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.54, 10514670, $1.51, $1.66, $1.44
07/30/2020, $1.39, 1491396, $1.35, $1.4, $1.33
07/29/2020, $1.38, 7511719, $1.48, $1.55, $1.36
07/28/2020, $1.36, 823044, $1.38, $1.4, $1.35
07/27/2020, $1.4, 2428412, $1.41, $1.459, $1.35
07/24/2020, $1.38, 1240292, $1.36, $1.39, $1.32
07/23/2020, $1.42, 3463405, $1.47, $1.55, $1.31
07/22/2020, $1.47, 2049774, $1.52, $1.52, $1.43
07/21/2020, $1.5, 2448693, $1.53, $1.56, $1.46
07/20/2020, $1.53, 3135557, $1.57, $1.58, $1.49
07/17/2020, $1.615, 18687660, $1.77, $1.88, $1.57
07/16/2020, $1.56, 2615062, $1.54, $1.5998, $1.49
07/15/2020, $1.51, 1660757, $1.53, $1.56, $1.47
07/14/2020, $1.53, 3506733, $1.6, $1.61, $1.4
07/13/2020, $1.58, 4582203, $1.65, $1.73, $1.56
07/10/2020, $1.65, 2869321, $1.65, $1.75, $1.62
07/09/2020, $1.66, 2662817, $1.58, $1.6607, $1.56
07/08/2020, $1.58, 2820310, $1.59, $1.68, $1.57
07/07/2020, $1.59, 1631228, $1.6, $1.64, $1.58
07/06/2020, $1.65, 5917137, $1.58, $1.76, $1.52
07/02/2020, $1.58, 4612125, $1.62, $1.68, $1.52
07/01/2020, $1.54, 1943895, $1.52, $1.58, $1.47
06/30/2020, $1.59, 2829788, $1.61, $1.7, $1.55
06/29/2020, $1.68, 6866855, $1.68, $1.77, $1.56
06/26/2020, $1.64, 5863308, $1.57, $1.66, $1.45
06/25/2020, $1.57, 4567333, $1.51, $1.6, $1.43
06/24/2020, $1.52, 5223792, $1.44, $1.58, $1.35
06/23/2020, $1.54, 17186150, $1.86, $1.93, $1.41
06/22/2020, $1.58, 15373680, $1.44, $1.7, $1.31
06/19/2020, $1.4, 20166140, $1.15, $1.47, $1.13
06/18/2020, $1.14, 1949217, $1.1, $1.16, $1.1
06/17/2020, $1.14, 3185021, $1.14, $1.19, $1.07
06/16/2020, $1.16, 5017648, $1.19, $1.27, $1.07
06/15/2020, $1.18, 4288120, $1.08, $1.22, $1.08
06/12/2020, $1.12, 1935156, $1.13, $1.17, $1.06
06/11/2020, $1.06, 2291771, $1.03, $1.13, $1.03
06/10/2020, $1.15, 2850219, $1.27, $1.27, $1.11
06/09/2020, $1.23, 9504727, $1.1, $1.33, $1.03
06/08/2020, $1.13, 8170669, $1.17, $1.25, $1.06
06/05/2020, $1.1, 55833300, $1.85, $1.95, $1.0348
06/04/2020, $0.9074, 4813382, $0.8758, $0.98, $0.8551
06/03/2020, $0.8774, 2617367, $0.8727, $0.8928, $0.835
06/02/2020, $0.88, 12652710, $0.84, $1.04, $0.8103
06/01/2020, $0.84, 1295097, $0.865, $0.865, $0.8011
05/29/2020, $0.8399, 1572688, $0.871, $0.88, $0.809
05/28/2020, $0.88, 2948673, $0.959, $0.9598, $0.86
05/27/2020, $0.95, 6327592, $0.98, $1.04, $0.92
05/26/2020, $0.949, 6234646, $0.9, $0.95, $0.85
05/22/2020, $0.8399, 7107374, $0.7401, $0.92, $0.72
05/21/2020, $0.74, 1281746, $0.7483, $0.77, $0.7043
05/20/2020, $0.761, 1610862, $0.77, $0.78, $0.72
05/19/2020, $0.72, 4400945, $0.72, $0.79, $0.7
05/18/2020, $0.8434, 2280528, $0.8601, $0.9, $0.8011
05/15/2020, $0.8045, 1641162, $0.9, $0.9199, $0.72
05/14/2020, $0.8586, 1162757, $0.9, $0.9, $0.81
05/13/2020, $0.9161, 3471762, $0.99, $1.0029, $0.86
05/12/2020, $0.99, 4993143, $1.15, $1.24, $0.94
05/11/2020, $1.09, 8325011, $0.95, $1.23, $0.9404
