Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.31, 18669, $3.238, $3.31, $3.21
07/30/2020, $3.24, 26867, $3.25, $3.275, $3.15
07/29/2020, $3.28, 47423, $3.31, $3.37, $3.28
07/28/2020, $3.31, 22221, $3.35, $3.37, $3.295
07/27/2020, $3.36, 41552, $3.335, $3.37, $3.27
07/24/2020, $3.32, 16057, $3.3, $3.34, $3.2899
07/23/2020, $3.32, 74498, $3.35, $3.389, $3.31
07/22/2020, $3.37, 22697, $3.35, $3.38, $3.35
07/21/2020, $3.36, 25515, $3.39, $3.39, $3.32
07/20/2020, $3.4, 31440, $3.39, $3.4, $3.31
07/17/2020, $3.39, 27563, $3.4, $3.4, $3.35
07/16/2020, $3.4, 49401, $3.39, $3.4, $3.34
07/15/2020, $3.37, 54523, $3.4, $3.43, $3.34
07/14/2020, $3.4, 30271, $3.34, $3.4, $3.34
07/13/2020, $3.32, 63557, $3.3, $3.4, $3.2973
07/10/2020, $3.3, 27300, $3.31, $3.32, $3.26
07/09/2020, $3.3, 17935, $3.33, $3.36, $3.27
07/08/2020, $3.365, 59394, $3.33, $3.39, $3.2
07/07/2020, $3.31, 51073, $3.41, $3.41, $3.3
07/06/2020, $3.41, 99043, $3.4, $3.44, $3.33
07/02/2020, $3.4, 49574, $3.38, $3.43, $3.32
07/01/2020, $3.4, 152660, $3.27, $3.51, $3.27
06/30/2020, $3.38, 106727, $3.25, $3.39, $3.22
06/29/2020, $3.26, 144777, $3.24, $3.3, $3.2
06/26/2020, $3.24, 231266, $3.36, $3.385, $3.19
06/25/2020, $3.34, 699344, $3.27, $3.41, $3.18
06/24/2020, $2.78, 42742, $2.79, $2.8637, $2.71
06/23/2020, $2.78, 22607, $2.87, $2.87, $2.77
06/22/2020, $2.81, 31457, $2.86, $2.94, $2.81
06/19/2020, $2.86, 86979, $2.98, $2.99, $2.77
06/18/2020, $2.92, 22725, $2.88, $3.02, $2.88
06/17/2020, $2.87, 152032, $3.09, $3.09, $2.85
06/16/2020, $2.99, 154644, $2.98, $3.2, $2.8901
06/15/2020, $2.86, 36974, $2.74, $2.8999, $2.6801
06/12/2020, $2.8, 53102, $2.82, $3, $2.8
06/11/2020, $2.66, 82341, $2.73, $2.9, $2.65
06/10/2020, $2.95, 203481, $3.15, $3.155, $2.76
06/09/2020, $3.12, 95578, $3.17, $3.25, $3.08
06/08/2020, $3.21, 199305, $3.32, $3.42, $3.13
06/05/2020, $3.31, 266428, $3.53, $3.565, $3.1
06/04/2020, $3.5, 232634, $3.63, $3.63, $3.17
06/03/2020, $3.74, 573357, $3.76, $4.07, $3.66
06/02/2020, $3.6399, 451284, $3.75, $3.85, $3.29
06/01/2020, $3.73, 254732, $3.44, $3.74, $3.38
05/29/2020, $3.36, 243716, $3.29, $3.44, $3.13
05/28/2020, $3.23, 217329, $3.26, $3.3007, $3.129
05/27/2020, $3.18, 191861, $3.22, $3.24, $3.02
05/26/2020, $3, 280303, $2.6, $3, $2.54
05/22/2020, $2.6, 60895, $2.56, $2.601, $2.55
05/21/2020, $2.55, 48932, $2.56, $2.58, $2.5301
05/20/2020, $2.56, 97874, $2.47, $2.6, $2.43
05/19/2020, $2.43, 63930, $2.6, $2.6, $2.3701
05/18/2020, $2.58, 143223, $2.5, $2.67, $2.4723
05/15/2020, $2.4, 96746, $2.25, $2.4, $2.2398
05/14/2020, $2.21, 199178, $2, $2.35, $2
05/13/2020, $2.05, 110283, $1.89, $2.05, $1.81
05/12/2020, $1.9, 200100, $1.73, $2, $1.73
05/11/2020, $1.67, 22909, $1.7, $1.705, $1.66
