Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.01, 123018, $3.99, $4.09, $3.91
07/30/2020, $4.01, 135525, $3.97, $4.18, $3.9198
07/29/2020, $3.93, 227721, $4.11, $4.12, $3.86
07/28/2020, $4.04, 230505, $4.22, $4.4599, $4.02
07/27/2020, $4.2, 299161, $4.42, $4.5399, $4.14
07/24/2020, $4.41, 247152, $4.65, $4.66, $4.36
07/23/2020, $4.59, 452100, $4.59, $4.78, $4.4501
07/22/2020, $4.49, 144761, $4.57, $4.57, $4.41
07/21/2020, $4.53, 174120, $4.55, $4.59, $4.48
07/20/2020, $4.53, 180375, $4.51, $4.5572, $4.4
07/17/2020, $4.49, 119690, $4.49, $4.58, $4.35
07/16/2020, $4.5, 272817, $4.31, $4.54, $4.22
07/15/2020, $4.32, 226752, $4.19, $4.38, $4.1601
07/14/2020, $4.12, 180386, $4.18, $4.25, $4.06
07/13/2020, $4.17, 223853, $4.46, $4.4684, $4.15
07/10/2020, $4.48, 178116, $4.49, $4.5, $4.3
07/09/2020, $4.46, 75386, $4.51, $4.55, $4.41
07/08/2020, $4.5, 101919, $4.46, $4.56, $4.43
07/07/2020, $4.45, 104885, $4.45, $4.56, $4.42
07/06/2020, $4.45, 306990, $4.52, $4.5799, $4.36
07/02/2020, $4.41, 223278, $4.59, $4.69, $4.38
07/01/2020, $4.54, 400342, $4.79, $4.9, $4.47
06/30/2020, $4.57, 125372, $4.46, $4.59, $4.36
06/29/2020, $4.46, 244266, $4.53, $4.7, $4.4
06/26/2020, $4.53, 170071, $4.65, $4.74, $4.53
06/25/2020, $4.68, 140491, $4.66, $4.8401, $4.65
06/24/2020, $4.69, 271980, $4.91, $4.96, $4.635
06/23/2020, $4.99, 173003, $4.96, $5.15, $4.86
06/22/2020, $4.93, 235143, $5.05, $5.2, $4.8701
06/19/2020, $5.02, 224658, $4.8, $5.05, $4.78
06/18/2020, $4.76, 109620, $4.72, $4.8001, $4.67
06/17/2020, $4.76, 141039, $4.83, $4.84, $4.69
06/16/2020, $4.82, 142642, $4.9, $4.98, $4.7
06/15/2020, $4.85, 152645, $4.6, $4.87, $4.52
06/12/2020, $4.75, 226424, $4.8, $4.827, $4.5
06/11/2020, $4.65, 398724, $4.86, $4.89, $4.52
06/10/2020, $4.93, 151044, $5.07, $5.07, $4.86
06/09/2020, $5.01, 219192, $4.78, $5.07, $4.78
06/08/2020, $4.88, 330459, $4.91, $5.015, $4.85
06/05/2020, $4.86, 347390, $4.84, $5.17, $4.83
06/04/2020, $4.96, 387477, $5.07, $5.25, $4.9
06/03/2020, $5.12, 467767, $5.41, $5.5, $5.02
06/02/2020, $5.42, 363363, $5.46, $5.54, $5.11
06/01/2020, $5.55, 277211, $5.66, $5.7, $5.5
05/29/2020, $5.63, 320763, $5.59, $5.65, $5.5
05/28/2020, $5.65, 374020, $5.74, $5.85, $5.52
05/27/2020, $5.75, 861563, $5.86, $5.86, $5.29
05/26/2020, $5.73, 1375484, $5.75, $5.89, $5.55
05/22/2020, $5.3, 1847922, $5.5, $5.54, $5.0401
05/21/2020, $4.89, 1839663, $4.5, $5.04, $4.38
05/20/2020, $4.42, 636814, $4.5, $4.55, $4.31
05/19/2020, $4.35, 3319858, $4.5, $4.67, $4.35
05/18/2020, $5.9, 373904, $6.36, $6.4, $5.7
05/15/2020, $6.34, 179065, $6.11, $6.35, $6.11
05/14/2020, $6.15, 206772, $6.63, $6.63, $6.01
05/13/2020, $6.5, 876574, $6.5, $6.7, $6.2
05/12/2020, $6.2, 3495212, $6.74, $7.7, $6.05
05/11/2020, $4.54, 129812, $4.55, $4.746, $4.42
