Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.61, 108293, $2.73, $2.76, $2.4
07/30/2020, $2.71, 127049, $2.79, $2.84, $2.63
07/29/2020, $2.79, 200128, $2.81, $2.93, $2.75
07/28/2020, $2.75, 65686, $2.79, $2.83, $2.75
07/27/2020, $2.8, 143308, $2.8, $2.97, $2.7883
07/24/2020, $2.82, 59403, $2.79, $2.9, $2.79
07/23/2020, $2.84, 74932, $2.8, $2.89, $2.76
07/22/2020, $2.84, 68961, $2.85, $2.9, $2.76
07/21/2020, $2.84, 81455, $2.77, $2.91, $2.751
07/20/2020, $2.77, 139551, $2.82, $2.949, $2.68
07/17/2020, $2.84, 84277, $2.87, $2.92, $2.75
07/16/2020, $2.91, 43069, $3, $3.05, $2.91
07/15/2020, $3, 237682, $2.96, $3.05, $2.9021
07/14/2020, $2.91, 321001, $2.66, $2.94, $2.66
07/13/2020, $2.63, 104221, $2.65, $2.73, $2.59
07/10/2020, $2.68, 111519, $2.5, $2.6941, $2.5
07/09/2020, $2.54, 140101, $2.68, $2.68, $2.51
07/08/2020, $2.66, 87169, $2.63, $2.74, $2.63
07/07/2020, $2.67, 120781, $2.73, $2.74, $2.67
07/06/2020, $2.74, 213773, $2.69, $2.7827, $2.62
07/02/2020, $2.67, 332764, $2.75, $2.8, $2.67
07/01/2020, $2.7, 160435, $2.54, $2.7, $2.54
06/30/2020, $2.58, 172472, $2.57, $2.65, $2.5201
06/29/2020, $2.6, 115243, $2.5, $2.7, $2.44
06/26/2020, $2.5, 127292, $2.6, $2.6, $2.41
06/25/2020, $2.58, 107316, $2.53, $2.65, $2.45
06/24/2020, $2.53, 192370, $2.63, $2.645, $2.35
06/23/2020, $2.67, 125056, $2.71, $2.76, $2.59
06/22/2020, $2.7, 181433, $2.75, $2.76, $2.61
06/19/2020, $2.76, 238246, $2.86, $2.8956, $2.76
06/18/2020, $2.84, 98558, $2.87, $2.98, $2.83
06/17/2020, $2.9, 228263, $3.05, $3.08, $2.89
06/16/2020, $3.01, 124951, $3.1, $3.1, $2.87
06/15/2020, $2.98, 184263, $2.83, $3.0558, $2.77
06/12/2020, $2.94, 180783, $3.01, $3.09, $2.855
06/11/2020, $2.77, 386583, $2.65, $2.89, $2.64
06/10/2020, $3.01, 279866, $3.03, $3.1, $2.84
06/09/2020, $3.1, 318813, $3.5, $3.5699, $3.1
06/08/2020, $3.42, 526198, $3.12, $3.43, $3.12
06/05/2020, $3.04, 524620, $2.95, $3.1, $2.8317
06/04/2020, $2.83, 262686, $2.77, $2.85, $2.68
06/03/2020, $2.71, 231740, $2.62, $2.8, $2.58
06/02/2020, $2.62, 114032, $2.5, $2.62, $2.4725
06/01/2020, $2.48, 231083, $2.39, $2.56, $2.36
05/29/2020, $2.43, 200139, $2.46, $2.52, $2.38
05/28/2020, $2.51, 345942, $2.67, $2.78, $2.44
05/27/2020, $2.76, 619373, $2.49, $2.76, $2.4676
05/26/2020, $2.42, 516365, $2.29, $2.46, $2.14
05/22/2020, $2.2, 325042, $2.28, $2.31, $2.1102
05/21/2020, $2.29, 210420, $2.45, $2.5, $2.28
05/20/2020, $2.41, 433181, $2.38, $2.48, $2.34
05/19/2020, $2.35, 262269, $2.38, $2.4, $2.26
05/18/2020, $2.36, 320915, $2.14, $2.43, $2.1338
05/15/2020, $2.08, 221212, $2.11, $2.19, $2.07
05/14/2020, $2.11, 203381, $2.18, $2.2, $2.02
05/13/2020, $2.2, 407919, $2.29, $2.29, $2.02
05/12/2020, $2.22, 206022, $2.4, $2.42, $2.22
05/11/2020, $2.3, 190778, $2.36, $2.3825, $2.2716
