Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.86, 86003, $3.91, $3.9436, $3.81
07/30/2020, $3.89, 189476, $3.92, $4, $3.88
07/29/2020, $3.86, 258074, $3.6, $3.87, $3.6
07/28/2020, $3.53, 287020, $3.33, $3.61, $3.28
07/27/2020, $3.24, 157430, $3.1, $3.31, $3.0586
07/24/2020, $3.09, 74835, $3.11, $3.1599, $3.05
07/23/2020, $3.13, 158661, $3.46, $3.46, $3.045
07/22/2020, $3.38, 140227, $3.61, $3.6199, $3.32
07/21/2020, $3.64, 130927, $3.68, $3.89, $3.57
07/20/2020, $3.62, 140746, $3.75, $3.779, $3.5101
07/17/2020, $3.74, 197603, $3.55, $3.81, $3.55
07/16/2020, $3.57, 87847, $3.6, $3.68, $3.4751
07/15/2020, $3.63, 104197, $3.55, $3.73, $3.4992
07/14/2020, $3.44, 106117, $3.5, $3.57, $3.28
07/13/2020, $3.48, 143949, $3.44, $3.63, $3.42
07/10/2020, $3.38, 141137, $3.22, $3.4, $3.1869
07/09/2020, $3.19, 188060, $3.38, $3.39, $3.0344
07/08/2020, $3.3, 111597, $3.36, $3.45, $3.23
07/07/2020, $3.36, 136616, $3.41, $3.57, $3.33
07/06/2020, $3.44, 146049, $3.66, $3.7, $3.41
07/02/2020, $3.61, 167895, $3.94, $3.95, $3.52
07/01/2020, $3.92, 117987, $3.9, $3.95, $3.8312
06/30/2020, $3.98, 125533, $3.91, $4.05, $3.8001
06/29/2020, $3.8, 135580, $3.8, $3.82, $3.61
06/26/2020, $3.935, 551161, $3.59, $4.01, $3.3
06/25/2020, $3.58, 114012, $3.5, $3.6, $3.45
06/24/2020, $3.53, 107518, $3.72, $3.72, $3.49
06/23/2020, $3.72, 136317, $3.82, $3.8961, $3.6126
06/22/2020, $3.79, 161761, $3.62, $3.8, $3.545
06/19/2020, $3.56, 136835, $3.7, $3.73, $3.5068
06/18/2020, $3.57, 244966, $3.45, $3.72, $3.37
06/17/2020, $3.43, 160716, $3.57, $3.6, $3.26
06/16/2020, $3.43, 181624, $3.82, $3.82, $3.4
06/15/2020, $3.66, 234434, $3.21, $3.75, $3.21
06/12/2020, $3.38, 253175, $3.62, $3.662, $3.2686
06/11/2020, $3.48, 255733, $3.84, $3.9399, $3.38
06/10/2020, $3.94, 243703, $4.14, $4.15, $3.8
06/09/2020, $4.05, 263056, $3.99, $4.18, $3.93
06/08/2020, $3.94, 321213, $4, $4.2, $3.89
06/05/2020, $3.86, 387335, $4.15, $4.19, $3.6464
06/04/2020, $3.95, 641995, $3.32, $4, $3.32
06/03/2020, $3.26, 508233, $3.22, $3.36, $3.13
06/02/2020, $3.18, 126490, $3.39, $3.4247, $3.13
06/01/2020, $3.31, 124171, $3.46, $3.46, $3.28
05/29/2020, $3.44, 281125, $3.62, $3.81, $3.33
05/28/2020, $3.65, 684019, $3.69, $3.94, $3.555
05/27/2020, $3.67, 328985, $3.44, $3.81, $3.25
05/26/2020, $3.44, 984602, $2.99, $3.6708, $2.9531
05/22/2020, $2.83, 305942, $3, $3.15, $2.74
05/21/2020, $2.85, 238125, $2.65, $2.9748, $2.52
05/20/2020, $2.49, 84073, $2.58, $2.67, $2.45
05/19/2020, $2.54, 87292, $2.79, $2.8, $2.51
05/18/2020, $2.74, 417475, $2.74, $2.93, $2.3
05/15/2020, $2.61, 209744, $2.31, $2.69, $2.2
05/14/2020, $2.27, 236362, $2.32, $2.4527, $2.1063
05/13/2020, $2.42, 116589, $2.67, $2.72, $2.3527
05/12/2020, $2.67, 79807, $2.83, $2.9, $2.66
05/11/2020, $2.82, 75860, $2.97, $2.97, $2.64
