Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.37, 777962, $3.55, $3.5713, $3.26
07/30/2020, $3.48, 621224, $3.42, $3.49, $3.36
07/29/2020, $3.47, 1172221, $3.55, $3.69, $3.45
07/28/2020, $3.67, 869651, $3.88, $3.983, $3.65
07/27/2020, $3.81, 1732510, $3.58, $4.08, $3.57
07/24/2020, $3.69, 1443718, $3.63, $3.79, $3.467
07/23/2020, $3.82, 5483196, $4.24, $4.5, $3.61
07/22/2020, $4.1, 10734800, $3.45, $4.37, $3.43
07/21/2020, $3.41, 5532788, $3.4, $3.77, $3.32
07/20/2020, $3.1, 708305, $3.04, $3.13, $3.01
07/17/2020, $3.05, 705311, $3.04, $3.14, $3.01
07/16/2020, $3.03, 690777, $3.03, $3.1, $2.95
07/15/2020, $3.085, 1185446, $2.97, $3.14, $2.92
07/14/2020, $2.96, 999126, $2.92, $2.985, $2.81
07/13/2020, $2.9, 1329061, $3.11, $3.14, $2.87
07/10/2020, $3.11, 697316, $3.1, $3.16, $3.02
07/09/2020, $3.12, 950756, $3.2, $3.2, $3.02
07/08/2020, $3.18, 1648445, $3.18, $3.32, $3.07
07/07/2020, $3.13, 870068, $3.18, $3.18, $3.05
07/06/2020, $3.15, 1081196, $3.05, $3.2, $3.01
07/02/2020, $3.03, 763268, $3.08, $3.13, $3.01
07/01/2020, $3.07, 932909, $3.14, $3.2, $3.04
06/30/2020, $3.14, 683004, $3.15, $3.23, $3.08
06/29/2020, $3.15, 1102008, $3.2, $3.28, $3.09
06/26/2020, $3.13, 5799669, $3.45, $3.47, $3.08
06/25/2020, $3.48, 3266278, $3.7, $3.8, $3.33
06/24/2020, $3.64, 5493741, $3.19, $3.75, $3.1258
06/23/2020, $3.1, 1070588, $3.04, $3.12, $2.95
06/22/2020, $3.02, 1574818, $2.93, $3.19, $2.88
06/19/2020, $2.91, 1697292, $2.94, $2.98, $2.78
06/18/2020, $2.92, 826895, $2.9, $2.99, $2.87
06/17/2020, $2.96, 982259, $3, $3.01, $2.9
06/16/2020, $3, 1280518, $3.09, $3.12, $2.91
06/15/2020, $3.02, 997207, $2.87, $3.1, $2.85
06/12/2020, $2.98, 1133018, $3.11, $3.11, $2.85
06/11/2020, $2.81, 1785975, $2.9, $3.025, $2.76
06/10/2020, $3.16, 2700361, $3.38, $3.39, $3.11
06/09/2020, $3.36, 3128625, $3.15, $3.39, $3.05
06/08/2020, $3.06, 1869085, $3.08, $3.14, $2.89
06/05/2020, $3.12, 5066732, $3.27, $3.464, $3.04
06/04/2020, $3.24, 6766991, $2.77, $3.3, $2.77
06/03/2020, $2.82, 981687, $2.79, $2.82, $2.67
06/02/2020, $2.78, 690267, $2.79, $2.83, $2.71
06/01/2020, $2.83, 721560, $2.83, $2.84, $2.74
05/29/2020, $2.84, 1000310, $2.77, $2.85, $2.66
05/28/2020, $2.77, 1071065, $2.7, $2.8, $2.6205
05/27/2020, $2.65, 1105007, $2.83, $2.83, $2.555
05/26/2020, $2.79, 684760, $2.86, $2.86, $2.76
05/22/2020, $2.745, 2046044, $2.95, $2.95, $2.6701
05/21/2020, $2.98, 601686, $2.9, $3, $2.85
05/20/2020, $3.01, 1372056, $3.06, $3.08, $2.81
05/19/2020, $3.06, 654373, $3.1, $3.14, $3.01
05/18/2020, $3.12, 1534598, $3.25, $3.3, $3.01
05/15/2020, $3.25, 964466, $3.2, $3.4, $3.12
05/14/2020, $3.2, 883308, $3.15, $3.22, $3.075
05/13/2020, $3.25, 1299085, $3.6, $3.6, $3.17
05/12/2020, $3.51, 1345209, $3.51, $3.61, $3.42
05/11/2020, $3.54, 1668959, $3.6, $3.6, $3.31
