Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.23, 204, $0.23, $0.23, $0.23
07/30/2020, $0.24, 43346, $0.27, $0.27, $0.2
07/29/2020, $0.25, 1361, $0.28, $0.2801, $0.25
07/28/2020, $0.28, 1265, $0.3, $0.3, $0.28
07/27/2020, $0.23, 202480, $0.3, $0.3, $0.23
07/24/2020, $0.255, 5728, $0.21, $0.36, $0.2001
07/23/2020, $0.2973, N/A, $0.2973, $0.2973, $0.2973
07/22/2020, $0.2973, 7303, $0.2101, $0.35, $0.2101
07/21/2020, $0.325, 23719, $0.33, $0.35, $0.27
07/20/2020, $0.32, 20762, $0.3066, $0.32, $0.2999
07/17/2020, $0.3199, 7775, $0.37, $0.37, $0.3
07/16/2020, $0.34, 2700, $0.29, $0.34, $0.29
07/15/2020, $0.32, 19450, $0.32, $0.32, $0.28
07/14/2020, $0.3249, 5125, $0.3499, $0.3499, $0.3249
07/13/2020, $0.3, 50378, $0.2999, $0.39, $0.2701
07/10/2020, $0.2601, 89980, $0.2749, $0.33, $0.2601
07/09/2020, $0.28, 143310, $0.24, $0.3, $0.24
07/08/2020, $0.2121, 20900, $0.2, $0.23, $0.2
07/07/2020, $0.216, 54415, $0.23, $0.25, $0.21
07/06/2020, $0.23, 53659, $0.2001, $0.25, $0.2001
07/02/2020, $0.25, 87250, $0.205, $0.28, $0.205
07/01/2020, $0.2011, 200966, $0.2001, $0.2799, $0.2
06/30/2020, $0.21, 341040, $0.2027, $0.25, $0.2001
06/29/2020, $0.2, 196200, $0.25, $0.26, $0.2
06/26/2020, $0.2, 131608, $0.23, $0.23, $0.2
06/25/2020, $0.22, 34001, $0.23, $0.23, $0.22
06/24/2020, $0.2201, 93804, $0.2311, $0.24, $0.2201
06/23/2020, $0.2402, 20300, $0.25, $0.25, $0.231
06/22/2020, $0.25, 27600, $0.2499, $0.25, $0.2499
06/19/2020, $0.2412, 54400, $0.25, $0.25, $0.235
06/18/2020, $0.2499, 24033, $0.25, $0.27, $0.23
06/17/2020, $0.2501, 107661, $0.3, $0.3, $0.2201
06/16/2020, $0.3, 8700, $0.28, $0.4, $0.28
06/15/2020, $0.45, 1200, $0.27, $0.45, $0.27
06/12/2020, $0.377, N/A, $0.377, $0.377, $0.377
06/11/2020, $0.377, 2000, $0.2999, $0.377, $0.27
06/10/2020, $0.2876, 24550, $0.28, $0.35, $0.22
06/09/2020, $0.28, 1000, $0.28, $0.28, $0.28
06/08/2020, $0.27, 100, $0.27, $0.27, $0.27
06/05/2020, $0.25, N/A, $0.25, $0.25, $0.25
06/04/2020, $0.25, 6000, $0.2501, $0.2501, $0.2497
06/03/2020, $0.27, 100, $0.27, $0.27, $0.27
06/02/2020, $0.2496, 9600, $0.3, $0.3, $0.2496
06/01/2020, $0.26, 100, $0.26, $0.26, $0.26
05/29/2020, $0.2625, 600, $0.3002, $0.3002, $0.2625
05/28/2020, $0.2001, N/A, $0.2001, $0.2001, $0.2001
05/27/2020, $0.2001, 25000, $0.2001, $0.2001, $0.2001
05/26/2020, $0.2, N/A, $0.2, $0.2, $0.2
05/22/2020, $0.2, N/A, $0.2, $0.2, $0.2
05/21/2020, $0.2, N/A, $0.2, $0.2, $0.2
05/20/2020, $0.2, 1000000, $0.2, $0.2, $0.2
05/19/2020, $0.2, N/A, $0.2, $0.2, $0.2
05/18/2020, $0.2, N/A, $0.2, $0.2, $0.2
05/15/2020, $0.2, 50000, $0.2, $0.2, $0.2
05/14/2020, $0.2, N/A, $0.2, $0.2, $0.2
05/13/2020, $0.2, 967850, $0.2, $0.2, $0.2
05/12/2020, $0.01, N/A, $0.01, $0.01, $0.01
