Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.2, 127165, $4.3, $4.39, $4.12
07/30/2020, $4.3, 93466, $4.36, $4.367, $4.1
07/29/2020, $4.35, 55535, $4.38, $4.49, $4.29
07/28/2020, $4.34, 114600, $4.38, $4.49, $4.25
07/27/2020, $4.41, 45430, $4.3, $4.46, $4.3
07/24/2020, $4.28, 47502, $4.4, $4.41, $4.26
07/23/2020, $4.41, 137766, $4.48, $4.62, $4.32
07/22/2020, $4.5, 104290, $4.71, $4.72, $4.45
07/21/2020, $4.71, 112804, $4.93, $4.95, $4.63
07/20/2020, $4.86, 132907, $4.88, $4.96, $4.73
07/17/2020, $4.78, 93309, $4.887, $4.89, $4.72
07/16/2020, $4.76, 120625, $4.73, $4.84, $4.63
07/15/2020, $4.75, 362128, $4.5, $4.77, $4.4979
07/14/2020, $4.5, 93701, $4.33, $4.56, $4.21
07/13/2020, $4.37, 189686, $4.58, $4.58, $4.33
07/10/2020, $4.39, 240867, $4.36, $4.57, $4.28
07/09/2020, $4.38, 207465, $4.57, $4.59, $4.3
07/08/2020, $4.59, 194039, $4.71, $4.8, $4.48
07/07/2020, $4.7, 193561, $4.97, $5.06, $4.68
07/06/2020, $5.04, 159185, $4.85, $5.09, $4.8
07/02/2020, $4.77, 180061, $4.81, $4.9, $4.72
07/01/2020, $4.77, 812738, $4.87, $4.947, $4.55
06/30/2020, $4.86, 152419, $4.95, $5.0203, $4.7502
06/29/2020, $4.98, 258826, $5.28, $5.2999, $4.74
06/26/2020, $5.2, 4122027, $5.48, $5.56, $5.08
06/25/2020, $5.49, 344713, $5.09, $5.75, $5.09
06/24/2020, $5.16, 222770, $5.39, $5.5211, $5.015
06/23/2020, $5.45, 304764, $5.27, $5.46, $5.2
06/22/2020, $5.19, 259964, $5.18, $5.315, $5.16
06/19/2020, $5.18, 402404, $5.48, $5.759, $5.12
06/18/2020, $5.45, 206832, $5.52, $5.87, $5.43
06/17/2020, $5.55, 172137, $5.69, $5.895, $5.55
06/16/2020, $5.66, 166593, $6.01, $6.06, $5.6
06/15/2020, $5.89, 312489, $5.49, $5.9999, $5.1
06/12/2020, $5.44, 194607, $5.47, $5.81, $5.41
06/11/2020, $5.34, 809772, $5.93, $5.9799, $5.25
06/10/2020, $5.99, 382445, $5.78, $6.1, $5.72
06/09/2020, $5.68, 197969, $5.85, $5.85, $5.55
06/08/2020, $5.45, 184554, $5.32, $5.6, $5.27
06/05/2020, $5.32, 226024, $5.63, $5.78, $5.25
06/04/2020, $5.43, 424728, $5.5, $5.95, $5.25
06/03/2020, $5.42, 392650, $5.01, $5.46, $4.885
06/02/2020, $4.82, 230134, $4.9, $5.1499, $4.7
06/01/2020, $4.8, 1369087, $4.65, $5.73, $4.65
05/29/2020, $4.58, 59336, $4.57, $4.66, $4.46
05/28/2020, $4.53, 147417, $4.54, $4.66, $4.53
05/27/2020, $4.54, 177810, $4.66, $4.69, $4.33
05/26/2020, $4.69, 251698, $5.1, $5.1, $4.67
05/22/2020, $5.05, 548150, $4.76, $5.2, $4.76
05/21/2020, $4.79, 219978, $4.48, $4.92, $4.48
05/20/2020, $4.51, 257448, $4.58, $4.8699, $4.41
05/19/2020, $4.61, 212158, $4.32, $4.7, $4.28
05/18/2020, $4.27, 179311, $4.24, $4.52, $4.24
05/15/2020, $4.21, 137863, $4.15, $4.3, $4.11
05/14/2020, $4.19, 414593, $4.46, $4.57, $3.9
05/13/2020, $4.68, 672665, $4.35, $4.725, $4.31
05/12/2020, $4.18, 490293, $3.82, $4.25, $3.65
05/11/2020, $3.84, 258837, $4.03, $4.1, $3.83
