Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.01, 1666249, $1.02, $1.03, $0.9915
07/30/2020, $1.02, 2210366, $1.02, $1.04, $1
07/29/2020, $1.04, 2927502, $1.06, $1.063, $1.02
07/28/2020, $1.03, 6224479, $1.08, $1.11, $1.01
07/27/2020, $1.075, 2239073, $1.13, $1.15, $1.05
07/24/2020, $1.14, 1622469, $1.12, $1.17, $1.11
07/23/2020, $1.14, 3207533, $1.07, $1.16, $1.07
07/22/2020, $1.07, 1922683, $1.05, $1.08, $1.0325
07/21/2020, $1.04, 2346010, $1.1, $1.1, $1.04
07/20/2020, $1.03, 2361287, $1.08, $1.1, $1.02
07/17/2020, $1.08, 2103813, $1.13, $1.1576, $1.05
07/16/2020, $1.13, 1034219, $1.17, $1.185, $1.12
07/15/2020, $1.18, 2842877, $1.13, $1.19, $1.09
07/14/2020, $1.06, 2075495, $1.04, $1.08, $0.98
07/13/2020, $1.03, 2595213, $1.15, $1.2, $1.03
07/10/2020, $1.14, 2100983, $1.05, $1.15, $1.01
07/09/2020, $1.07, 3000384, $1.18, $1.19, $1.05
07/08/2020, $1.2, 1952512, $1.22, $1.24, $1.13
07/07/2020, $1.2, 2353013, $1.25, $1.26, $1.17
07/06/2020, $1.24, 3485383, $1.21, $1.26, $1.19
07/02/2020, $1.17, 3137592, $1.21, $1.25, $1.13
07/01/2020, $1.17, 4383832, $1.11, $1.235, $1.05
06/30/2020, $1.09, 2772591, $1, $1.12, $1
06/29/2020, $1.02, 3437472, $1.02, $1.12, $0.955
06/26/2020, $0.97, 4667454, $1.02, $1.05, $0.9601
06/25/2020, $1.02, 6613258, $1.05, $1.16, $0.96
06/24/2020, $1.06, 4079186, $1.108, $1.11, $1.03
06/23/2020, $1.09, 7208166, $1.28, $1.285, $1.09
06/22/2020, $1.255, 8964580, $1.44, $1.44, $1.17
06/19/2020, $1.395, 23405690, $1.62, $1.65, $1.39
06/18/2020, $1.6, 4622673, $1.69, $1.72, $1.6
06/17/2020, $1.7, 7158581, $1.91, $1.91, $1.64
06/16/2020, $1.9, 5972099, $1.87, $2, $1.83
06/15/2020, $1.78, 4868535, $1.71, $1.85, $1.6
06/12/2020, $1.82, 4194536, $1.88, $1.92, $1.73
06/11/2020, $1.77, 4831440, $1.81, $1.945, $1.77
06/10/2020, $2.02, 4637800, $2, $2.16, $1.9
06/09/2020, $2.21, 8262934, $2.11, $2.28, $1.81
06/08/2020, $2.37, 17780490, $1.85, $2.39, $1.77
06/05/2020, $1.69, 9850918, $1.75, $1.79, $1.56
06/04/2020, $1.62, 3755512, $1.57, $1.65, $1.52
06/03/2020, $1.61, 3538217, $1.71, $1.72, $1.59
06/02/2020, $1.63, 3229124, $1.55, $1.71, $1.545
06/01/2020, $1.53, 3229343, $1.45, $1.6, $1.39
05/29/2020, $1.51, 2505260, $1.57, $1.6, $1.4416
05/28/2020, $1.53, 2614990, $1.73, $1.73, $1.52
05/27/2020, $1.695, 4513286, $1.8, $1.83, $1.64
05/26/2020, $1.75, 4057789, $1.61, $1.78, $1.5301
05/22/2020, $1.53, 3367946, $1.42, $1.54, $1.36
05/21/2020, $1.44, 2163162, $1.45, $1.5, $1.3801
05/20/2020, $1.47, 5332789, $1.46, $1.5, $1.35
05/19/2020, $1.39, 8591709, $1.64, $1.67, $1.24
05/18/2020, $1.64, 5127519, $1.7, $1.79, $1.6
05/15/2020, $1.62, 3443297, $1.82, $1.88, $1.57
05/14/2020, $1.8, 4724861, $1.8, $1.98, $1.665
05/13/2020, $1.87, 3241523, $2.18, $2.2, $1.835
05/12/2020, $2.16, 3805802, $2.49, $2.52, $2.15
05/11/2020, $2.38, 3131556, $2.5, $2.66, $2.38
