Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.8752, 17760, $0.89, $0.89, $0.8707
07/30/2020, $0.89, 26721, $0.888, $0.9, $0.87
07/29/2020, $0.906, 37225, $0.92, $0.92, $0.9
07/28/2020, $0.9227, 361041, $0.8701, $1.06, $0.8701
07/27/2020, $0.86, 92829, $0.98, $0.98, $0.846
07/24/2020, $0.995, 89262, $1.05, $1.065, $0.9574
07/23/2020, $1.08, 55727, $1.08, $1.1001, $1.05
07/22/2020, $1.09, 106343, $1.08, $1.1104, $1.02
07/21/2020, $1.07, 70425, $1.1, $1.16, $1.07
07/20/2020, $1.13, 128061, $1.15, $1.16, $1.05
07/17/2020, $1.2, 210146, $1.3, $1.3, $1.05
07/16/2020, $1.31, 57280, $1.28, $1.45, $1.2798
07/15/2020, $1.33, 347008, $1.45, $1.4854, $1.11
07/14/2020, $1.47, 91697, $1.58, $1.58, $1.42
07/13/2020, $1.53, 44189, $1.54, $1.59, $1.5135
07/10/2020, $1.59, 34980, $1.59, $1.63, $1.52
07/09/2020, $1.56, 62831, $1.57, $1.5847, $1.525
07/08/2020, $1.6, 32285, $1.62, $1.62, $1.56
07/07/2020, $1.62, 106834, $1.59, $1.65, $1.51
07/06/2020, $1.57, 149904, $1.65, $1.65, $1.55
07/02/2020, $1.65, 130122, $1.7, $1.75, $1.59
07/01/2020, $1.68, 109534, $1.66, $1.6999, $1.5705
06/30/2020, $1.66, 68098, $1.58, $1.74, $1.58
06/29/2020, $1.6, 46356, $1.67, $1.79, $1.5101
06/26/2020, $1.5, 178191, $1.8, $1.81, $1.45
06/25/2020, $1.83, 193182, $1.85, $1.98, $1.8
06/24/2020, $1.9, 385835, $1.82, $1.93, $1.61
06/23/2020, $1.88, 431397, $1.85, $1.99, $1.79
06/22/2020, $1.8, 1287173, $1.8, $1.99, $1.61
06/19/2020, $1.5, 752294, $1.36, $1.6, $1.3
06/18/2020, $1.4, 146186, $1.31, $1.45, $1.31
06/17/2020, $1.36, 116973, $1.4, $1.45, $1.319
06/16/2020, $1.47, 734562, $1.4, $1.78, $1.4
06/15/2020, $1.4, 143719, $1.34, $1.44, $1.25
06/12/2020, $1.43, 209133, $1.26, $1.6, $1.25
06/11/2020, $1.29, 845413, $1.58, $1.65, $1.2202
06/10/2020, $1.41, 160449, $1.37, $1.48, $1.37
06/09/2020, $1.43, 163304, $1.42, $1.48, $1.38
06/08/2020, $1.42, 511528, $1.54, $1.55, $1.37
06/05/2020, $1.36, 278995, $1.65, $1.65, $1.21
06/04/2020, $1.44, 283092, $1.38, $1.465, $1.34
06/03/2020, $1.44, 421762, $1.5, $1.5, $1.35
06/02/2020, $1.56, 525079, $1.79, $1.79, $1.52
06/01/2020, $1.63, 929343, $1.36, $1.63, $1.27
05/29/2020, $1.45, 1000011, $1.52, $1.57, $1.38
05/28/2020, $1.67, 5746764, $1.93, $2.36, $1.5996
05/27/2020, $2.58, 68977330, $1.77, $2.79, $1.33
05/26/2020, $0.8257, 1467393, $0.749, $0.9, $0.6544
05/22/2020, $0.62, 8180221, $0.41, $1.37, $0.41
05/21/2020, $0.36, 26138, $0.38, $0.38, $0.36
05/20/2020, $0.38, 117073, $0.3693, $0.4166, $0.336
05/19/2020, $0.3518, 32587, $0.3372, $0.356, $0.3348
05/18/2020, $0.3427, 24190, $0.378, $0.378, $0.33
05/15/2020, $0.3274, 180434, $0.3391, $0.3975, $0.315
05/14/2020, $0.32, 19076, $0.32, $0.334, $0.32
05/13/2020, $0.338, 54631, $0.375, $0.375, $0.305
05/12/2020, $0.36, 117591, $0.3465, $0.3836, $0.33
05/11/2020, $0.33, 712918, $0.2888, $0.56, $0.2801
