Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.32, 32564, $0.38, $0.38, $0.2602
07/30/2020, $0.38, 503, $0.38, $0.38, $0.38
07/29/2020, $0.4, 1272, $0.315, $0.4, $0.315
07/28/2020, $0.35, 129605, $0.32, $0.37, $0.31
07/27/2020, $0.37, 310, $0.37, $0.37, $0.37
07/24/2020, $0.297, 5205, $0.2701, $0.3, $0.27
07/23/2020, $0.3099, 7820, $0.3, $0.31, $0.2952
07/22/2020, $0.2999, 23995, $0.305, $0.35, $0.2601
07/21/2020, $0.39, 1150, $0.39, $0.39, $0.39
07/20/2020, $0.3999, 20871, $0.34, $0.3999, $0.34
07/17/2020, $0.4199, 3935, $0.4199, $0.4199, $0.36
07/16/2020, $0.4, 6100, $0.3999, $0.4, $0.3999
07/15/2020, $0.35, 35963, $0.3601, $0.3971, $0.341
07/14/2020, $0.38, 16630, $0.4699, $0.4699, $0.333
07/13/2020, $0.4699, 36218, $0.37, $0.481, $0.32
07/10/2020, $0.43, 30498, $0.45, $0.48, $0.42
07/09/2020, $0.3999, 7474, $0.35, $0.41, $0.35
07/08/2020, $0.3499, 45600, $0.3201, $0.35, $0.32
07/07/2020, $0.32, 29519, $0.35, $0.38, $0.31
07/06/2020, $0.32, 46311, $0.32, $0.39, $0.28
07/02/2020, $0.3, N/A, $0.3, $0.3, $0.3
07/01/2020, $0.3, 1000, $0.3, $0.3, $0.3
06/30/2020, $0.28, 19300, $0.2565, $0.28, $0.21
06/29/2020, $0.2799, 10184, $0.28, $0.29, $0.2799
06/26/2020, $0.27, 350, $0.3, $0.3, $0.27
06/25/2020, $0.2595, 12271, $0.26, $0.27, $0.2496
06/24/2020, $0.2452, 6502, $0.2217, $0.2452, $0.2
06/23/2020, $0.18, 47400, $0.23, $0.23, $0.13
06/22/2020, $0.23, N/A, $0.23, $0.23, $0.23
06/19/2020, $0.23, 27600, $0.25, $0.25, $0.21
06/18/2020, $0.23, N/A, $0.23, $0.23, $0.23
06/17/2020, $0.23, 4700, $0.23, $0.24, $0.2298
06/16/2020, $0.21, 1800, $0.21, $0.21, $0.21
06/15/2020, $0.21, 200, $0.21, $0.21, $0.21
06/12/2020, $0.1999, N/A, $0.1999, $0.1999, $0.1999
06/11/2020, $0.1999, 2110, $0.21, $0.21, $0.1999
06/10/2020, $0.2, 36508, $0.15, $0.2, $0.15
06/09/2020, $0.13, N/A, $0.13, $0.13, $0.13
06/08/2020, $0.13, N/A, $0.13, $0.13, $0.13
06/05/2020, $0.13, 100, $0.13, $0.13, $0.13
06/04/2020, $0.1, 3200, $0.13, $0.13, $0.0999
06/03/2020, $0.13, N/A, $0.13, $0.13, $0.13
06/02/2020, $0.13, 100, $0.13, $0.13, $0.13
06/01/2020, $0.13, N/A, $0.13, $0.13, $0.13
05/29/2020, $0.13, N/A, $0.13, $0.13, $0.13
05/28/2020, $0.13, N/A, $0.13, $0.13, $0.13
05/27/2020, $0.13, 100, $0.13, $0.13, $0.13
05/26/2020, $0.11, 301, $0.0782, $0.11, $0.0778
05/22/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/21/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/20/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/19/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/18/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/15/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/14/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/13/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/12/2020, $0.11, N/A, $0.11, $0.11, $0.11
05/11/2020, $0.11, N/A, $0.11, $0.11, $0.11
