Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.205, 630022, $3.31, $3.38, $3.18
07/30/2020, $3.32, 766390, $3.38, $3.4219, $3.25
07/29/2020, $3.4, 853009, $3.55, $3.56, $3.34
07/28/2020, $3.56, 494871, $3.6, $3.77, $3.495
07/27/2020, $3.63, 395435, $3.61, $3.71, $3.59
07/24/2020, $3.65, 828780, $3.59, $3.65, $3.46
07/23/2020, $3.59, 792154, $3.55, $3.79, $3.52
07/22/2020, $3.515, 1037892, $3.67, $3.73, $3.5
07/21/2020, $3.69, 1147452, $3.85, $3.865, $3.65
07/20/2020, $3.86, 726743, $3.85, $3.92, $3.76
07/17/2020, $3.8, 928830, $3.74, $3.93, $3.73
07/16/2020, $3.79, 1131804, $3.84, $3.885, $3.71
07/15/2020, $3.88, 1529643, $3.91, $3.965, $3.75
07/14/2020, $3.89, 3773069, $3.72, $4.11, $3.6
07/13/2020, $4.02, 11377500, $5.36, $5.4, $3.92
07/10/2020, $8.09, 1790293, $7.14, $8.15, $6.68
07/09/2020, $7.09, 1537387, $6.48, $7.19, $6.33
07/08/2020, $6.29, 813540, $6.36, $6.47, $6.23
07/07/2020, $6.33, 725578, $6.66, $6.7599, $6.29
07/06/2020, $6.69, 556274, $6.72, $6.77, $6.62
07/02/2020, $6.58, 227039, $6.66, $6.69, $6.51
07/01/2020, $6.55, 283435, $6.7, $6.71, $6.5
06/30/2020, $6.64, 220358, $6.66, $6.76, $6.47
06/29/2020, $6.68, 264456, $6.94, $6.975, $6.52
06/26/2020, $6.82, 1154891, $6.85, $7.06, $6.615
06/25/2020, $6.91, 607627, $6.82, $7.14, $6.82
06/24/2020, $6.84, 473642, $6.65, $7.0842, $6.53
06/23/2020, $6.57, 411550, $6.61, $6.75, $6.5105
06/22/2020, $6.54, 341560, $6.61, $6.94, $6.5
06/19/2020, $6.65, 472528, $6.73, $6.98, $6.63
06/18/2020, $6.66, 202663, $6.51, $6.87, $6.51
06/17/2020, $6.58, 170996, $6.7, $6.71, $6.45
06/16/2020, $6.7, 246488, $6.44, $6.75, $6.35
06/15/2020, $6.29, 305525, $6.29, $6.39, $6.05
06/12/2020, $6.35, 234603, $6.57, $6.73, $6.25
06/11/2020, $6.35, 367321, $6.82, $6.82, $6.305
06/10/2020, $6.94, 335103, $6.84, $7.1, $6.82
06/09/2020, $6.85, 353210, $7.17, $7.17, $6.62
06/08/2020, $6.89, 277052, $6.79, $6.96, $6.61
06/05/2020, $6.73, 350521, $6.73, $6.875, $6.39
06/04/2020, $6.53, 370277, $6.31, $6.7, $6.31
06/03/2020, $6.29, 346904, $6.36, $6.465, $6.2
06/02/2020, $6.28, 324239, $6.31, $6.48, $6.13
06/01/2020, $6.27, 291122, $6.4, $6.5, $6.2
05/29/2020, $6.46, 115589, $6.54, $6.6835, $6.2801
05/28/2020, $6.57, 110515, $6.71, $6.78, $6.5
05/27/2020, $6.55, 170458, $6.7, $6.8899, $6.32
05/26/2020, $6.51, 196415, $7.02, $7.0965, $6.45
05/22/2020, $6.73, 343113, $6.45, $7.11, $6.35
05/21/2020, $6.4, 170725, $6.99, $7.05, $6.37
05/20/2020, $6.99, 112236, $6.74, $7.01, $6.6
05/19/2020, $6.6, 89767, $6.65, $6.9, $6.53
05/18/2020, $6.72, 158044, $6.76, $6.95, $6.6
05/15/2020, $6.59, 159013, $6.3, $6.65, $6.235
05/14/2020, $6.28, 242514, $6.36, $6.4352, $6.06
05/13/2020, $6.4, 210548, $6.64, $6.68, $6.22
05/12/2020, $6.66, 259727, $6.74, $6.98, $6.56
05/11/2020, $6.63, 368759, $6.4, $6.9106, $6.31
