Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.085, 105063, $0.072, $0.0851, $0.072
07/30/2020, $0.0721, 413852, $0.0961, $0.0961, $0.0721
07/29/2020, $0.095, 101048, $0.0901, $0.1, $0.08
07/28/2020, $0.1, 152198, $0.0898, $0.1, $0.0754
07/27/2020, $0.09, 1110, $0.0728, $0.09, $0.0728
07/24/2020, $0.0998, 75848, $0.085, $0.1, $0.085
07/23/2020, $0.095, 84745, $0.09, $0.095, $0.09
07/22/2020, $0.08, 23175, $0.09, $0.0949, $0.08
07/21/2020, $0.08, 122585, $0.09, $0.0901, $0.0656
07/20/2020, $0.0686, 19506, $0.099, $0.099, $0.0686
07/17/2020, $0.0899, 128071, $0.0799, $0.09, $0.0767
07/16/2020, $0.0653, 39954, $0.07, $0.0889, $0.065
07/15/2020, $0.0685, 134258, $0.08, $0.08, $0.0685
07/14/2020, $0.075, 489741, $0.069, $0.09, $0.0601
07/13/2020, $0.0699, 79211, $0.065, $0.0699, $0.043
07/10/2020, $0.0595, 166970, $0.05, $0.06, $0.05
07/09/2020, $0.0435, 36948, $0.05, $0.05, $0.0435
07/08/2020, $0.0417, 489109, $0.0429, $0.0938, $0.04
07/07/2020, $0.04, 65389, $0.04, $0.04, $0.0333
07/06/2020, $0.0333, 31219, $0.04, $0.044, $0.0333
07/02/2020, $0.0399, 428, $0.0399, $0.0399, $0.0399
07/01/2020, $0.04, 94005, $0.0649, $0.0649, $0.039
06/30/2020, $0.04, 195183, $0.0649, $0.0649, $0.0378
06/29/2020, $0.0649, 1300, $0.0649, $0.0649, $0.0649
06/26/2020, $0.0649, 100, $0.0649, $0.0649, $0.0649
06/25/2020, $0.069, 8847, $0.069, $0.069, $0.06
06/24/2020, $0.07, 2761, $0.073, $0.073, $0.07
06/23/2020, $0.0749, 32144, $0.073, $0.075, $0.07
06/22/2020, $0.075, 35073, $0.1, $0.1, $0.0648
06/19/2020, $0.1, 20400, $0.1, $0.1, $0.08
06/18/2020, $0.081, 222692, $0.07, $0.086, $0.07
06/17/2020, $0.07, 38500, $0.0755, $0.0999, $0.07
06/16/2020, $0.057, 34050, $0.06, $0.08, $0.0561
06/15/2020, $0.08, 9941, $0.0998, $0.0998, $0.06
06/12/2020, $0.06, 2204, $0.06, $0.06, $0.06
06/11/2020, $0.075, 15900, $0.0801, $0.1199, $0.0604
06/10/2020, $0.08, 88120, $0.1499, $0.1499, $0.07
06/09/2020, $0.115, 364405, $0.0401, $0.2593, $0.0401
06/08/2020, $0.06, 24261, $0.058, $0.06, $0.058
06/05/2020, $0.049, 615, $0.0489, $0.05, $0.0489
06/04/2020, $0.05, N/A, $0.05, $0.05, $0.05
06/03/2020, $0.05, 1715, $0.05, $0.05, $0.05
06/02/2020, $0.05, 11121, $0.0494, $0.05, $0.0494
06/01/2020, $0.0302, 338, $0.0302, $0.0302, $0.0302
05/29/2020, $0.03, 330, $0.03, $0.03, $0.03
05/28/2020, $0.04, 7303, $0.06, $0.06, $0.04
05/27/2020, $0.051, 230, $0.051, $0.051, $0.051
05/26/2020, $0.051, 3671, $0.06, $0.06, $0.051
05/22/2020, $0.06, 10000, $0.0585, $0.06, $0.0585
05/21/2020, $0.045, 3800, $0.045, $0.045, $0.045
05/20/2020, $0.04, 15500, $0.051, $0.051, $0.03
05/19/2020, $0.04, 57200, $0.05, $0.05, $0.04
05/18/2020, $0.0589, 1501, $0.06, $0.06, $0.0589
05/15/2020, $0.059, 45250, $0.06, $0.06, $0.05
05/14/2020, $0.05, 43000, $0.07, $0.07, $0.05
05/13/2020, $0.05, 1000, $0.05, $0.05, $0.05
05/12/2020, $0.0501, 2000, $0.05, $0.0501, $0.05
05/11/2020, $0.05, N/A, $0.05, $0.05, $0.05
