Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.13, 11362, $1.12, $1.1605, $1.1
07/30/2020, $1.11, 31370, $1.11, $1.19, $1.085
07/29/2020, $1.158, 10035, $1.181, $1.19, $1.14
07/28/2020, $1.17, 33698, $1.19, $1.2, $1.14
07/27/2020, $1.2, 17188, $1.18, $1.2, $1.15
07/24/2020, $1.155, 18276, $1.17, $1.19, $1.15
07/23/2020, $1.19, 11819, $1.2071, $1.23, $1.1601
07/22/2020, $1.18, 6686, $1.21, $1.24, $1.18
07/21/2020, $1.215, 8299, $1.17, $1.22, $1.17
07/20/2020, $1.19, 23193, $1.28, $1.28, $1.18
07/17/2020, $1.26, 11343, $1.25, $1.2663, $1.25
07/16/2020, $1.25, 2608, $1.23, $1.27, $1.23
07/15/2020, $1.216, 31884, $1.19, $1.24, $1.18
07/14/2020, $1.21, 7654, $1.2, $1.21, $1.1701
07/13/2020, $1.22, 39724, $1.25, $1.25, $1.18
07/10/2020, $1.21, 16490, $1.29, $1.29, $1.2
07/09/2020, $1.19, 14887, $1.19, $1.24, $1.19
07/08/2020, $1.2, 25387, $1.245, $1.28, $1.1791
07/07/2020, $1.24, 33598, $1.24, $1.3, $1.2197
07/06/2020, $1.2206, 35174, $1.24, $1.2777, $1.1857
07/02/2020, $1.24, 26729, $1.26, $1.3, $1.22
07/01/2020, $1.2827, 22208, $1.23, $1.29, $1.2241
06/30/2020, $1.23, 42080, $1.181, $1.24, $1.16
06/29/2020, $1.18, 26128, $1.17, $1.2, $1.15
06/26/2020, $1.2, 57489, $1.22, $1.22, $1.1501
06/25/2020, $1.21, 118914, $1.12, $1.23, $1.12
06/24/2020, $1.13, 56996, $1.11, $1.16, $1.0973
06/23/2020, $1.12, 14815, $1.1486, $1.1486, $1.1
06/22/2020, $1.13, 32955, $1.19, $1.1962, $1.1117
06/19/2020, $1.14, 58702, $1.16, $1.17, $1.12
06/18/2020, $1.15, 27306, $1.16, $1.18, $1.13
06/17/2020, $1.16, 6137, $1.21, $1.225, $1.16
06/16/2020, $1.2038, 58255, $1.23, $1.24, $1.12
06/15/2020, $1.18, 25920, $1.14, $1.2098, $1.11
06/12/2020, $1.175, 48732, $1.15, $1.2, $1.15
06/11/2020, $1.1, 149560, $1.2, $1.2, $1.05
06/10/2020, $1.2, 109603, $1.31, $1.36, $1.14
06/09/2020, $1.36, 103894, $1.5, $1.5, $1.2201
06/08/2020, $1.54, 154842, $1.3, $1.59, $1.295
06/05/2020, $1.24, 92364, $1.24, $1.3, $1.16
06/04/2020, $1.24, 49892, $1.2, $1.24, $1.2
06/03/2020, $1.24, 41634, $1.21, $1.24, $1.1224
06/02/2020, $1.15, 36717, $1.2, $1.2, $1.11
06/01/2020, $1.19, 43116, $1.18, $1.2, $1.16
05/29/2020, $1.16, 42651, $1.17, $1.18, $1.1
05/28/2020, $1.23, 70841, $1.18, $1.23, $1.13
05/27/2020, $1.24, 109624, $1.15, $1.24, $1.08
05/26/2020, $1.13, 47059, $1.15, $1.21, $1.1
05/22/2020, $1.13, 59158, $1.14, $1.17, $1.07
05/21/2020, $1.17, 144196, $1.08, $1.2498, $1
05/20/2020, $1.08, 194096, $1.18, $1.18, $1
05/19/2020, $1.21, 121895, $1.26, $1.3, $1.18
05/18/2020, $1.2538, 186346, $1.2, $1.36, $1.15
05/15/2020, $1.1597, 204095, $0.92, $1.19, $0.92
05/14/2020, $0.893, 37979, $0.9499, $0.95, $0.83
05/13/2020, $0.8269, 99552, $0.98, $1.06, $0.782
05/12/2020, $0.9, 212861, $1.01, $1.2, $0.9
05/11/2020, $0.9702, 132462, $0.8684, $1.02, $0.8541
