Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.4, 73001, $1.5, $1.51, $1.2001
07/30/2020, $1.5, 66252, $1.88, $1.89, $1.5
07/29/2020, $1.56, 99754, $1.45, $1.89, $1.4
07/28/2020, $1.31, 31351, $1.31, $1.33, $1.26
07/27/2020, $1.26, 296735, $1.06, $1.4, $1.05
07/24/2020, $1.05, 42502, $1.12, $1.12, $1.04
07/23/2020, $1.1, 67220, $1, $1.15, $1
07/22/2020, $1, 4670, $1.01, $1.05, $1
07/21/2020, $0.9648, 3208, $1.0217, $1.07, $0.9648
07/20/2020, $0.97, 1876, $0.96, $1, $0.96
07/17/2020, $1.05, 96346, $1, $1.05, $0.9998
07/16/2020, $1, 1500, $1.01, $1.01, $1
07/15/2020, $1.01, 9451, $1.02, $1.05, $1
07/14/2020, $0.98, 37701, $1.16, $1.17, $0.95
07/13/2020, $1.14, 29893, $1.11, $1.2, $1.11
07/10/2020, $1.08, 16706, $1.13, $1.13, $0.81
07/09/2020, $1.05, 25450, $1.035, $1.1, $1.035
07/08/2020, $0.99, 7901, $1.02, $1.05, $0.95
07/07/2020, $0.9603, 349000, $1, $1.1, $0.9603
07/06/2020, $1, 14100, $1.01, $1.01, $0.9
07/02/2020, $1, 25850, $1.05, $1.05, $0.95
07/01/2020, $1.04, 33801, $1.1, $1.1, $1.01
06/30/2020, $1.1, 14300, $1.1, $1.15, $1.1
06/29/2020, $1.1, 12934, $1.1, $1.15, $1.08
06/26/2020, $1.06, 77323, $0.97, $1.1, $0.96
06/25/2020, $0.95, 116254, $0.96, $1, $0.92
06/24/2020, $0.959, 66403, $0.94, $0.959, $0.88
06/23/2020, $0.9001, 297050, $0.8499, $0.92, $0.8462
06/22/2020, $0.83, 300413, $0.83, $0.9, $0.8
06/19/2020, $0.79, 321050, $0.8, $0.86, $0.778
06/18/2020, $0.74, 31680, $0.75, $0.8, $0.72
06/17/2020, $0.7475, 58396, $0.77, $0.77, $0.7475
06/16/2020, $0.74, 1000, $0.8, $0.8, $0.74
06/15/2020, $0.75, 2300, $0.78, $0.78, $0.75
06/12/2020, $0.75, 5389, $0.76, $0.76, $0.66
06/11/2020, $0.725, 210500, $0.761, $0.86, $0.65
06/10/2020, $0.75, 40173, $0.71, $0.82, $0.7
06/09/2020, $0.65, 270140, $0.65, $0.66, $0.62
06/08/2020, $0.615, 5300, $0.65, $0.65, $0.615
06/05/2020, $0.64, 600, $0.65, $0.65, $0.64
06/04/2020, $0.63, 900, $0.59, $0.65, $0.59
06/03/2020, $0.59, 46600, $0.6, $0.61, $0.59
06/02/2020, $0.5999, 451829, $0.6, $0.765, $0.595
06/01/2020, $0.6, 300900, $0.61, $0.61, $0.5862
05/29/2020, $0.6, N/A, $0.6, $0.6, $0.6
05/28/2020, $0.6, 500, $0.6, $0.6, $0.6
05/27/2020, $0.65, 400, $0.65, $0.65, $0.65
05/26/2020, $0.7, 800, $0.71, $0.71, $0.7
05/22/2020, $0.7, 300, $0.7, $0.7, $0.7
05/21/2020, $0.68, 600, $0.68, $0.68, $0.68
05/20/2020, $0.67, 2300, $0.7, $0.71, $0.67
05/19/2020, $0.65, 5600, $0.61, $0.69, $0.6
05/18/2020, $0.65, 2401, $0.7, $0.7, $0.65
05/15/2020, $0.64, N/A, $0.64, $0.64, $0.64
05/14/2020, $0.64, 1100, $0.62, $0.65, $0.6
05/13/2020, $0.59, 3100, $0.65, $0.65, $0.59
05/12/2020, $0.59, 400, $0.59, $0.59, $0.59
05/11/2020, $0.59, 1000, $0.6, $0.6, $0.59
