Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.84, 172307, $2.86, $2.9, $2.8
07/30/2020, $2.88, 402165, $2.92, $2.9799, $2.79
07/29/2020, $2.91, 324621, $3.04, $3.15, $2.9
07/28/2020, $3.02, 416202, $3.02, $3.06, $2.885
07/27/2020, $3.02, 390602, $3.21, $3.2263, $3
07/24/2020, $3.19, 212992, $3.17, $3.3271, $3.16
07/23/2020, $3.34, 281267, $3.38, $3.47, $3.25
07/22/2020, $3.35, 297507, $3.13, $3.36, $3.12
07/21/2020, $3.105, 179197, $3.06, $3.24, $3.0527
07/20/2020, $3.05, 214722, $3.16, $3.19, $3.02
07/17/2020, $3.15, 155973, $3.13, $3.25, $3.0753
07/16/2020, $3.11, 168407, $3.13, $3.2, $3.02
07/15/2020, $3.17, 256603, $3.06, $3.1901, $3.0029
07/14/2020, $2.96, 183731, $3.05, $3.13, $2.93
07/13/2020, $3.07, 249704, $3.28, $3.2989, $3.03
07/10/2020, $3.24, 468188, $3.01, $3.27, $2.92
07/09/2020, $2.97, 196571, $3.01, $3.02, $2.86
07/08/2020, $3.04, 304544, $3.02, $3.09, $2.88
07/07/2020, $3.04, 526699, $3.01, $3.07, $2.82
07/06/2020, $3, 322608, $3.12, $3.2, $2.97
07/02/2020, $3.04, 385383, $3.41, $3.41, $3.01
07/01/2020, $3.28, 479195, $3.47, $3.6, $3.16
06/30/2020, $3.49, 982352, $3.544, $3.83, $3.21
06/29/2020, $3.36, 929976, $2.8, $3.57, $2.8
06/26/2020, $2.82, 1838055, $2.93, $2.98, $2.73
06/25/2020, $2.95, 555170, $2.98, $3.09, $2.905
06/24/2020, $3.08, 812883, $3.24, $3.24, $2.95
06/23/2020, $3.28, 461860, $3.4, $3.435, $3.24
06/22/2020, $3.3, 518956, $3.34, $3.5, $3.2
06/19/2020, $3.45, 618084, $3.76, $3.76, $3.35
06/18/2020, $3.59, 521836, $3.6, $3.788, $3.57
06/17/2020, $3.74, 525804, $3.78, $3.91, $3.61
06/16/2020, $3.9, 652301, $4.5, $4.5, $3.76
06/15/2020, $3.98, 767689, $3.51, $4.09, $3.5
06/12/2020, $3.88, 668970, $4.12, $4.29, $3.535
06/11/2020, $3.46, 961826, $3.61, $4.29, $3.42
06/10/2020, $4.22, 1501932, $5.71, $5.79, $3.9
06/09/2020, $5.45, 1441640, $6.09, $6.64, $5.35
06/08/2020, $5.97, 1728321, $4.68, $6.21, $4.67
06/05/2020, $4.06, 960026, $4.29, $4.65, $3.85
06/04/2020, $3.75, 920511, $3.09, $3.9, $3.0001
06/03/2020, $2.99, 1209725, $2.91, $3.52, $2.8601
06/02/2020, $2.79, 611031, $2.38, $2.7992, $2.31
06/01/2020, $2.3, 400245, $2.33, $2.54, $2.28
05/29/2020, $2.33, 448736, $2.6, $2.67, $2.32
05/28/2020, $2.59, 357415, $2.69, $2.7365, $2.45
05/27/2020, $2.61, 405311, $2.77, $2.79, $2.6
05/26/2020, $2.65, 386652, $2.78, $2.84, $2.63
05/22/2020, $2.63, 308129, $2.71, $2.75, $2.55
05/21/2020, $2.71, 171676, $2.66, $2.77, $2.575
05/20/2020, $2.59, 253103, $2.66, $2.7, $2.54
05/19/2020, $2.63, 394917, $2.94, $2.94, $2.61
05/18/2020, $2.91, 301212, $2.93, $3.08, $2.77
05/15/2020, $2.74, 212088, $2.65, $2.78, $2.57
05/14/2020, $2.64, 198449, $2.76, $2.88, $2.56
05/13/2020, $2.8, 226438, $3.1, $3.11, $2.785
05/12/2020, $3.12, 183283, $3.46, $3.46, $3.08
05/11/2020, $3.4, 108294, $3.6, $3.6, $3.33
