Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.49, 985690, $2.29, $2.52, $2.26
07/30/2020, $2.26, 388001, $2.34, $2.34, $2.19
07/29/2020, $2.35, 320004, $2.37, $2.37, $2.285
07/28/2020, $2.35, 601808, $2.37, $2.47, $2.3
07/27/2020, $2.35, 1320370, $2.63, $2.64, $2.27
07/24/2020, $2.64, 937560, $2.79, $2.8, $2.63
07/23/2020, $2.78, 247847, $2.88, $2.88, $2.78
07/22/2020, $2.84, 206854, $2.9, $2.92, $2.81
07/21/2020, $2.87, 378332, $2.79, $2.88, $2.76
07/20/2020, $2.76, 176748, $2.83, $2.83, $2.75
07/17/2020, $2.8, 187414, $2.83, $2.83, $2.72
07/16/2020, $2.83, 560314, $2.67, $2.85, $2.67
07/15/2020, $2.69, 117797, $2.64, $2.7099, $2.63
07/14/2020, $2.63, 231094, $2.65, $2.67, $2.595
07/13/2020, $2.64, 351751, $2.72, $2.73, $2.63
07/10/2020, $2.69, 335027, $2.69, $2.75, $2.66
07/09/2020, $2.68, 392263, $2.73, $2.75, $2.66
07/08/2020, $2.73, 333095, $2.76, $2.79, $2.7
07/07/2020, $2.77, 776133, $2.81, $2.85, $2.66
07/06/2020, $2.83, 350964, $2.81, $2.83, $2.76
07/02/2020, $2.81, 232909, $2.78, $2.845, $2.76
07/01/2020, $2.79, 286695, $2.79, $2.835, $2.72
06/30/2020, $2.81, 503967, $2.86, $2.88, $2.76
06/29/2020, $2.89, 1373651, $2.91, $3.09, $2.76
06/26/2020, $2.85, 590122, $2.94, $2.97, $2.81
06/25/2020, $2.98, 472213, $3.08, $3.082, $2.9
06/24/2020, $3.08, 2185676, $3, $3.16, $2.9
06/23/2020, $2.92, 423812, $2.98, $2.98, $2.88
06/22/2020, $2.91, 747148, $2.9, $3.07, $2.83
06/19/2020, $2.88, 866744, $3, $3.05, $2.86
06/18/2020, $2.9, 666583, $2.83, $2.98, $2.74
06/17/2020, $2.86, 1246111, $2.89, $3.25, $2.82
06/16/2020, $2.86, 310216, $2.9, $3, $2.84
06/15/2020, $2.9, 379212, $2.68, $2.9, $2.68
06/12/2020, $2.72, 337773, $2.82, $2.84, $2.68
06/11/2020, $2.72, 662842, $2.89, $2.89, $2.66
06/10/2020, $2.9, 886288, $2.88, $3.08, $2.761
06/09/2020, $2.88, 348225, $2.77, $2.89, $2.72
06/08/2020, $2.81, 724885, $2.68, $2.86, $2.65
06/05/2020, $2.71, 662098, $2.79, $2.79, $2.665
06/04/2020, $2.7, 250322, $2.7, $2.77, $2.65
06/03/2020, $2.71, 319151, $2.76, $2.81, $2.69
06/02/2020, $2.75, 153617, $2.78, $2.79, $2.66
06/01/2020, $2.75, 195660, $2.7, $2.77, $2.65
05/29/2020, $2.58, 195667, $2.58, $2.6384, $2.56
05/28/2020, $2.62, 244528, $2.65, $2.69, $2.57
05/27/2020, $2.68, 225186, $2.7, $2.74, $2.6
05/26/2020, $2.7, 366022, $2.79, $2.79, $2.67
05/22/2020, $2.81, 657863, $2.71, $2.8262, $2.66
05/21/2020, $2.74, 204879, $2.73, $2.7699, $2.68
05/20/2020, $2.78, 247002, $2.76, $2.7925, $2.71
05/19/2020, $2.77, 195671, $2.82, $2.84, $2.76
05/18/2020, $2.78, 371310, $2.79, $2.83, $2.74
05/15/2020, $2.78, 587752, $2.73, $2.8204, $2.66
05/14/2020, $2.76, 279368, $2.79, $2.79, $2.68
05/13/2020, $2.8, 327321, $2.92, $2.92, $2.76
05/12/2020, $2.87, 510836, $2.85, $3.01, $2.85
05/11/2020, $2.9, 887048, $2.87, $2.95, $2.71
