Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.6, 85813, $0.6, $0.63, $0.56
07/30/2020, $0.6317, 94120, $0.68, $0.68, $0.5852
07/29/2020, $0.69, 32178, $0.615, $0.69, $0.61
07/28/2020, $0.69, 148179, $0.67, $0.72, $0.6
07/27/2020, $0.73, 94339, $0.75, $0.85, $0.73
07/24/2020, $0.77, 55867, $0.806, $0.806, $0.75
07/23/2020, $0.8303, 32819, $0.8888, $0.8888, $0.78
07/22/2020, $0.8882, 37921, $0.8003, $0.8882, $0.8003
07/21/2020, $0.825, 7887, $0.84, $0.8999, $0.82
07/20/2020, $0.8452, 15619, $0.823, $0.85, $0.815
07/17/2020, $0.855, 88671, $0.7888, $0.8999, $0.7888
07/16/2020, $0.79, 58042, $0.85, $0.85, $0.7899
07/15/2020, $0.85, 50040, $0.8232, $0.8921, $0.82
07/14/2020, $0.8487, 106670, $0.87, $0.9, $0.81
07/13/2020, $0.87, 53692, $0.97, $0.97, $0.87
07/10/2020, $0.9299, 85713, $0.95, $0.99, $0.9
07/09/2020, $0.9449, 185227, $0.9275, $0.95, $0.8708
07/08/2020, $0.915, 40001, $0.9399, $0.9399, $0.86
07/07/2020, $0.8799, 167302, $0.98, $0.987, $0.84
07/06/2020, $0.9785, 247781, $1.04, $1.04, $0.93
07/02/2020, $0.945, 109985, $0.955, $1.02, $0.92
07/01/2020, $0.95, 170104, $1.04, $1.05, $0.9198
06/30/2020, $0.9455, 841494, $0.9496, $1.1, $0.88
06/29/2020, $0.86, 209496, $0.8, $0.8601, $0.75
06/26/2020, $0.72, 58649, $0.7999, $0.7999, $0.64
06/25/2020, $0.7287, 67506, $0.647, $0.7488, $0.6
06/24/2020, $0.6304, 149548, $0.68, $0.68, $0.61
06/23/2020, $0.66, 140725, $0.68, $0.7, $0.62
06/22/2020, $0.6811, 87737, $0.74, $0.74, $0.5481
06/19/2020, $0.7, 453293, $0.9, $0.93, $0.649
06/18/2020, $0.82, 311378, $0.6742, $0.88, $0.6742
06/17/2020, $0.7, 552668, $0.64, $0.76, $0.59
06/16/2020, $0.58, 156051, $0.55, $0.6, $0.5446
06/15/2020, $0.55, 97766, $0.585, $0.6499, $0.52
06/12/2020, $0.48, 96916, $0.502, $0.64, $0.47
06/11/2020, $0.49, 199768, $0.58, $0.6, $0.48
06/10/2020, $0.56, 856310, $0.9, $0.9, $0.56
06/09/2020, $0.45, 187077, $0.58, $0.58, $0.45
06/08/2020, $0.3964, 949733, $0.17, $0.49, $0.17
06/05/2020, $0.1461, 11034, $0.135, $0.159, $0.135
06/04/2020, $0.1579, 13262, $0.135, $0.1579, $0.135
06/03/2020, $0.159, N/A, $0.159, $0.159, $0.159
06/02/2020, $0.159, 291, $0.159, $0.159, $0.159
06/01/2020, $0.159, 863, $0.17, $0.17, $0.159
05/29/2020, $0.16, 1187, $0.15, $0.16, $0.15
05/28/2020, $0.1301, N/A, $0.1301, $0.1301, $0.1301
05/27/2020, $0.1301, 17089, $0.1101, $0.15, $0.1101
05/26/2020, $0.135, 1179, $0.13, $0.135, $0.13
05/22/2020, $0.13, N/A, $0.13, $0.13, $0.13
05/21/2020, $0.13, 984, $0.13, $0.13, $0.13
05/20/2020, $0.145, 13163, $0.1474, $0.15, $0.1251
05/19/2020, $0.141, 23333, $0.1355, $0.141, $0.131
05/18/2020, $0.1375, 3358, $0.129, $0.1375, $0.1251
05/15/2020, $0.1338, 10940, $0.1257, $0.135, $0.1257
05/14/2020, $0.1257, 6155, $0.125, $0.1307, $0.125
05/13/2020, $0.1306, 8104, $0.13, $0.14, $0.1299
05/12/2020, $0.1307, 28370, $0.127, $0.1307, $0.125
05/11/2020, $0.13, 44595, $0.125, $0.13, $0.125
