Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.04, 337881, $4.27, $4.27, $3.96
07/30/2020, $4.21, 275438, $4.15, $4.23, $4.04
07/29/2020, $4.2, 572524, $4.02, $4.34, $3.9
07/28/2020, $4.03, 329853, $3.99, $4.09, $3.92
07/27/2020, $4.05, 359674, $4.06, $4.1, $3.84
07/24/2020, $4.02, 343740, $3.96, $4.04, $3.78
07/23/2020, $3.97, 650551, $4.2, $4.27, $3.86
07/22/2020, $4.14, 431334, $4.09, $4.21, $3.99
07/21/2020, $4.11, 1499553, $4.4, $4.41, $3.64
07/20/2020, $4.31, 2295895, $3.84, $4.35, $3.73
07/17/2020, $3.7, 1081568, $3.34, $3.74, $3.2719
07/16/2020, $3.34, 410905, $3.3, $3.35, $3.1519
07/15/2020, $3.34, 508626, $3.43, $3.5, $3.23
07/14/2020, $3.39, 406654, $3.34, $3.4164, $3.23
07/13/2020, $3.31, 1199590, $3.75, $3.7868, $3.22
07/10/2020, $3.75, 828153, $3.59, $3.78, $3.49
07/09/2020, $3.65, 1020499, $3.65, $3.73, $3.42
07/08/2020, $3.69, 2810026, $3.59, $4.04, $3.51
07/07/2020, $4.12, 56347120, $3.23, $4.79, $3.07
07/06/2020, $2.88, 287217, $2.88, $2.9386, $2.76
07/02/2020, $2.84, 282254, $2.85, $2.94, $2.76
07/01/2020, $2.87, 350861, $2.75, $2.87, $2.75
06/30/2020, $2.86, 1509111, $2.95, $3.1498, $2.75
06/29/2020, $2.71, 1530802, $2.57, $2.78, $2.46
06/26/2020, $2.57, 671126, $2.82, $2.82, $2.48
06/25/2020, $2.73, 396757, $2.78, $2.84, $2.7
06/24/2020, $2.83, 924636, $2.9, $2.96, $2.7
06/23/2020, $3.09, 6940788, $2.87, $3.3, $2.7
06/22/2020, $2.5, 2074904, $2.42, $2.53, $2.36
06/19/2020, $2.45, 597731, $2.65, $2.73, $2.26
06/18/2020, $2.54, 489297, $2.38, $2.59, $2.35
06/17/2020, $2.39, 519848, $2.25, $2.44, $2.22
06/16/2020, $2.2, 196414, $2.22, $2.25, $2.15
06/15/2020, $2.1884, 199922, $2.17, $2.2, $2.02
06/12/2020, $2.1, 455087, $2.1, $2.22, $2
06/11/2020, $1.98, 611028, $2.3, $2.31, $1.953
06/10/2020, $2.32, 478490, $2.32, $2.42, $2.15
06/09/2020, $2.28, 357568, $2.14, $2.3081, $2.11
06/08/2020, $2.18, 345246, $2.14, $2.25, $2.075
06/05/2020, $2.13, 309421, $2.15, $2.19, $2.0601
06/04/2020, $2.14, 1466834, $2, $2.53, $1.92
06/03/2020, $1.97, 376401, $1.91, $2.09, $1.91
06/02/2020, $1.95, 146263, $1.94, $1.95, $1.88
06/01/2020, $1.92, 158084, $1.86, $1.92, $1.8
05/29/2020, $1.85, 242253, $1.89, $1.95, $1.805
05/28/2020, $1.87, 248502, $1.86, $1.95, $1.85
05/27/2020, $1.86, 349119, $1.98, $1.98, $1.8
05/26/2020, $1.98, 419974, $2.04, $2.05, $1.92
05/22/2020, $1.98, 508778, $2.11, $2.13, $1.98
05/21/2020, $2.16, 2169071, $1.9, $2.29, $1.88
05/20/2020, $1.84, 609821, $1.86, $1.86, $1.71
05/19/2020, $1.85, 1532135, $1.83, $1.9461, $1.7
05/18/2020, $1.69, 326757, $1.74, $1.79, $1.66
05/15/2020, $1.69, 218969, $1.62, $1.74, $1.6
05/14/2020, $1.64, 169619, $1.67, $1.69, $1.54
05/13/2020, $1.67, 617254, $1.82, $1.84, $1.56
05/12/2020, $1.78, 1107060, $1.78, $2.0448, $1.77
05/11/2020, $1.75, 414758, $1.66, $1.85, $1.65
