Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.88, 896454, $3.88, $3.9, $3.79
07/30/2020, $3.96, 1148749, $3.9, $4.02, $3.8199
07/29/2020, $3.94, 809873, $3.77, $3.96, $3.7501
07/28/2020, $3.73, 438810, $3.82, $3.84, $3.715
07/27/2020, $3.84, 607237, $3.84, $3.8977, $3.73
07/24/2020, $3.76, 686476, $3.75, $3.8, $3.64
07/23/2020, $3.79, 1175873, $3.96, $3.9821, $3.7701
07/22/2020, $3.98, 1065617, $4.1, $4.17, $3.9401
07/21/2020, $4.09, 1902168, $3.88, $4.118, $3.88
07/20/2020, $3.86, 521302, $3.86, $3.895, $3.8101
07/17/2020, $3.86, 893095, $3.89, $3.92, $3.8
07/16/2020, $3.81, 807193, $3.85, $3.879, $3.76
07/15/2020, $3.92, 1636038, $3.78, $3.975, $3.755
07/14/2020, $3.77, 1047698, $3.75, $3.828, $3.58
07/13/2020, $3.76, 1885082, $4.01, $4.16, $3.733
07/10/2020, $3.88, 1405567, $3.95, $3.98, $3.81
07/09/2020, $3.95, 1560655, $3.85, $3.978, $3.7
07/08/2020, $3.8, 1799518, $3.88, $3.915, $3.735
07/07/2020, $3.82, 1497494, $4, $4.07, $3.815
07/06/2020, $4.05, 2826269, $4.36, $4.4, $3.97
07/02/2020, $4.16, 1630718, $4.17, $4.25, $3.97
07/01/2020, $4.02, 4427326, $4.4, $4.44, $3.8
06/30/2020, $4.14, 9352474, $3.51, $4.25, $3.36
06/29/2020, $3.26, 766621, $3.32, $3.351, $3.238
06/26/2020, $3.34, 373877, $3.27, $3.37, $3.26
06/25/2020, $3.3, 409065, $3.34, $3.34, $3.225
06/24/2020, $3.35, 588418, $3.38, $3.41, $3.21
06/23/2020, $3.41, 392803, $3.43, $3.45, $3.354
06/22/2020, $3.39, 590313, $3.41, $3.46, $3.37
06/19/2020, $3.45, 1442037, $3.46, $3.57, $3.38
06/18/2020, $3.41, 778993, $3.28, $3.41, $3.22
06/17/2020, $3.27, 476485, $3.3, $3.32, $3.25
06/16/2020, $3.3, 773292, $3.31, $3.36, $3.26
06/15/2020, $3.21, 675330, $3.15, $3.25, $3.08
06/12/2020, $3.22, 957584, $3.15, $3.292, $3.14
06/11/2020, $3.06, 1135378, $3.2, $3.27, $3.04
06/10/2020, $3.32, 1137228, $3.3, $3.38, $3.24
06/09/2020, $3.3, 1614655, $3.56, $3.56, $3.3
06/08/2020, $3.61, 1993778, $3.39, $3.61, $3.25
06/05/2020, $3.32, 1499766, $3.31, $3.45, $3.29
06/04/2020, $3.29, 1387342, $3.4, $3.4, $3.26
06/03/2020, $3.41, 2157823, $3.04, $3.43, $3.01
06/02/2020, $3.02, 726596, $2.93, $3.07, $2.93
06/01/2020, $3.04, 728992, $2.96, $3.06, $2.93
05/29/2020, $2.97, 834375, $3, $3.025, $2.91
05/28/2020, $2.98, 1178609, $3.12, $3.12, $2.97
05/27/2020, $3.12, 1074863, $3.07, $3.12, $2.91
05/26/2020, $3.03, 649803, $3.21, $3.2173, $3.02
05/22/2020, $3.05, 898279, $3.12, $3.14, $3.02
05/21/2020, $3.12, 979494, $3.11, $3.31, $3.09
05/20/2020, $3.16, 1056672, $3.22, $3.32, $3.1432
05/19/2020, $3.2, 677563, $3.26, $3.32, $3.19
05/18/2020, $3.26, 944519, $3.11, $3.29, $3.11
05/15/2020, $3.09, 844225, $3, $3.09, $2.99
05/14/2020, $3.05, 1203736, $3.04, $3.115, $2.9
05/13/2020, $3.1, 1453943, $3.23, $3.23, $3.02
05/12/2020, $3.23, 826299, $3.33, $3.38, $3.2
05/11/2020, $3.31, 1206082, $3.22, $3.35, $3.2
