Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3295, 4462453, $0.3264, $0.3425, $0.32
07/30/2020, $0.3205, 2676215, $0.306, $0.3268, $0.305
07/29/2020, $0.3122, 3391331, $0.31, $0.3327, $0.3029
07/28/2020, $0.3199, 3277496, $0.319, $0.3199, $0.29
07/27/2020, $0.3148, 4066389, $0.33, $0.33, $0.31
07/24/2020, $0.322, 4838045, $0.333, $0.3449, $0.3201
07/23/2020, $0.354, 11336150, $0.355, $0.36, $0.33
07/22/2020, $0.347, 15206560, $0.39, $0.4, $0.3351
07/21/2020, $0.44, 988858, $0.46, $0.46, $0.43
07/20/2020, $0.4366, 1975149, $0.4192, $0.4699, $0.399
07/17/2020, $0.399, 5020662, $0.39, $0.415, $0.3416
07/16/2020, $0.372, 3497195, $0.3989, $0.3989, $0.3599
07/15/2020, $0.3895, 1384560, $0.39, $0.4189, $0.36
07/14/2020, $0.375, 591642, $0.3555, $0.378, $0.3555
07/13/2020, $0.378, 639943, $0.401, $0.412, $0.3761
07/10/2020, $0.3951, 1595508, $0.3952, $0.4292, $0.385
07/09/2020, $0.4, 787336, $0.4, $0.415, $0.3858
07/08/2020, $0.3987, 692210, $0.4008, $0.4169, $0.3904
07/07/2020, $0.41, 590968, $0.391, $0.42, $0.385
07/06/2020, $0.402, 650102, $0.4151, $0.4185, $0.38
07/02/2020, $0.4185, 653675, $0.39, $0.425, $0.378
07/01/2020, $0.39, 558642, $0.3975, $0.3975, $0.351
06/30/2020, $0.3859, 315630, $0.379, $0.399, $0.37
06/29/2020, $0.3899, 1948670, $0.385, $0.4342, $0.37
06/26/2020, $0.3849, 813604, $0.405, $0.4078, $0.375
06/25/2020, $0.399, 1466624, $0.4249, $0.4301, $0.38
06/24/2020, $0.419, 1077055, $0.4498, $0.4515, $0.411
06/23/2020, $0.4367, 1121602, $0.46, $0.48, $0.42
06/22/2020, $0.46, 2388137, $0.468, $0.546, $0.44
06/19/2020, $0.4613, 973686, $0.4543, $0.49, $0.4543
06/18/2020, $0.449, 2044218, $0.48, $0.522, $0.44
06/17/2020, $0.5203, 9025858, $0.43, $0.64, $0.41
06/16/2020, $0.4398, 2596664, $0.432, $0.48, $0.425
06/15/2020, $0.4224, 1313364, $0.4126, $0.45, $0.395
06/12/2020, $0.4289, 1422792, $0.428, $0.44, $0.4
06/11/2020, $0.4199, 2429196, $0.4219, $0.4688, $0.385
06/10/2020, $0.47, 2111393, $0.45, $0.49, $0.37
06/09/2020, $0.45, 1071916, $0.41, $0.45, $0.41
06/08/2020, $0.43, 2376891, $0.3844, $0.45, $0.3844
06/05/2020, $0.3714, 1424905, $0.38, $0.3897, $0.3501
06/04/2020, $0.3591, 2370034, $0.331, $0.3754, $0.322
06/03/2020, $0.3186, 2094734, $0.33, $0.33, $0.3066
06/02/2020, $0.3311, 2289760, $0.36, $0.36, $0.327
06/01/2020, $0.3611, 8130286, $0.4949, $0.5, $0.345
05/29/2020, $0.326, 263624, $0.3414, $0.359, $0.324
05/28/2020, $0.3402, 1529900, $0.349, $0.39, $0.3251
05/27/2020, $0.35, 153979, $0.354, $0.3601, $0.344
05/26/2020, $0.3552, 204531, $0.3453, $0.3649, $0.3401
05/22/2020, $0.355, 377223, $0.362, $0.3671, $0.34
05/21/2020, $0.362, 499456, $0.39, $0.39, $0.35
05/20/2020, $0.3895, 691953, $0.375, $0.4, $0.3411
05/19/2020, $0.3651, 327566, $0.36, $0.38, $0.34
05/18/2020, $0.3638, 660216, $0.3405, $0.38, $0.3311
05/15/2020, $0.3405, 1428265, $0.3894, $0.3894, $0.33
05/14/2020, $0.3415, 1369167, $0.3001, $0.39, $0.28
05/13/2020, $0.3133, 337590, $0.325, $0.3278, $0.3005
05/12/2020, $0.3217, 1543362, $0.39, $0.4023, $0.3045
05/11/2020, $0.38, 57293, $0.376, $0.392, $0.36
