Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.0999, 3582, $0.1, $0.1, $0.0995
07/30/2020, $0.1099, 7800, $0.115, $0.115, $0.1099
07/29/2020, $0.111, 3029, $0.1351, $0.1351, $0.111
07/28/2020, $0.1, 22328, $0.1108, $0.1108, $0.1
07/27/2020, $0.155, N/A, $0.155, $0.155, $0.155
07/24/2020, $0.155, N/A, $0.155, $0.155, $0.155
07/23/2020, $0.155, N/A, $0.155, $0.155, $0.155
07/22/2020, $0.155, 4100, $0.155, $0.1865, $0.155
07/21/2020, $0.179, 3371, $0.1789, $0.179, $0.1789
07/20/2020, $0.1549, 19976, $0.126, $0.155, $0.115
07/17/2020, $0.125, 4528, $0.1264, $0.13, $0.112
07/16/2020, $0.0999, 63908, $0.1401, $0.15, $0.0985
07/15/2020, $0.153, 1104, $0.1771, $0.1771, $0.153
07/14/2020, $0.1771, 2000, $0.18, $0.18, $0.1771
07/13/2020, $0.1905, 601, $0.24, $0.24, $0.1651
07/10/2020, $0.242, 3054, $0.1655, $0.245, $0.1655
07/09/2020, $0.18, N/A, $0.18, $0.18, $0.18
07/08/2020, $0.18, 923, $0.1801, $0.1801, $0.1799
07/07/2020, $0.245, N/A, $0.245, $0.245, $0.245
07/06/2020, $0.245, 287, $0.245, $0.245, $0.245
07/02/2020, $0.245, 4111, $0.24, $0.245, $0.24
07/01/2020, $0.1799, 1087, $0.18, $0.18, $0.1799
06/30/2020, $0.16, 250, $0.16, $0.16, $0.16
06/29/2020, $0.17, 20128, $0.15, $0.245, $0.15
06/26/2020, $0.2, 8795, $0.1457, $0.22, $0.1457
06/25/2020, $0.2348, 5775, $0.14, $0.235, $0.1399
06/24/2020, $0.1493, 2045, $0.1004, $0.15, $0.1004
06/23/2020, $0.182, 9160, $0.14, $0.182, $0.14
06/22/2020, $0.1499, 9016, $0.12, $0.245, $0.091
06/19/2020, $0.15, 11700, $0.09, $0.15, $0.09
06/18/2020, $0.14, 16999, $0.13, $0.14, $0.12
06/17/2020, $0.1399, 36779, $0.13, $0.14, $0.13
06/16/2020, $0.12, 5824, $0.1099, $0.14, $0.1099
06/15/2020, $0.1099, 81765, $0.076, $0.14, $0.076
06/12/2020, $0.07, 3974, $0.074, $0.075, $0.07
06/11/2020, $0.07, 1369, $0.085, $0.085, $0.07
06/10/2020, $0.07, 55875, $0.075, $0.075, $0.06
06/09/2020, $0.0699, 41654, $0.08, $0.08, $0.06
06/08/2020, $0.07, N/A, $0.07, $0.07, $0.07
06/05/2020, $0.07, 217, $0.07, $0.07, $0.07
06/04/2020, $0.1, N/A, $0.1, $0.1, $0.1
06/03/2020, $0.1, 201, $0.1, $0.1, $0.1
06/02/2020, $0.1, 888, $0.1, $0.1001, $0.1
06/01/2020, $0.09, N/A, $0.09, $0.09, $0.09
05/29/2020, $0.09, 1300, $0.172, $0.172, $0.09
05/28/2020, $0.13, 20856, $0.1599, $0.16, $0.0901
05/27/2020, $0.13, 6348, $0.12, $0.13, $0.1199
05/26/2020, $0.0999, N/A, $0.0999, $0.0999, $0.0999
05/22/2020, $0.0999, 4000, $0.1, $0.1, $0.0999
05/21/2020, $0.1196, N/A, $0.1196, $0.1196, $0.1196
05/20/2020, $0.1196, 1691, $0.0634, $0.13, $0.0634
05/19/2020, $0.136, 11907, $0.1, $0.14, $0.1
05/18/2020, $0.15, 745, $0.15, $0.15, $0.15
05/15/2020, $0.154, 2363, $0.0625, $0.154, $0.0625
05/14/2020, $0.1, 1324, $0.06, $0.1, $0.06
05/13/2020, $0.16, 11807, $0.16, $0.19, $0.16
05/12/2020, $0.2, 10509, $0.0515, $0.2, $0.0515
05/11/2020, $0.1, 1640, $0.1, $0.1, $0.1
