Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.94, 229589, $0.85, $1, $0.822
07/30/2020, $0.88, 126368, $0.92, $0.95, $0.77
07/29/2020, $0.92, 156843, $0.93, $0.96, $0.84
07/28/2020, $0.93, 119433, $0.91, $0.999, $0.8621
07/27/2020, $0.98, 177352, $1.02, $1.05, $0.95
07/24/2020, $0.92, 339994, $1, $1, $0.8274
07/23/2020, $1.02, 238426, $1, $1.15, $1
07/22/2020, $1.11, 129408, $1.19, $1.19, $1.1
07/21/2020, $1.13, 281029, $1.33, $1.34, $1.1
07/20/2020, $1.238, 568534, $1, $1.37, $0.985
07/17/2020, $1.0599, 182160, $1, $1.0699, $0.9501
07/16/2020, $1.03, 106156, $0.92, $1.03, $0.92
07/15/2020, $1.0599, 319825, $1, $1.08, $0.9699
07/14/2020, $0.93, 644310, $1.01, $1.05, $0.863
07/13/2020, $0.89, 633902, $1.2, $1.22, $0.86
07/10/2020, $1.2398, 524706, $1.36, $1.36, $1.15
07/09/2020, $1.4034, 342414, $1.5, $1.66, $1.32
07/08/2020, $1.66, 843292, $1.18, $1.8, $1.12
07/07/2020, $1.27, 684108, $1.53, $1.53, $0.99
07/06/2020, $1.545, 1055846, $1.99, $2.1, $1.135
07/02/2020, $1.9998, 1084622, $2.46, $2.46, $1.6599
