Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.17, 14784990, $2.16, $2.24, $2.03
07/30/2020, $2.29, 31171040, $2.43, $2.43, $2.21
07/29/2020, $2.23, 115378500, $2.84, $2.86, $2.15
07/28/2020, $2.07, 45729940, $2, $2.3, $1.86
07/27/2020, $2.36, 25504890, $2.71, $2.72, $2.22
07/24/2020, $2.51, 19373670, $2.52, $2.62, $2.35
07/23/2020, $2.74, 27016230, $2.93, $3.08, $2.62
07/22/2020, $2.97, 48217760, $2.7, $3.09, $2.4
07/21/2020, $3.02, 150701800, $4.05, $4.3, $2.62
07/20/2020, $3.62, 206686400, $2.97, $3.99, $2.74
07/17/2020, $2.46, 179970800, $2.28, $2.8265, $2.25
07/16/2020, $1.97, 238918600, $1.5, $2.58, $1.49
07/15/2020, $1.46, 74933270, $1.12, $1.48, $1.04
07/14/2020, $1.18, 30109990, $1.24, $1.24, $1.08
07/13/2020, $1.28, 100894100, $1.06, $1.38, $1.04
07/10/2020, $1.01, 28728740, $0.92, $1.06, $0.9
07/09/2020, $0.9357, 14162440, $0.91, $0.97, $0.8752
07/08/2020, $0.89, 8074088, $0.94, $0.94, $0.871
07/07/2020, $0.8921, 16000420, $0.84, $0.9558, $0.825
07/06/2020, $0.8449, 5149214, $0.89, $0.89, $0.83
07/02/2020, $0.8693, 6345055, $0.85, $0.8849, $0.811
07/01/2020, $0.849, 7147598, $0.88, $0.882, $0.82
06/30/2020, $0.8427, 10276500, $0.879, $0.8985, $0.815
06/29/2020, $0.873, 30542310, $0.95, $1.04, $0.8401
06/26/2020, $0.875, 45993350, $0.83, $0.9899, $0.81
06/25/2020, $0.77, 5937515, $0.76, $0.779, $0.732
06/24/2020, $0.767, 8701120, $0.75, $0.785, $0.7
06/23/2020, $0.755, 6552432, $0.7805, $0.7805, $0.7215
06/22/2020, $0.7688, 7134770, $0.8083, $0.81, $0.76
06/19/2020, $0.7505, 3626629, $0.7931, $0.8, $0.7505
06/18/2020, $0.7875, 5413149, $0.7646, $0.8095, $0.751
06/17/2020, $0.7401, 3070868, $0.762, $0.781, $0.73
06/16/2020, $0.7632, 3184332, $0.8, $0.8095, $0.7602
06/15/2020, $0.787, 3950397, $0.736, $0.7989, $0.72
06/12/2020, $0.7401, 4774056, $0.8, $0.8, $0.72
06/11/2020, $0.7459, 6905232, $0.786, $0.83, $0.73
06/10/2020, $0.8257, 5379531, $0.873, $0.875, $0.82
06/09/2020, $0.8585, 5998887, $0.87, $0.878, $0.8111
06/08/2020, $0.8689, 10325500, $0.898, $0.91, $0.8572
06/05/2020, $0.8679, 8473899, $0.91, $0.92, $0.84
06/04/2020, $0.8879, 20805310, $0.92, $0.95, $0.86
06/03/2020, $0.832, 6744137, $0.8051, $0.8489, $0.7925
06/02/2020, $0.7975, 15238000, $0.9284, $0.935, $0.7625
06/01/2020, $0.9161, 13785390, $0.985, $0.99, $0.91
05/29/2020, $1.02, 26558470, $1.05, $1.17, $0.9524
05/28/2020, $1.11, 22103410, $0.945, $1.15, $0.931
05/27/2020, $0.966, 34162200, $1.16, $1.16, $0.8531
05/26/2020, $0.9503, 25392120, $0.89, $1.04, $0.86
05/22/2020, $0.836, 13643340, $0.729, $0.87, $0.723
05/21/2020, $0.7426, 6155247, $0.75, $0.75, $0.701
05/20/2020, $0.75, 17743920, $0.73, $0.82, $0.7
05/19/2020, $0.765, 29609590, $0.62, $0.8, $0.6187
05/18/2020, $0.603, 6925802, $0.61, $0.62, $0.5803
05/15/2020, $0.595, 4637524, $0.5999, $0.6097, $0.5603
05/14/2020, $0.5934, 8989197, $0.6078, $0.6378, $0.58
05/13/2020, $0.575, 10857350, $0.6, $0.65, $0.5579
05/12/2020, $0.587, 8564585, $0.581, $0.619, $0.5672
05/11/2020, $0.56, 6437143, $0.5337, $0.58, $0.5301
