Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.576, 207996, $0.5666, $0.5927, $0.5578
07/30/2020, $0.571, 195848, $0.5684, $0.5999, $0.542
07/29/2020, $0.58, 1288804, $0.58, $0.63, $0.5301
07/28/2020, $0.614, 320546, $0.6217, $0.65, $0.603
07/27/2020, $0.622, 296996, $0.6567, $0.6567, $0.6115
07/24/2020, $0.616, 252333, $0.61, $0.6489, $0.61
07/23/2020, $0.629, 432675, $0.697, $0.71, $0.627
07/22/2020, $0.6747, 628505, $0.69, $0.718, $0.655
07/21/2020, $0.718, 622985, $0.662, $0.74, $0.65
07/20/2020, $0.6842, 546043, $0.6615, $0.692, $0.65
07/17/2020, $0.645, 566959, $0.62, $0.6698, $0.62
07/16/2020, $0.613, 1103204, $0.62, $0.68, $0.6004
07/15/2020, $0.612, 5104757, $0.65, $0.75, $0.61
07/14/2020, $0.6, 835095, $0.638, $0.6458, $0.6
07/13/2020, $0.6458, 533368, $0.6522, $0.67, $0.63
07/10/2020, $0.65, 664424, $0.69, $0.71, $0.65
07/09/2020, $0.7, 2760646, $0.7248, $0.765, $0.6525
07/08/2020, $0.839, 4683234, $0.642, $0.848, $0.636
07/07/2020, $0.635, 188871, $0.61, $0.66, $0.61
07/06/2020, $0.637, 366750, $0.61, $0.6687, $0.61
07/02/2020, $0.626, 302383, $0.644, $0.644, $0.625
07/01/2020, $0.6323, 324313, $0.632, $0.67, $0.632
06/30/2020, $0.632, 585107, $0.65, $0.69, $0.63
06/29/2020, $0.6404, 510725, $0.63, $0.6596, $0.581
06/26/2020, $0.6355, 1295814, $0.7116, $0.72, $0.63
06/25/2020, $0.7164, 1557394, $0.7534, $0.7699, $0.7
06/24/2020, $0.7392, 1865657, $0.75, $0.78, $0.718
06/23/2020, $0.7796, 1856596, $0.773, $0.8389, $0.73
06/22/2020, $0.8, 1457835, $0.85, $0.869, $0.755
06/19/2020, $0.95, 6224361, $1.24, $1.33, $0.9212
06/18/2020, $1.18, 34647220, $1.83, $1.96, $1.08
06/17/2020, $0.795, 4689108, $0.7, $0.9, $0.636
06/16/2020, $0.69, 975372, $0.63, $0.7799, $0.62
06/15/2020, $0.6148, 220375, $0.62, $0.649, $0.59
06/12/2020, $0.6769, 809122, $0.7137, $0.7298, $0.611
06/11/2020, $0.62, 867116, $0.5986, $0.7, $0.5331
06/10/2020, $0.6467, 5353705, $0.55, $0.9175, $0.5151
06/09/2020, $0.5458, 416662, $0.57, $0.618, $0.512
06/08/2020, $0.5599, 183372, $0.559, $0.5871, $0.53
06/05/2020, $0.5251, 463493, $0.5072, $0.5899, $0.5
06/04/2020, $0.5041, 172757, $0.5011, $0.55, $0.5
06/03/2020, $0.5002, 285795, $0.48, $0.55, $0.47
06/02/2020, $0.47, 255221, $0.51, $0.5199, $0.4604
06/01/2020, $0.52, 375537, $0.525, $0.5617, $0.48
05/29/2020, $0.525, 888139, $0.549, $0.6101, $0.5001
05/28/2020, $0.7, 7546915, $0.447, $0.875, $0.4325
05/27/2020, $0.4099, 44432, $0.4063, $0.429, $0.4
05/26/2020, $0.4043, 74570, $0.45, $0.45, $0.401
05/22/2020, $0.41, 112761, $0.3801, $0.4489, $0.3801
05/21/2020, $0.393, 83033, $0.4109, $0.43, $0.37
05/20/2020, $0.4173, 193241, $0.3893, $0.48, $0.3893
05/19/2020, $0.3999, 156324, $0.4095, $0.447, $0.37
05/18/2020, $0.39, 371714, $0.42, $0.45, $0.35
05/15/2020, $0.402, 144493, $0.425, $0.4293, $0.4001
05/14/2020, $0.4295, 101662, $0.4295, $0.4631, $0.425
05/13/2020, $0.4398, 143664, $0.4581, $0.4601, $0.43
05/12/2020, $0.4688, 320797, $0.51, $0.5401, $0.45
05/11/2020, $0.5402, 62397, $0.51, $0.58, $0.51
