Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.98, 100966, $5.7119, $5.7119, $4.98
07/30/2020, $5.71, 2236, $5.85, $5.85, $5.71
07/29/2020, $5.81, 3505, $5.75, $5.92, $5.6608
07/28/2020, $5.72, 6532, $5.79, $5.79, $5.6
07/27/2020, $5.75, 5277, $5.79, $5.79, $5.56
07/24/2020, $5.84, 1001, $5.98, $5.98, $5.795
07/23/2020, $5.89, 7952, $5.9448, $5.99, $5.8101
07/22/2020, $6, 2499, $6.07, $6.15, $5.9591
07/21/2020, $6, 23361, $6.205, $6.205, $5.935
07/20/2020, $6.1589, 7237, $6.1648, $6.28, $6.0107
07/17/2020, $6.13, 13766, $6.38, $6.4, $5.89
07/16/2020, $6.35, 11496, $5.765, $6.43, $5.72
07/15/2020, $6, 23379, $6.43, $6.43, $5.6785
07/14/2020, $6.09, 8588, $6.2312, $6.3048, $5.635
07/13/2020, $6.09, 80437, $5.44, $6.56, $5.42
07/10/2020, $5.5529, 54410, $5.415, $5.57, $5.2
07/09/2020, $5.48, 7518, $5.09, $5.64, $5.09
07/08/2020, $5.42, 28578, $5.491, $5.55, $5.3004
07/07/2020, $5.49, 50296, $5.26, $5.75, $5.26
07/06/2020, $5.3, 7954, $5.205, $5.35, $5.2
07/02/2020, $5.27, 14996, $5.4, $5.49, $5.15
07/01/2020, $5.35, 118062, $4.75, $5.4, $4.701
06/30/2020, $4.7267, 5512, $4.83, $4.8301, $4.7267
06/29/2020, $4.81, 29049, $4.9, $5, $4.7001
06/26/2020, $4.9, 76256, $4.8, $5, $4.76
06/25/2020, $4.7347, 64365, $4.44, $4.76, $4.42
06/24/2020, $4.44, 13888, $4.55, $4.55, $4.3754
06/23/2020, $4.53, 5034, $4.54, $4.54, $4.53
06/22/2020, $4.48, 13321, $4.49, $4.515, $4.4501
06/19/2020, $4.49, 10435, $4.65, $4.7, $4.45
06/18/2020, $4.65, 9370, $4.68, $4.71, $4.65
06/17/2020, $4.6698, 27687, $4.5, $4.67, $4.5
06/16/2020, $4.475, 44893, $4.37, $4.48, $4.37
06/15/2020, $4.2998, 8459, $4.25, $4.3, $4.25
06/12/2020, $4.2435, 7083, $4.3, $4.32, $4.23
06/11/2020, $4.25, 42144, $4.6101, $4.6399, $4.2
06/10/2020, $4.745, 101098, $4.55, $4.88, $4.545
06/09/2020, $4.53, 4464, $4.53, $4.55, $4.53
06/08/2020, $4.496, 14412, $4.31, $4.5, $4.31
06/05/2020, $4.37, 11003, $4.31, $4.38, $4.3001
06/04/2020, $4.4, 11694, $4.5, $4.5, $4.31
06/03/2020, $4.45, 59184, $4.55, $4.7, $4.45
06/02/2020, $4.4627, 3587, $4.4117, $4.47, $4.4117
06/01/2020, $4.4, 20784, $4.42, $4.44, $4.3
05/29/2020, $4.51, 3068, $4.28, $4.51, $4.27
05/28/2020, $4.29, 18484, $4.2, $4.33, $4.2
05/27/2020, $4.22, 36132, $4.35, $4.35, $4.115
05/26/2020, $4.28, 51815, $4.1, $4.3, $4.1
05/22/2020, $4.15, 262560, $4.1, $4.205, $4
05/21/2020, $4.02, 20474, $4.06, $4.12, $4
05/20/2020, $4.15, 299130, $4.125, $4.65, $3.81
05/19/2020, $4.09, 9630, $4.2, $4.2, $4.05
05/18/2020, $4.13, 39472, $4.24, $4.25, $4.13
05/15/2020, $4.18, 24148, $3.8021, $4.33, $3.8001
05/14/2020, $4.06, 17480, $4, $4.35, $3.9297
05/13/2020, $4.11, 5390, $4.36, $4.4, $4.11
05/12/2020, $4.28, 20504, $4.3299, $4.36, $4.2464
05/11/2020, $4.16, 19792, $4.2, $4.33, $4.11
