Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.14, 23735, $3.1, $3.21, $3.1
07/30/2020, $3.18, 12543, $3.16, $3.18, $3.01
07/29/2020, $3.16, 17551, $3.22, $3.22, $3.1
07/28/2020, $3.2, 41678, $3.26, $3.26, $2.87
07/27/2020, $3.29, 7162, $3.2684, $3.3371, $3.25
07/24/2020, $3.3, 5296, $3.33, $3.35, $3.3
07/23/2020, $3.3, 23472, $3.361, $3.38, $3.235
07/22/2020, $3.38, 23173, $3.4, $3.41, $3.33
07/21/2020, $3.35, 15808, $3.4, $3.41, $3.29
07/20/2020, $3.38, 12048, $3.42, $3.43, $3.35
07/17/2020, $3.42, 16047, $3.567, $3.58, $3.41
07/16/2020, $3.59, 23777, $3.49, $3.6, $3.49
07/15/2020, $3.42, 22318, $3.42, $3.585, $3.37
07/14/2020, $3.42, 22658, $3.7, $3.7, $3.3997
07/13/2020, $3.695, 24301, $3.76, $3.85, $3.58
07/10/2020, $3.73, 43272, $3.87, $3.87, $3.6601
07/09/2020, $3.75, 27722, $3.7, $3.82, $3.57
07/08/2020, $3.74, 22033, $3.47, $3.81, $3.3705
07/07/2020, $3.48, 20944, $3.37, $3.48, $3.37
07/06/2020, $3.41, 13580, $3.45, $3.55, $3.4
07/02/2020, $3.45, 7691, $3.5277, $3.5277, $3.4201
07/01/2020, $3.52, 7154, $3.45, $3.55, $3.45
06/30/2020, $3.49, 10010, $3.5, $3.58, $3.4
06/29/2020, $3.41, 6816, $3.44, $3.5, $3.41
06/26/2020, $3.43, 10802, $3.5199, $3.5199, $3.43
06/25/2020, $3.53, 8947, $3.44, $3.56, $3.44
06/24/2020, $3.48, 9620, $3.6, $3.6, $3.42
06/23/2020, $3.6, 53443, $3.6782, $3.6782, $3.5
06/22/2020, $3.67, 20223, $3.79, $3.79, $3.63
06/19/2020, $3.79, 39583, $3.901, $3.91, $3.77
06/18/2020, $3.9, 52979, $4, $4.03, $3.86
06/17/2020, $4.21, 90831, $4.25, $4.35, $4.18
06/16/2020, $4.2, 50325, $4.16, $4.23, $4.1
06/15/2020, $4.08, 49448, $4.1, $4.15, $4.0249
06/12/2020, $4.09, 27631, $4.06, $4.11, $4.02
06/11/2020, $4.09, 32192, $4.11, $4.11, $4
06/10/2020, $4.099, 32075, $4.19, $4.2999, $4.0401
06/09/2020, $4.14, 33093, $4.22, $4.2705, $4.12
06/08/2020, $4.15, 57522, $4.25, $4.43, $4.12
06/05/2020, $4.22, 21218, $4.2, $4.32, $4.06
06/04/2020, $4.08, 19409, $4.105, $4.18, $4.01
06/03/2020, $4.1, 29981, $4.08, $4.2, $4.08
06/02/2020, $4.07, 9088, $4.16, $4.16, $4
06/01/2020, $4.13, 33396, $4.15, $4.3559, $4.07
05/29/2020, $4.04, 61183, $3.88, $4.11, $3.75
05/28/2020, $3.94, 23602, $3.86, $3.9412, $3.79
05/27/2020, $3.92, 34010, $3.9, $3.92, $3.78
05/26/2020, $3.87, 31060, $4, $4, $3.85
05/22/2020, $3.88, 14866, $3.71, $3.88, $3.71
05/21/2020, $3.75, 11651, $3.68, $3.8799, $3.64
05/20/2020, $3.81, 25388, $3.67, $3.859, $3.67
05/19/2020, $3.65, 70369, $3.78, $3.78, $3.46
05/18/2020, $3.78, 53541, $3.59, $3.845, $3.47
05/15/2020, $3.43, 16871, $3.5, $3.56, $3.42
05/14/2020, $3.43, 37512, $3.51, $3.53, $3.35
05/13/2020, $3.56, 34182, $3.41, $3.79, $3.4
05/12/2020, $3.4, 51541, $3.26, $3.4615, $3.25
05/11/2020, $3.4, 12399, $3.43, $3.4999, $3.3202
