Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.99, 140812, $2, $2, $1.93
07/30/2020, $1.99, 98723, $1.95, $2.03, $1.91
07/29/2020, $1.97, 462364, $2.11, $2.17, $1.92
07/28/2020, $2.08, 206033, $2.26, $2.3202, $2.06
07/27/2020, $2.27, 208440, $2.45, $2.45, $2.25
07/24/2020, $2.42, 178658, $2.28, $2.46, $2.2699
07/23/2020, $2.3, 417387, $2.53, $2.5693, $2.235
07/22/2020, $2.55, 285554, $2.49, $2.5519, $2.38
07/21/2020, $2.48, 936544, $2.58, $2.59, $2.25
07/20/2020, $2.64, 4114805, $2.5, $2.95, $2.45
07/17/2020, $2.22, 1935518, $2.05, $2.24, $1.92
07/16/2020, $2.03, 640667, $1.85, $2.07, $1.83
07/15/2020, $1.79, 181480, $1.86, $1.86, $1.76
07/14/2020, $1.73, 70646, $1.75, $1.75, $1.7063
07/13/2020, $1.73, 162002, $1.74, $1.84, $1.71
07/10/2020, $1.72, 132567, $1.75, $1.77, $1.71
07/09/2020, $1.7501, 118968, $1.66, $1.8, $1.66
07/08/2020, $1.71, 593036, $1.76, $1.81, $1.5
07/07/2020, $1.75, 143436, $1.76, $1.7999, $1.75
07/06/2020, $1.77, 149304, $1.85, $1.85, $1.75
07/02/2020, $1.83, 103339, $1.81, $1.85, $1.76
07/01/2020, $1.79, 216261, $1.8, $1.81, $1.74
06/30/2020, $1.79, 71074, $1.79, $1.85, $1.78
06/29/2020, $1.79, 132871, $1.85, $1.85, $1.77
06/26/2020, $1.83, 132675, $1.86, $1.86, $1.8
06/25/2020, $1.85, 215786, $1.9, $1.93, $1.82
06/24/2020, $1.89, 122064, $1.84, $1.94, $1.84
06/23/2020, $1.85, 358849, $1.96, $1.96, $1.81
06/22/2020, $1.93, 141879, $1.89, $1.96, $1.88
06/19/2020, $1.9, 72842, $1.87, $1.9341, $1.82
06/18/2020, $1.87, 109500, $1.98, $1.98, $1.87
06/17/2020, $1.86, 153148, $1.94, $2, $1.85
06/16/2020, $1.97, 230619, $1.96, $2.01, $1.86
06/15/2020, $1.92, 186419, $1.88, $1.94, $1.77
06/12/2020, $1.91, 122404, $1.95, $1.98, $1.85
06/11/2020, $1.9, 399015, $2.02, $2.05, $1.86
06/10/2020, $2.05, 153271, $2.06, $2.1, $2.04
06/09/2020, $2.05, 258434, $1.97, $2.08, $1.96
06/08/2020, $1.96, 177179, $1.99, $2.0199, $1.96
06/05/2020, $1.95, 169672, $1.98, $2.04, $1.92
06/04/2020, $1.91, 327144, $2.01, $2.02, $1.86
06/03/2020, $2, 553520, $2.13, $2.13, $1.98
06/02/2020, $2.12, 3833767, $2.05, $2.55, $1.9598
06/01/2020, $1.81, 176744, $1.73, $1.85, $1.725
05/29/2020, $1.73, 78607, $1.74, $1.78, $1.73
05/28/2020, $1.74, 82513, $1.8, $1.8, $1.73
05/27/2020, $1.8, 147233, $1.83, $1.89, $1.75
05/26/2020, $1.82, 233500, $1.83, $2, $1.81
05/22/2020, $1.79, 79944, $1.8, $1.8151, $1.74
05/21/2020, $1.78, 78178, $1.8, $1.83, $1.73
05/20/2020, $1.8, 63869, $1.75, $1.81, $1.74
05/19/2020, $1.75, 233910, $1.82, $1.86, $1.71
05/18/2020, $1.81, 178067, $1.88, $1.88, $1.79
05/15/2020, $1.83, 90481, $1.75, $1.85, $1.75
05/14/2020, $1.82, 97907, $1.85, $1.85, $1.75
05/13/2020, $1.85, 158268, $1.97, $1.9706, $1.76
05/12/2020, $1.97, 130121, $1.99, $2.04, $1.92
05/11/2020, $1.95, 206902, $1.89, $2.02, $1.8645
