Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.45, 12749, $3.5, $3.51, $3.43
07/30/2020, $3.53, 15660, $3.48, $3.55, $3.47
07/29/2020, $3.51, 11510, $3.47, $3.57, $3.42
07/28/2020, $3.525, 21257, $3.58, $3.69, $3.51
07/27/2020, $3.7, 17819, $3.53, $3.73, $3.46
07/24/2020, $3.59, 16447, $3.66, $3.71, $3.52
07/23/2020, $3.63, 13376, $3.72, $3.735, $3.6101
07/22/2020, $3.71, 14060, $3.73, $3.73, $3.5501
07/21/2020, $3.7, 37765, $3.51, $3.71, $3.42
07/20/2020, $3.51, 46603, $3.75, $3.75, $3.38
07/17/2020, $3.8, 16602, $3.83, $3.91, $3.7
07/16/2020, $3.83, 72516, $3.82, $3.87, $3.49
07/15/2020, $3.92, 249069, $4, $4.205, $3.8546
07/14/2020, $3.97, 90690, $3.75, $4, $3.72
07/13/2020, $3.78, 45556, $3.68, $3.95, $3.68
07/10/2020, $3.8, 20637, $3.76, $3.832, $3.645
07/09/2020, $3.72, 15023, $3.85, $3.85, $3.605
07/08/2020, $3.87, 51646, $3.7, $3.96, $3.68
07/07/2020, $3.7, 28219, $3.9, $3.9, $3.635
07/06/2020, $3.8804, 69825, $3.89, $3.94, $3.71
07/02/2020, $3.85, 78533, $3.95, $3.97, $3.71
07/01/2020, $3.92, 68537, $3.96, $3.98, $3.77
06/30/2020, $4, 65445, $3.91, $4, $3.87
06/29/2020, $3.94, 55238, $3.92, $4, $3.61
06/26/2020, $3.83, 91433, $3.8, $3.91, $3.5
06/25/2020, $3.8, 55381, $3.45, $3.8, $3.4
06/24/2020, $3.49, 69843, $3.5, $3.61, $3.2
06/23/2020, $3.61, 235613, $2.81, $4.1832, $2.81
06/22/2020, $2.87, 76846, $3.2, $3.2, $2.69
06/19/2020, $3.14, 72171, $3.31, $3.3885, $2.97
06/18/2020, $3.4, 159292, $3.05, $3.6, $3.0101
06/17/2020, $3.13, 240840, $2.71, $3.18, $2.5601
06/16/2020, $2.55, 187238, $2.64, $2.7367, $2.3417
06/15/2020, $2.22, 35126, $2.15, $2.2599, $2.07
06/12/2020, $2.23, 37546, $2.19, $2.27, $2.1
06/11/2020, $2.14, 107303, $2.48, $2.56, $2.1
06/10/2020, $2.39, 159779, $2.3, $2.64, $2.22
06/09/2020, $2.2, 86076, $2.33, $2.4999, $2.1009
06/08/2020, $2.39, 240464, $2.03, $2.49, $2.03
06/05/2020, $1.96, 86165, $1.92, $2.15, $1.86
06/04/2020, $1.85, 23300, $1.81, $1.93, $1.81
06/03/2020, $1.81, 44161, $1.87, $1.93, $1.8
06/02/2020, $1.84, 115549, $1.89, $1.95, $1.72
06/01/2020, $1.86, 12589, $1.85, $1.92, $1.85
05/29/2020, $1.89, 7750, $1.95, $1.95, $1.83
05/28/2020, $1.92, 23834, $1.87, $1.95, $1.8618
05/27/2020, $1.87, 26338, $1.92, $1.94, $1.85
05/26/2020, $1.9, 38547, $1.97, $1.97, $1.85
05/22/2020, $1.88, 19335, $1.908, $1.93, $1.84
05/21/2020, $1.84, 32018, $1.85, $1.95, $1.8
05/20/2020, $1.89, 36755, $1.89, $1.94, $1.855
05/19/2020, $1.81, 107470, $1.95, $1.95, $1.72
05/18/2020, $1.94, 59836, $1.9, $1.96, $1.83
05/15/2020, $1.85, 83464, $1.8, $1.88, $1.65
05/14/2020, $1.88, 69913, $1.66, $1.99, $1.66
05/13/2020, $1.68, 196521, $1.85, $1.99, $1.63
05/12/2020, $1.82, 152256, $1.8987, $1.905, $1.7414
05/11/2020, $1.87, 75312, $2.08, $2.08, $1.87
