Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.2102, 2203, $0.2223, $0.2223, $0.2102
07/30/2020, $0.2222, 4241, $0.2798, $0.2799, $0.2222
07/29/2020, $0.2649, 3285, $0.21, $0.2899, $0.21
07/28/2020, $0.2041, 260, $0.2041, $0.2041, $0.2041
07/27/2020, $0.29, 1320, $0.204, $0.2999, $0.204
07/24/2020, $0.24, 100, $0.24, $0.24, $0.24
07/23/2020, $0.2201, 1957, $0.25, $0.25, $0.22
07/22/2020, $0.26, 4276, $0.2101, $0.2774, $0.2101
07/21/2020, $0.295, N/A, $0.295, $0.295, $0.295
07/20/2020, $0.295, 6308, $0.3, $0.3, $0.2001
07/17/2020, $0.3, N/A, $0.3, $0.3, $0.3
07/16/2020, $0.3, 2606, $0.325, $0.325, $0.3
07/15/2020, $0.325, 4856, $0.34, $0.34, $0.0509
07/14/2020, $0.28, 255, $0.28, $0.28, $0.28
07/13/2020, $0.28, N/A, $0.28, $0.28, $0.28
07/10/2020, $0.28, 7165, $0.3, $0.3026, $0.28
07/09/2020, $0.2701, 6013, $0.3698, $0.3698, $0.2604
07/08/2020, $0.3765, 5737, $0.29, $0.3765, $0.29
07/07/2020, $0.364, N/A, $0.364, $0.364, $0.364
07/06/2020, $0.364, 2066, $0.3765, $0.3765, $0.364
07/02/2020, $0.3202, 1011, $0.31, $0.3202, $0.31
07/01/2020, $0.3066, 195, $0.3066, $0.3066, $0.3066
06/30/2020, $0.295, N/A, $0.295, $0.295, $0.295
06/29/2020, $0.295, 7414, $0.31, $0.31, $0.2702
06/26/2020, $0.32, N/A, $0.32, $0.32, $0.32
06/25/2020, $0.32, N/A, $0.32, $0.32, $0.32
06/24/2020, $0.32, N/A, $0.32, $0.32, $0.32
06/23/2020, $0.32, 10616, $0.38, $0.38, $0.32
06/22/2020, $0.3016, 8132, $0.3001, $0.3899, $0.3
06/19/2020, $0.3, 527, $0.3, $0.3, $0.3
06/18/2020, $0.3, 46072, $0.4488, $0.4488, $0.286
06/17/2020, $0.3883, N/A, $0.3883, $0.3883, $0.3883
06/16/2020, $0.3883, 2537, $0.3999, $0.3999, $0.3883
06/15/2020, $0.37, 455, $0.3799, $0.3799, $0.37
06/12/2020, $0.3, 144875, $0.32, $0.41, $0.28
06/11/2020, $0.3552, 3770, $0.4348, $0.45, $0.3552
06/10/2020, $0.41, 5106, $0.3999, $0.4156, $0.28
06/09/2020, $0.4485, 29494, $0.34, $0.4899, $0.28
06/08/2020, $0.27, 2018, $0.3498, $0.3498, $0.27
06/05/2020, $0.3598, 3478, $0.28, $0.3599, $0.28
06/04/2020, $0.326, 818, $0.35, $0.35, $0.326
06/03/2020, $0.2824, N/A, $0.2824, $0.2824, $0.2824
06/02/2020, $0.2824, 918, $0.2824, $0.2824, $0.2824
06/01/2020, $0.35, N/A, $0.35, $0.35, $0.35
05/29/2020, $0.35, 1854, $0.35, $0.35, $0.2799
05/28/2020, $0.28, 4126, $0.285, $0.285, $0.28
05/27/2020, $0.374, 1571, $0.28, $0.41, $0.28
05/26/2020, $0.3535, 8497, $0.28, $0.4025, $0.2799
05/22/2020, $0.2799, 16300, $0.2932, $0.2932, $0.26
05/21/2020, $0.2915, N/A, $0.2915, $0.2915, $0.2915
05/20/2020, $0.2915, 2083, $0.305, $0.305, $0.2811
05/19/2020, $0.28, 9573, $0.27, $0.349, $0.26
05/18/2020, $0.27, 3338, $0.3799, $0.3799, $0.26
05/15/2020, $0.2599, 21993, $0.291, $0.364, $0.2599
05/14/2020, $0.3, 6131, $0.2803, $0.419, $0.2803
05/13/2020, $0.38, 654, $0.38, $0.38, $0.38
05/12/2020, $0.3808, 12511, $0.36, $0.5, $0.36
05/11/2020, $0.3553, 18223, $0.3844, $0.3844, $0.2502
